school_code,school_name,group_code,group_id,plan_count,admitted,min_score,min_rank,year,subject,xuanke_req,is_special
10001,北京大学,201,01,24,24,662,32,2024,历史,不限,否
10002,中国人民大学,201,01,49,49,648,150,2024,历史,不限,否
10002,中国人民大学,205,05,5,5,659,53,2024,历史,不限,否
10003,清华大学,201,01,4,5,665,19,2024,历史,不限,否
10004,北京交通大学,201,01,11,11,594,3847,2024,历史,不限,否
10006,北京航空航天大学,W201,01,8,8,625,818,2024,历史,不限,否
10007,北京理工大学,201,01,20,20,611,1765,2024,历史,不限,否
10008,北京科技大学                            X,1201,01,2,2,593,3913,2024,历史,不限,否
10008,北京科技大学                       冏人,202,02,2,2,597,3312,2024,历史,不限,否
10008,北京科技大学                       &gt;&gt;,203,03,2,2,596,3469,2024,历史,不限,否
10010,北京化工大学             YV,201,01,12,12,577,6981,2024,历史,不限,否
10012,北京服装学院            VA,201,01,4,4,513,31068,2024,历史,不限,否
10015,北京印刷学院,201,01,2,2,531,22341,2024,历史,不限,否
10019,中国农业大学（中外合作办学）,201,01,6,6,583,5770,2024,历史,不限,否
10022,北京林业大学,201,01,13,13,575,7382,2024,历史,不限,否
10022,北京林业大学,205,05,3,3,576,7111,2024,历史,不限,否
10022,北京林业大学,206,06,2,2,580,6282,2024,历史,不限,否
10026,北京中医药大学,201,01,4,0,1582,5882,2024,历史,不限,否
10027,北京师范大学,201,01,16,0,636,378,2024,历史,不限,否
10027,北京师范大学,211,11,2,2,623,920,2024,历史,不限,否
10028,首都师范大学,202,02,30,8,584,5545,2024,历史,不限,否
10029,首都体育学院,201,01,30,4,521,27237,2024,历史,不限,否
10030,北京外国语大学,201,01,5,5,617,1282,2024,历史,不限,否
10030,北京外国语大学,202,02,13,13,604,2497,2024,历史,不限,否
10030,北京外国语大学,203,03,30,4,606,2229,2024,历史,不限,否
10031,北京第二外国语学院,201,01,3,3,572,8079,2024,历史,不限,否
10031,北京第二外国语学院,202,02,18,18,554,13173,2024,历史,不限,否
10031,北京第二外国语学院                      &gt;,203,03,3,3,575,7462,2024,历史,不限,否
10032,北京语言大学,201,01,25,25,570,8625,2024,历史,不限,否
10032,北京语言大学                        &gt;&gt;,202,02,3,3,579,6469,2024,历史,不限,否
10033,中国传媒大学            XX,209,09,4,4,594,3819,2024,历史,不限,否
10034,中央财经大学,201,01,35,35,608,2019,2024,历史,不限,否
10037,北京物资学院,201,01,2,2,532,21577,2024,历史,不限,否
10038,首都经济贸易大学,201,01,4,4,571,8355,2024,历史,不限,否
10043,北京体育大学,201,01,4,4,574,7703,2024,历史,不限,否
10043,北京体育大学,202,02,2,2,574,7733,2024,历史,不限,否
10046,中国音乐学院,201,01,1,0,566,9685,2024,历史,不限,否
10047,中央美术学院,201,01,4,0,582,5966,2024,历史,不限,否
10047,中央美术学院（中外合作办学）,202,02,4,4,570,8599,2024,历史,不限,否
10048,中央戏剧学院,201,01,12,12,565,9875,2024,历史,不限,否
10049,中国戏曲学院,201,01,1,1,556,12450,2024,历史,不限,否
10049,中国戏曲学院,202,02,3,3,558,12004,2024,历史,不限,否
10050,北京电影学院,201,01,2,2,580,6279,2024,历史,不限,否
10050,北京电影学院,204,04,3,3,580,6346,2024,历史,不限,否
10050,北京电影学院,205,05,2,2,576,7270,2024,历史,不限,否
10050,北京电影学院,206,06,2,2,573,7904,2024,历史,不限,否
10050,北京电影学院,207,07,2,2,587,4890,2024,历史,不限,否
10050,北京电影学院,208,08,3,3,573,7895,2024,历史,不限,否
10052,中央民族大学,202,02,48,48,601,2938,2024,历史,不限,否
10053,中国政法大学,201,01,5,5,611,1773,2024,历史,不限,否
10053,中国政法大学,202,02,2,2,605,2361,2024,历史,不限,否
10053,中国政法大学,203,03,64,64,606,2297,2024,历史,不限,否
10053,中国政法大学,204,04,8,8,608,2094,2024,历史,不限,否
10054,华北电力大学（北京）,202,02,9,9,579,6457,2024,历史,不限,否
10055,南开大学,201,01,30,30,627,711,2024,历史,不限,否
10056,天津大学,W201,01,13,13,603,2667,2024,历史,不限,否
10056,天津大学（中外合作办学）             二,202,02,5,5,597,3324,2024,历史,不限,否
10057,天津科技大学                           X,201,01,4,4,534,20950,2024,历史,不限,否
10057,天津科技大学（中外合作办学）     人,202,02,2,2,530,22645,2024,历史,不限,否
10058,天津工业大学                   1   &gt;&gt;,201,01,6,6,522,26680,2024,历史,不限,否
10059,中国民航大学             XV,201,01,16,16,544,17008,2024,历史,不限,否
10059,中国民航大学            VVA,204,04,1,1,549,15088,2024,历史,不限,否
10063,天津中医药大学,201,01,4,4,529,23107,2024,历史,不限,否
10063,天津中医药大学,202,02,3,3,458,69157,2024,历史,不限,否
10065,天津师范大学A,201,01,21,21,529,23368,2024,历史,不限,否
10065,天津师范大学,204,04,1,1,562,10806,2024,历史,不限,否
10068,天津外国语大学,201,01,14,14,1530,22612,2024,历史,不限,否
10068,天津外国语大学,206,06,2,2,547,15839,2024,历史,不限,否
10069,天津商业大学,201,01,3,3,519,27949,2024,历史,不限,否
