school_code,school_name,group_code,group_id,plan_count,admitted,min_score,min_rank,year,subject,xuanke_req,is_special
10001,北京大学,203,03,24,28,689,85,2024,物理,不限,否
10002,中国人民大学,202,02,28,28,663,1215,2024,物理,不限,否
10002,中国人民大学,203,03,21,21,667,831,2024,物理,不限,否
10003,清华大学,202,02,10,10,692,53,2024,物理,不限,否
10003,清华大学,203,03,49,51,688,97,2024,物理,不限,否
10004,北京交通大学                                A,202,02,15,15,594,25890,2024,物理,不限,否
10004,北京交通大学                            一,204,04,74,74,615,13369,2024,物理,不限,否
10004,北京交通大学(中外合作办学)        X,205,05,5,5,606,18214,2024,物理,不限,否
10004,北京交通大学（中外合作办学）,206,06,2,2,606,18307,2024,物理,不限,否
10004,北京交通大学,207,07,7,7,627,8570,2024,物理,不限,否
10005,北京工业大学              XV,201,01,4,4,610,16132,2024,物理,不限,否
10005,北京工业大学            WA,202,02,5,5,600,21717,2024,物理,不限,否
10005,北京工业大学,203,03,3,3,617,12677,2024,物理,不限,否
10005,北京工业大学     V&gt;,204,04,4,4,613,14430,2024,物理,不限,否
10006,北京航空航天大学,202,02,108,108,657,1822,2024,物理,不限,否
10006,北京航空航天大学(中外合作办学),206,06,7,7,641,4528,2024,物理,不限,否
10007,北京理工大学,203,03,57,59,656,1983,2024,物理,不限,否
10007,北京理工大学(珠海校区),204,04,10,10,665,1031,2024,物理,不限,否
10008,北京科技大学,204,04,4,4,614,13928,2024,物理,不限,否
10008,北京科技大学,205,05,19,19,613,14438,2024,物理,不限,否
10008,北京科技大学,206,06,44,44,612,14724,2024,物理,不限,否
10010,北京化工大学,202,02,61,61,604,19455,2024,物理,不限,否
10010,北京化工大学,203,03,51,51,601,21313,2024,物理,不限,否
10010,北京化工大学(中外合作办学),204,04,8,8,589,29569,2024,物理,不限,否
10010,北京化工大学(中外合作办学),205,05,11,11,589,29646,2024,物理,不限,否
10011,北京工商大学                                     ?,201,01,10,10,568,49203,2024,物理,不限,否
10011,北京工商大学,202,02,15,15,550,70559,2024,物理,不限,否
10012,北京服装学院                                vn,202,02,1,1,538,87266,2024,物理,不限,否
10012,北京服装学院                         1       V,203,03,9,9,529,100249,2024,物理,不限,否
10013,北京邮电大学,201,01,8,8,651,2681,2024,物理,不限,否
10013,北京邮电大学,202,02,108,108,628,8242,2024,物理,不限,否
10015,北京印刷学院             V    ?,202,02,2,2,543,79037,2024,物理,不限,否
10015,北京印刷学院,203,03,3,3,540,83275,2024,物理,不限,否
10016,北京建筑大学        /    ?1,201,01,2,2,558,60428,2024,物理,不限,否
10016,北京建筑大学,202,02,2,2,569,47773,2024,物理,不限,否
10016,北京建筑大学,203,03,4,4,567,49883,2024,物理,不限,否
10017,北京石油化工学院,201,01,2,2,514,123780,2024,物理,不限,否
10017,北京石油化工学院,202,02,4,0,550,70044,2024,物理,不限,否
10017,北京石油化工学院,203,03,3,0,544,78746,2024,物理,不限,否
10019,中国农业大学,202,02,7,0,610,16237,2024,物理,不限,否
10019,中国农业大学(中外合作办学),203,03,30,0,593,27048,2024,物理,不限,否
10019,中国农业大学,204,04,69,69,610,15801,2024,物理,不限,否
10022,北京林业大学,207,07,17,17,580,37424,2024,物理,不限,否
10022,北京林业大学,208,08,9,9,582,35472,2024,物理,不限,否
10022,北京林业大学,211,11,5,5,590,29366,2024,物理,不限,否
10022,北京林业大学,212,12,12,12,578,39221,2024,物理,不限,否
10022,北京林业大学,?213,13,14,14,578,39416,2024,物理,不限,否
10022,北京林业大学,215,15,27,27,594,26094,2024,物理,不限,否
10022,北京林业大学(中外合作办学),216,16,5,5,573,44688,2024,物理,不限,否
10022,北京林业大学,217,17,2,2,581,36675,2024,物理,不限,否
10022,北京林业大学,219,19,8,8,592,27772,2024,物理,不限,否
10026,北京中医药大学,203,03,2,2,583,34968,2024,物理,不限,否
10026,北京中医药大学,204,04,28,29,592,27086,2024,物理,不限,否
10027,北京师范大学,204,04,8,8,637,5671,2024,物理,不限,否
10027,北京师范大学,206,06,27,27,642,4352,2024,物理,不限,否
10028,首都师范大学,203,03,10,10,594,25639,2024,物理,不限,否
10029,首都体育学院,202,02,5,5,539,84624,2024,物理,不限,否
10030,北京外国语大学,204,04,6,6,619,11520,2024,物理,不限,否
10030,北京外国语大学,205,05,11,11,605,18756,2024,物理,不限,否
10030,北京外国语大学,206,06,2,2,612,14729,2024,物理,不限,否
10030,北京外国语大学,207,07,2,2,615,13205,2024,物理,不限,否
10031,北京第二外国语学院,204,04,1,1,579,37918,2024,物理,不限,否
10031,北京第二外国语学院,205,05,9,9,551,68743,2024,物理,不限,否
10032,北京语言大学              XY,203,03,16,16,560,58696,2024,物理,不限,否
10032,北京语言大学             WA,204,04,4,4,530,99398,2024,物理,不限,否
