year,subject,school_name,group_id,group_code,min_score,min_rank,xuanke_req,is_special
2024,历史,北京大学,02,A00102,661,30,不限,否
2024,历史,北京大学,03,A00103,650,97,不限,是
2024,历史,中国人民大学,03,A00203,655,55,不限,否
2024,历史,中国人民大学,04,A00204,647,128,不限,否
2024,历史,中国人民大学,05,A00205,645,157,不限,是
2024,历史,中国人民大学,06,A00206,651,86,政治,否
2024,历史,中国人民大学,07,A00207,647,128,政治,否
2024,历史,中国人民大学,08,A00208,647,128,政治,是
2024,历史,清华大学,02,A00302,670,9,不限,否
2024,历史,清华大学,03,A00303,653,67,不限,是
2024,历史,北京交通大学,01,A00401,593,2844,不限,否
2024,历史,北京航空航天大学,02,A00602,621,816,不限,否
2024,历史,北京理工大学,01,A00701,612,1285,不限,否
2024,历史,北京科技大学,01,A00801,591,3043,不限,否
2024,历史,北京化工大学,01,A01001,580,4361,不限,否
2024,历史,北京邮电大学,01,A01301,594,2740,不限,否
2024,历史,中国农业大学,01,A01901,601,2082,不限,否
2024,历史,北京林业大学,01,A02201,588,3395,不限,否
2024,历史,北京林业大学,02,A02202,582,4120,不限,否
2024,历史,北京林业大学,03,A02203,583,4012,不限,否
2024,历史,北京林业大学,04,A02204,590,3161,地理,否
2024,历史,北京中医药大学,01,A02601,579,4503,不限,否
2024,历史,北京师范大学,03,A02703,627,571,不限,否
2024,历史,北京师范大学,04,A02704,624,698,不限,否
2024,历史,北京外国语大学,01,A03001,599,2259,不限,否
2024,历史,北京外国语大学,02,A03002,590,3161,不限,是
2024,历史,北京外国语大学,03,A03003,607,1602,政治,否
2024,历史,北京语言大学,03,A03203,577,4789,不限,否
2024,历史,中国传媒大学,03,A03303,592,2951,不限,否
2024,历史,中国传媒大学,04,A03304,606,1695,不限,否
2024,历史,中国传媒大学,05,A03305,581,4232,不限,是
2024,历史,中央财经大学,01,A03401,608,1533,不限,否
2024,历史,中央财经大学,02,A03402,602,2002,不限,是
2024,历史,对外经济贸易大学,02,A03602,596,2542,不限,是
2024,历史,对外经济贸易大学,03,A03603,607,1602,不限,否
2024,历史,对外经济贸易大学,04,A03604,587,3508,不限,是
2024,历史,对外经济贸易大学,05,A03605,595,2643,政治,是
2024,历史,中国人民公安大学,09,A04109,598,2351,不限,否
2024,历史,北京体育大学,01,A04301,577,4789,不限,否
2024,历史,北京体育大学,02,A04302,577,4789,不限,否
2024,历史,北京体育大学,04,A04304,580,4361,不限,是
2024,历史,北京体育大学,05,A04305,575,5059,不限,是
2024,历史,北京体育大学,06,A04306,580,4361,政治,否
2024,历史,中央美术学院,01,A04701,556,8240,不限,否
2024,历史,中央美术学院,02,A04702,568,6159,不限,否
2024,历史,中央戏剧学院,01,A04801,565,6643,不限,否
2024,历史,中央民族大学,01,A05201,594,2740,不限,是
2024,历史,中央民族大学,02,A05202,595,2643,不限,否
2024,历史,中国政法大学,01,A05301,608,1533,不限,否
2024,历史,中国政法大学,02,A05302,614,1164,不限,是
2024,历史,华北电力大学（北京）,01,A05401,584,3884,不限,否
2024,历史,南开大学,01,A05501,623,747,不限,否
2024,历史,南开大学,02,A05502,619,908,不限,是
2024,历史,天津大学,01,A05601,603,1930,不限,否
2024,历史,中国民航大学,01,A05901,560,7508,不限,否
2024,历史,中国民航大学,02,A05902,569,5973,政治,否
2024,历史,华北电力大学（保定）,01,A06901,58,999999,不限,否
2024,历史,大连理工大学,01,A07101,594,2740,不限,否
2024,历史,东北大学,01,A07301,591,3043,不限,否
2024,历史,大连海事大学,02,A07502,58,999999,不限,否
2024,历史,大连海事大学,03,A07503,581,4232,不限,否
2024,历史,吉林大学,02,A07902,600,2176,不限,否
2024,历史,吉林大学,03,A07903,620,855,不限,否
2024,历史,吉林大学,04,A07904,610,1400,不限,是
2024,历史,吉林大学,05,A07905,603,1930,政治,否
2024,历史,东北师范大学,07,A08107,592,2951,不限,否
2024,历史,L,08,A08108,583,4012,不限,是
2024,历史,东北师范大学,10,A08110,584,3884,政治,是
2024,历史,哈尔滨工业大学,01,A08301,606,1695,不限,否
2024,历史,哈尔滨工程大学,01,A08501,578,4652,不限,否
2024,历史,哈尔滨工程大学,02,A08502,584,3884,政治,否
2024,历史,东北林业大学,01,A08701,575,5059,不限,否
2024,历史,东北林业大学,02,A08702,576,4923,政治,否
2024,历史,复旦大学第0,01,A08901,655,55,不限,否
2024,历史,复旦大学,02,A08902,651,86,不限,否
2024,历史,复旦大学,03,A08903,645,157,不限,是
2024,历史,同济大学,02,A09102,630,463,不限,否
2024,历史,同济大学,03,A09103,571,5644,不限,否
2024,历史,上海交通大学,01,A09301,654,59,不限,否
2024,历史,上海交通大学,02,A09302,642,203,不限,是
2024,历史,华东理工大学,01,A09501,584,3884,不限,否
2024,历史,华东理工大学,02,A09502,588,3395,不限,是
2024,历史,东华大学,01,A09701,588,3395,不限,否
2024,历史,东华大学,02,A09702,570,5797,不限,是
2024,历史,华东师范大学,04,A09904,619,908,不限,否
2024,历史,上海外国语大学,01,A10101,589,3279,不限,否
2024,历史,上海外国语大学,02,A10102,584,3884,不限,是
2024,历史,上海外国语大学,03,A10103,601,2082,政治,否
2024,历史,上海财经大学,01,A10301,615,1111,不限,否
2024,历史,南京大学,01,A10701,639,245,不限,否
2024,历史,南京大学,02,A10702,634,365,不限,是
2024,历史,东南大学,01,A10901,614,1164,不限,否
2024,历史,南京航空航天大学,03,A11103,586,3616,不限,否
2024,历史,中国矿业大学,01,A11501,580,4361,不限,否
2024,历史,中国矿业大学,02,A11502,577,4789,不限,是
2024,历史,河海大学,01,A11701,586,3616,不限,否
2024,历史,河海大学,02,A11702,583,4012,不限,是
2024,历史,江南大学,01,A11901,584,3884,不限,否
2024,历史,江南大学,02,A11902,571,5644,不限,否
2024,历史,江南大学,03,A11903,595,2643,不限,否
2024,历史,江南大学,04,A11904,590,3161,政治,否
2024,历史,南京农业大学,01,A12101,579,4503,不限,否
2024,历史,中国药科大学,01,A12301,580,4361,不限,否
2024,历史,厦门大学,01,A13101,18,999999,不限,否
2024,历史,厦门大学,02,A13102,625,655,不限,否
2024,历史,厦门大学,03,A13103,588,3395,不限,是
2024,历史,厦门大学,04,A13104,610,1400,不限,是
2024,历史,华侨大学,01,A13301,562,7148,不限,否
2024,历史,山东大学,01,A13501,603,1930,不限,否
2024,历史,山东大学,02,A13502,605,1773,政治,是
2024,历史,中国海洋大学,02,A13702,597,2437,不限,否
2024,历史,中国海洋大学,03,A13703,594,2740,不限,否
2024,历史,中国海洋大学,04,A13704,597,2437,政治,否
2024,历史,中国石油大学（华东,01,A13901,576,4923,不限,否
2024,历史,武汉大学第03,03,A14103,623,747,不限,否
2024,历史,武汉大学,04,A14104,623,747,不限,是
2024,历史,武汉大学,05,A14105,624,698,政治,否
2024,历史,华中科技大学,02,A14302,604,1853,不限,否
2024,历史,中国地质大学（武汉）,01,A14501,581,4232,不限,否
2024,历史,中国地质大学（武汉）,02,A14502,588,3395,政治,否
2024,历史,武汉理工大学,03,A14703,582,4120,不限,否
2024,历史,武汉理工大学,04,A14704,576,4923,不限,否
2024,历史,武汉理工大学,05,A14705,589,3279,政治,否
2024,历史,华中农业大学,01,A14901,580,4361,不限,否
2024,历史,华中农业大学,02,A14902,569,5973,不限,否
2024,历史,华中师范大学,04,A15104,591,3043,不限,是
2024,历史,华中师范大学,06,A15106,598,2351,不限,是
2024,历史,华中师范大学,07,A15107,608,1533,不限,否
2024,历史,华中师范大学,08,A15108,597,2437,政治,否
2024,历史,华中师范大学,09,A15109,595,2643,政治,是
2024,历史,华中师范大学,10,A15110,611,1348,政治,否
2024,历史,华中师范大学,11,A15111,606,1695,地理,否
2024,历史,华中师范大学,12,A15112,593,2844,地理,是
2024,历史,华中师范大学,13,A15113,606,1695,地理,否
2024,历史,中南财经政法大学,08,A15308,589,3279,不限,是
2024,历史,中南财经政法大学,09,A15309,616,1061,不限,否
2024,历史,中南财经政法大学,10,A15310,594,2740,不限,否
2024,历史,中南财经政法大学,11,A15311,589,3279,不限,否
2024,历史,中南财经政法大学,12,A15312,597,2437,不限,是
2024,历史,中南民族大学,01,A15501,563,6995,不限,是
2024,历史,中南民族大学,02,A15502,565,6643,不限,否
2024,历史,中南民族大学,03,A15503,568,6159,不限,是
2024,历史,中南民族大学,04,A15504,52,999999,政治,否
2024,历史,湖南大学,04,A15704,601,2082,不限,否
2024,历史,湖南大学,05,A15705,596,2542,不限,否
2024,历史,中南大学,01,A15901,604,1853,不限,否
2024,历史,中南大学,02,A15902,600,2176,不限,是
2024,历史,中山大学,01,A16101,619,908,不限,否
2024,历史,中山大学,02,A16102,616,1061,不限,是
2024,历史,中山大学,03,A16103,618,960,政治,否
2024,历史,中山大学,04,A16104,618,960,政治,是
2024,历史,暨南大学,01,A16301,590,3161,不限,否
2024,历史,暨南大学,02,A16302,585,3748,不限,是
2024,历史,暨南大学,03,A16303,589,3279,政治,否
2024,历史,重庆大学,02,A16902,608,1533,不限,否
2024,历史,重庆大学,03,A16903,608,1533,不限,否
2024,历史,重庆大学,04,A16904,599,2259,不限,是
2024,历史,重庆大学,05,A16905,607,1602,政治,否
2024,历史,西南交通大学,01,A17101,586,3616,不限,否
2024,历史,西南交通大学,02,A17102,588,3395,政治,否
2024,历史,西南交通大学,03,A17103,591,3043,政治,否
2024,历史,西南交通大学,04,A17104,587,3508,政治,是
2024,历史,电子科技大学,01,A17301,600,2176,不限,否
2024,历史,中国民用航空飞行学院,04,A17504,509,19356,不限,否
2024,历史,中国民用航空飞行学院,05,A17505,528,14431,政治,否
2024,历史,西南大学,11,A17711,590,3161,不限,否
2024,历史,西南大学,12,A17712,566,6489,不限,否
2024,历史,西南大学,13,A17713,579,4503,不限,否
2024,历史,西南大学,14,A17714,586,3616,生物,否
2024,历史,西南财经大学,01,A17901,594,2740,不限,否
2024,历史,西南财经大学,02,A17902,583,4012,不限,是
2024,历史,西南民族大学,01,A18101,552,9000,不限,是
2024,历史,西南民族大学,02,A18102,557,8067,不限,否
2024,历史,西南民族大学,03,A18103,526,14917,不限,否
2024,历史,西南民族大学,04,A18104,516,17494,不限,否
2024,历史,西南民族大学,05,A18105,556,8240,不限,是
2024,历史,西安交通大学,02,A18302,609,1473,不限,否
2024,历史,西北工业大学,01,A18501,598,2351,不限,否
2024,历史,长安大学,01,A18901,580,4361,不限,否
2024,历史,西北农林科技大学,01,A19101,590,3161,不限,否
2024,历史,陕西师范大学,13,A19313,585,3748,不限,是
2024,历史,陕西师范大学,14,A19314,565,6643,不限,否
2024,历史,陕西师范大学,15,A19315,585,3748,不限,是
2024,历史,兰州大学,01,A19501,592,2951,不限,否
2024,历史,兰州大学,02,A19502,595,2643,政治,否
2024,历史,西北民族大学,01,A19701,496,23113,不限,是
2024,历史,西北民族大学,03,A19703,501,21646,不限,否
2024,历史,西北民族大学,04,A19704,503,21098,不限,否
2024,历史,西北民族大学,05,A19705,523,15718,不限,否
2024,历史,西北民族大学,06,A19706,480,28000,不限,否
2024,历史,西北民族大学,08,A19708,513,18274,不限,否
