year,subject,school_name,batch,kind,min_score,min_rank,group_id,group_name,xuanke_req
2023,物理,武汉大学,本科批,护理类,601,18891,07,,不限
2023,物理,武汉大学,本科批,普通类,644,4682,08,,不限
2023,物理,武汉大学,本科批,普通类,630,8188,09,,不限
2023,物理,武汉大学,本科批,国家专项计划,631,7909,10,,不限
2023,物理,武汉大学,本科批,民族班,639,5814,11,,不限
2023,物理,武汉大学,本科批,普通类,648,3901,12,,化学
2023,物理,武汉大学,本科批,国家专项计划,627,9126,13,,化学
2023,物理,武汉大学,本科批,民族班,629,8494,14,,化学
2023,物理,武汉大学,本科批,普通类,636,6544,15,,化学或生物
2023,物理,华中科技大学,本科批,普通类,654,2854,03,,不限
2023,物理,华中科技大学,本科批,国家专项计划,635,6817,04,,不限
2023,物理,华中科技大学,本科批,民族班,638,6073,05,,不限
2023,物理,华中科技大学,本科批,国家专项计划,627,9126,06,,化学
2023,物理,华中科技大学,本科批,普通类,654,2854,07,,化学或生物
2023,物理,华中科技大学,本科批,护理类,599,19780,08,,化学或生物
2023,物理,华中科技大学,本科批,普通类,628,8812,09,,化学或生物
2023,物理,华中科技大学,本科批,普通类,637,6305,10,,化学或生物
2023,物理,华中科技大学,本科批,国家专项计划,630,8188,11,,化学或生物
2023,物理,华中科技大学,本科批,民族班,630,8188,12,,化学或生物
2023,物理,武汉科技大学,本科批,普通类,596,21107,02,,不限
2023,物理,武汉科技大学,本科批,普通类,589,24431,03,,不限
2023,物理,武汉科技大学,本科批,普通类,580,29066,04,,不限
2023,物理,武汉科技大学,本科批,普通类,563,38543,05,,不限
2023,物理,武汉科技大学,本科批,护理类,566,36733,06,,不限
2023,物理,武汉科技大学,本科批,普通类,564,37921,07,,不限
2023,物理,武汉科技大学,本科批,国家专项计划,577,30633,08,,不限
2023,物理,武汉科技大学,本科批,普通类,573,32794,09,,化学
2023,物理,武汉科技大学,本科批,普通类,578,30096,10,,化学或生物
2023,物理,武汉科技大学,本科批,普通类,569,35020,11,,化学或地理
2023,物理,长江大学,本科批,普通类,545,49736,04,,不限
2023,物理,长江大学,本科批,普通类,534,56821,05,,不限
2023,物理,长江大学,本科批,国家专项计划,530,59451,06,,不限
2023,物理,长江大学,本科批,地方专项计划,528,60759,07,,不限
2023,物理,长江大学,本科批,普通类,533,57499,08,,化学
2023,物理,长江大学,本科批,普通类,540,52887,09,,化学或生物
2023,物理,武汉工程大学,本科批,普通类,560,40316,04,,不限
2023,物理,武汉工程大学,本科批,国家专项计划,557,42153,05,,不限
2023,物理,武汉工程大学,本科批,地方专项计划,550,46527,06,,不限
2023,物理,武汉工程大学,本科批,普通类,554,44071,07,,化学
2023,物理,武汉工程大学,本科批,国家专项计划,550,46527,08,,化学
2023,物理,武汉工程大学,本科批,地方专项计划,541,52275,09,,化学
2023,物理,武汉工程大学,本科批,普通类,554,44071,10,,化学或生物
2023,物理,武汉工程大学,本科批,普通类,531,58805,11,,化学或生物
2023,物理,武汉工程大学,本科批,国家专项计划,547,48431,12,,化学或生物
2023,物理,武汉工程大学,本科批,地方专项计划,540,52887,13,,化学或生物
2023,物理,中国地质大学（武汉）,本科批,普通类,613,13934,03,,不限
2023,物理,中国地质大学（武汉）,本科批,普通类,604,17557,04,,不限
2023,物理,中国地质大学（武汉）,本科批,国家专项计划,600,19328,05,,不限
2023,物理,中国地质大学（武汉）,本科批,少数民族预科班,598,20215,06,,不限
2023,物理,中国地质大学（武汉）,本科批,普通类,602,18473,08,,化学
2023,物理,中国地质大学（武汉）,本科批,普通类,593,22527,09,,化学
2023,物理,中国地质大学（武汉）,本科批,国家专项计划,598,20215,10,,化学
2023,物理,中国地质大学（武汉）,本科批,普通类,604,17557,11,,政治
2023,物理,中国地质大学（武汉）,本科批,普通类,606,16756,30,,不限
2023,物理,中国地质大学（武汉）,本科批,普通类,606,16756,31,,不限
2023,物理,中国地质大学（武汉）,本科批,普通类,610,15084,32,,不限
2023,物理,武汉纺织大学,本科批,普通类,544,50368,04,,不限
2023,物理,武汉纺织大学,本科批,国家专项计划,539,53525,05,,不限
2023,物理,武汉纺织大学,本科批,地方专项计划,529,60122,06,,不限
2023,物理,武汉纺织大学,本科批,普通类,528,60759,07,,化学
2023,物理,武汉轻工大学,本科批,普通类,547,48431,06,,不限
2023,物理,武汉轻工大学,本科批,普通类,527,61396,07,,不限
2023,物理,武汉轻工大学,本科批,普通类,506,75477,08,,不限
2023,物理,武汉轻工大学,本科批,国家专项计划,531,58805,09,,不限
2023,物理,武汉轻工大学,本科批,地方专项计划,530,59451,10,,不限
2023,物理,武汉轻工大学,本科批,普通类,524,63434,11,,化学
2023,物理,武汉轻工大学,本科批,普通类,527,61396,12,,化学或生物
2023,物理,武汉轻工大学,本科批,国家专项计划,523,64145,13,,化学或生物
2023,物理,武汉轻工大学,本科批,地方专项计划,524,63434,14,,化学或生物
2023,物理,武汉理工大学,本科批,普通类,639,5814,06,,不限
2023,物理,武汉理工大学,本科批,普通类,637,6305,07,,不限
2023,物理,武汉理工大学,本科批,普通类,634,7081,08,,化学
2023,物理,武汉理工大学,本科批,普通类,616,12783,09,,不限
2023,物理,武汉理工大学,本科批,国家专项计划,616,12783,10,,不限
2023,物理,武汉理工大学,本科批,少数民族预科班,606,16756,11,,不限
2023,物理,武汉理工大学,本科批,普通类,601,18891,12,,不限
2023,物理,武汉理工大学,本科批,普通类,594,22035,13,,化学或生物
2023,物理,湖北工业大学,本科批,普通类,576,31174,04,,不限
2023,物理,湖北工业大学,本科批,普通类,567,36152,05,,不限
2023,物理,湖北工业大学,本科批,普通类,558,41506,06,,不限
2023,物理,湖北工业大学,本科批,普通类,540,52887,07,,不限
2023,物理,湖北工业大学,本科批,普通类,551,45886,08,,不限
2023,物理,湖北工业大学,本科批,国家专项计划,563,38543,09,,不限
2023,物理,湖北工业大学,本科批,地方专项计划,554,44071,10,,不限
2023,物理,华中农业大学,本科批,普通类,604,17557,02,,不限
2023,物理,华中农业大学,本科批,国家专项计划,605,17131,03,,不限
2023,物理,华中农业大学,本科批,普通类,601,18891,04,,化学
2023,物理,华中农业大学,本科批,普通类,599,19780,05,,化学或生物
2023,物理,华中农业大学,本科批,国家专项计划,595,21570,06,,化学或生物
2023,物理,华中农业大学,本科批,普通类,607,16315,07,,化学或地理
2023,物理,华中农业大学,本科批,少数民族预科班,597,20672,12,,不限
2023,物理,湖北中医药大学,本科批,普通类,513,70821,06,,不限
2023,物理,湖北中医药大学,本科批,护理类,492,84697,07,,不限
2023,物理,湖北中医药大学,本科批,普通类,518,67513,08,,化学
2023,物理,湖北中医药大学,本科批,普通类,510,72830,09,,化学
2023,物理,湖北中医药大学,本科批,国家专项计划,521,65483,10,,化学
2023,物理,湖北中医药大学,本科批,地方专项计划,516,68825,11,,化学
2023,物理,湖北中医药大学,本科批,地方专项计划,512,71506,12,,化学
2023,物理,湖北中医药大学,本科批,普通类,533,57499,13,,化学或生物
2023,物理,湖北中医药大学,本科批,国家专项计划,538,54180,14,,化学或生物
2023,物理,湖北中医药大学,本科批,地方专项计划,529,60122,15,,化学或生物
2023,物理,华中师范大学,本科批,少数民族预科班,606,16756,15,,不限
2023,物理,华中师范大学,本科批,普通类,616,12783,16,,不限
2023,物理,华中师范大学,本科批,普通类,604,17557,17,,不限
2023,物理,华中师范大学,本科批,国家专项计划,620,11397,18,,不限
2023,物理,华中师范大学,本科批,国家专项计划,615,13191,19,,不限
2023,物理,华中师范大学,本科批,普通类,629,8494,20,,不限
2023,物理,华中师范大学,本科批,普通类,624,10078,21,,不限
2023,物理,华中师范大学,本科批,普通类,619,11725,22,,化学
2023,物理,华中师范大学,本科批,国家专项计划,614,13565,23,,化学
2023,物理,华中师范大学,本科批,普通类,635,6817,24,,化学
2023,物理,华中师范大学,本科批,普通类,615,13191,25,,化学或生物
2023,物理,华中师范大学,本科批,普通类,634,7081,26,,化学或生物
2023,物理,华中师范大学,本科批,普通类,622,10738,27,,地理
2023,物理,华中师范大学,本科批,普通类,630,8188,28,,地理
2023,物理,湖北大学,本科批,普通类,590,23984,09,,不限
2023,物理,湖北大学,本科批,普通类,585,26407,10,,不限
2023,物理,湖北大学,本科批,普通类,583,27480,11,,不限
2023,物理,湖北大学,本科批,普通类,585,26407,12,,不限
2023,物理,湖北大学,本科批,普通类,583,27480,13,,不限
2023,物理,湖北大学,本科批,普通类,567,36152,14,,不限
2023,物理,湖北大学,本科批,普通类,563,38543,15,,化学
2023,物理,湖北大学,本科批,普通类,567,36152,16,,化学或生物
2023,物理,湖北大学,本科批,普通类,577,30633,17,,化学或地理
2023,物理,湖北大学,本科批,普通类,539,53525,18,,化学
2023,物理,湖北大学,本科批,普通类,555,43426,19,,不限
2023,物理,湖北大学,本科批,普通类,531,58805,20,,化学或生物
2023,物理,湖北大学,本科批,国家专项计划,576,31174,21,,不限
2023,物理,湖北大学,本科批,国家专项计划,576,31174,22,,不限
2023,物理,湖北大学,本科批,国家专项计划,560,40316,23,,化学或生物
2023,物理,湖北大学,本科批,国家专项计划,559,40891,24,,化学
2023,物理,湖北师范大学,本科批,普通类,522,64838,05,,不限
2023,物理,湖北师范大学,本科批,普通类,490,85998,06,,不限
2023,物理,湖北师范大学,本科批,地方专项计划,519,66865,07,,不限
2023,物理,湖北师范大学,本科批,普通类,510,72830,08,,化学
2023,物理,湖北师范大学,本科批,地方专项计划,508,74169,09,,化学
2023,物理,湖北师范大学,本科批,普通类,517,68196,10,,化学或生物
2023,物理,湖北师范大学,本科批,普通类,521,65483,11,,化学或地理
2023,物理,黄冈师范学院,本科批,普通类,500,79456,05,,不限
2023,物理,黄冈师范学院,本科批,地方专项计划,496,82064,06,,不限
2023,物理,黄冈师范学院,本科批,普通类,496,82064,07,,化学
2023,物理,黄冈师范学院,本科批,普通类,499,80073,08,,化学或生物
2023,物理,黄冈师范学院,本科批,普通类,513,70821,09,,化学或地理
2023,物理,湖北民族大学,本科批,普通类,489,86617,04,,不限
2023,物理,湖北民族大学,本科批,少数民族预科班,478,93886,05,,不限
2023,物理,湖北民族大学,本科批,普通类,489,86617,06,,化学
2023,物理,湖北民族大学,本科批,普通类,496,82064,07,,化学或生物
2023,物理,湖北民族大学,本科批,地方专项计划,487,87916,16,,化学或地理
2023,物理,湖北民族大学,本科批,地方专项计划,489,86617,17,,政治
2023,物理,湖北文理学院,本科批,普通类,512,71506,12,,首选物理，再选化学/生物(2选1)
2023,物理,湖北文理学院,本科批,普通类,502,78152,13,,首选物理，再选化学/地理(2选1)
2023,物理,湖北文理学院,本科批,普通类,499,80073,08,,首选物理，再选不限
2023,物理,湖北文理学院,本科批,普通类,496,82064,07,,首选物理，再选不限
2023,物理,湖北文理学院,本科批,普通类,495,82662,11,,首选物理，再选化学/生物(2选1)
2023,物理,湖北文理学院,本科批,普通类,494,83332,10,,首选物理，再选化学
2023,物理,湖北文理学院,本科批,地方专项计划,494,83332,09,,首选物理，再选不限
2023,物理,中南财经政法大学,本科批,普通类,632,7635,424,,（11）
2023,物理,武汉体育学院,本科批,普通类,511,72170,424,,（02）
2023,物理,湖北美术学院,本科批,普通类,492,84697,424,,（02）
2023,物理,中南民族大学,本科批,普通类,582,27991,424,,（09）
2023,物理,湖北汽车工业学院,本科批,普通类,490,85998,424,,（04）
2023,物理,湖北工程学院,本科批,普通类,494,83332,424,,（07）
2023,物理,湖北理工学院,本科批,普通类,497,81403,424,,（14）
2023,物理,湖北科技学院,本科批,普通类,531,58805,424,,（11）
2023,物理,湖北医药学院,本科批,普通类,513,70821,424,,（03）
2023,物理,武昌工学院,本科批,普通类,442,117824,424,,（03）
2023,物理,江汉大学,本科批,普通类,579,29562,424,,（12）
2023,物理,三峡大学,本科批,普通类,554,44071,424,,（05）
2023,物理,湖北警官学院,本科批,普通类,513,70821,424,,（08）
2023,物理,荆楚理工学院,本科批,普通类,507,74812,424,,（14）
2023,物理,湖北经济学院,本科批,普通类,535,56140,424,,（07）
2023,物理,武汉商学院,本科批,普通类,517,68196,424,,（04）
2023,物理,湖北师范大学文理学院,本科批,普通类,451,111818,424,,（02）
2023,物理,空军预警学院,本科提前批,普通类,634,7081,01,,首选物理，再选不限
2023,物理,空军预警学院,本科提前批,普通类,617,12411,02,,首选物理，再选不限
2023,物理,空军预警学院,本科提前批,普通类,578,30096,03,,首选物理，再选不限
2023,物理,湖北第二师范学院,本科批,普通类,530,59451,424,,（16）
2023,物理,武汉工商学院,本科批,普通类,440,119161,424,,（03）
2023,物理,汉口学院,本科批,普通类,436,121791,424,,（02）
2023,物理,湖北经济学院法商学院,本科批,普通类,458,107139,424,,（05）
2023,物理,湖北工业大学工程技术学院,本科批,普通类,452,111186,424,,（02）
2023,物理,湖北恩施学院,本科批,普通类,458,107139,424,,（10）
2023,物理,湖北大学知行学院,本科批,普通类,449,113211,424,,（03）
