year,subject,school_name,group_id,group_code,min_score,min_rank
2024,物理,武汉大学,09,A14109,653,2315
2024,物理,武汉大学,12,A14112,649,2879
2024,物理,华中科技大学,04,A14304,648,3033
2024,物理,华中科技大学,03,A14303,648,3033
2024,物理,武汉大学,11,A14111,647,3218
2024,物理,武汉大学,10,A14110,644,3712
2024,物理,武汉大学,08,A14108,643,3901
2024,物理,武汉大学,06,A14106,641,4287
2024,物理,武汉 理工 大学,08,A14708,636,5326
2024,物理,武汉理工大学,09,A14709,635,5543
2024,物理,武汉理工大学,10,A14710,633,5982
2024,物理,华中科技大学,08,A14308,632,6243
2024,物理,武汉理工大学,11,A14711,630,6777
2024,物理,华中科技大学,06,A14306,630,6777
2024,物理,中南 财经  政法 大学,14,A15314,627,7659
2024,物理,华中科技大学,07,A14307,627,7659
2024,物理,华中 师范 大学,20,A15120,623,8760
2024,物理,华中师范大学,22,A15122,620,9701
2024,物理,华中师范大学,21,A15121,615,11395
2024,物理,武汉理工大学,12,A14712,613,12158
2024,物理,中南财经政法大学,18,A15318,611,12932
2024,物理,华中师范大学,17,A15117,611,12932
2024,物理,华中师范大学,18,A15118,610,13315
2024,物理,中国地质大学（武汉）,06,A14506,607,14519
2024,物理,华中农业大学,10,A14910,605,15356
2024,物理,中国地质大学（武汉）,07,A14507,604,15768
2024,物理,中国地质大学（武汉）,09,A14509,603,16230
2024,物理,武汉理工大学,13,A14713,602,16685
2024,物理,华中师范大学,15,A15115,601,17139
2024,物理,中南财经政法大学,15,A15315,601,17139
2024,物理,中国地质大学（武汉）,03,A14503,600,17613
2024,物理,中南财经政法大学,16,A15316,599,18084
2024,物理,华中农业大学,09,A14909,598,18563
2024,物理,华中农业大学,06,A14906,597,19063
2024,物理,武汉理工大学,06,A14706,597,19063
2024,物理,武汉科技大学,04,C10204,593,20986
2024,物理,华中农业大学,04,A14904,593,20986
2024,物理,武汉理工大学,14,A14714,592,21511
2024,物理,中国地质大学（武汉）,08,A14508,591,21997
2024,物理,华中农业大学,05,A14905,589,23071
2024,物理,湖北大学,08,C10308,586,24681
2024,物理,华中农业大学,07,A14907,583,26392
2024,物理,湖北大学,09,C10309,583,26392
2024,物理,武汉科技大学,05,C10205,581,27591
2024,物理,湖北大学,11,C10311,580,28232
2024,物理,江汉大学,13,C10813,580,28232
2024,物理,湖北大学,10,C10310,579,28901
2024,物理,中南 民族 大学,09,A15509,577,30080
2024,物理,武汉科技大学,06,C10206,577,30080
2024,物理,湖北大学,12,C10312,576,30713
2024,物理,三峡大学,15,C10615,576,30713
2024,物理,武汉科技大学,08,C10208,575,31351
2024,物理,武汉工程大学,05,C10905,575,31351
2024,物理,湖北工业大学,06,C13006,574,31969
2024,物理,湖北大学,13,C10313,572,33269
2024,物理,湖北大学,16,C10316,572,33269
2024,物理,湖北大学,14,C10314,571,33957
2024,物理,武汉科技大学,03,C10203,570,34621
2024,物理,武汉科技大学,07,C10207,570,34621
2024,物理,湖北工业大学,05,C13005,568,35978
2024,物理,中南民族大学,06,A15506,567,36659
2024,物理,武汉科技大学,09,C10209,567,36659
2024,物理,湖北工业大学,04,C13004,565,38007
2024,物理,湖北大学,15,C10315,562,40042
2024,物理,中南民族大学,08,A15508,561,40713
2024,物理,长江大学,11,C10511,560,41438
2024,物理,武汉工程大学,04,C10904,560,41438
2024,物理,湖北工业大学,07,C13007,560,41438
2024,物理,湖北工业大学,08,C13008,557,43617
2024,物理,武汉纺织大学,05,C11705,557,43617
2024,物理,武汉工程大学,06,C10906,556,44326
2024,物理,三峡大学,08,C10608,555,45051
2024,物理,江汉大学,09,C10809,555,45051
2024,物理,湖北工业大学,10,C13010,554,45841
2024,物理,三峡大学,09,C10609,554,45841
2024,物理,三峡大学,13,C10613,552,47282
2024,物理,武汉纺织大学,04,C11704,549,49538
2024,物理,江汉大学,11,C10811,549,49538
2024,物理,江汉大学,07,C10807,548,50295
2024,物理,三峡大学,11,C10611,548,50295
2024,物理,长江大学,07,C10507,547,51044
2024,物理,江汉大学,06,C10806,546,51834
2024,物理,三峡大学,12,C10612,546,51834
2024,物理,三峡大学,14,C10614,545,52528
2024,物理,湖北大学,18,C10318,544,53258
2024,物理,湖北大学,17,C10317,544,53258
2024,物理,长江大学,10,C10510,544,53258
2024,物理,江汉大学,08,C10808,544,53258
2024,物理,湖北工业大学,09,C13009,541,55676
2024,物理,长江大学,14,C10514,540,56499
2024,物理,湖北大学,19,C10319,540,56499
2024,物理,江汉大学,05,C10805,539,57256
2024,物理,江汉大学,10,C10810,539,57256
2024,物理,长江大学,06,C10506,538,58051
2024,物理,武汉工程大学,07,C10907,538,58051
2024,物理,长江大学,09,C10509,536,59716
2024,物理,长江大学,08,C10508,535,60488
2024,物理,江汉大学,12,C10812,534,61292
2024,物理,武汉纺织大学,06,C11706,534,61292
