school_code,school_name,group_code,group_id,xuanke_req,plan_count,admitted,min_score,min_rank,year,subject,is_special
0306,中国民用航空飞行学院,01,01,不限,30,0,528,29485,2024,历史,否
0306,中国民用航空飞行学院,02,02,思想政治,30,0,547,21993,2024,历史,否
1101,南京大学,03,03,不限,30,0,638,466,2024,历史,否
1102,东南大学,03,03,不限,30,0,629,533,2024,历史,否
1103,南京航空航天大学,01,01,不限,30,0,605,2375,2024,历史,否
1104,南京理工大学,01,01,不限,30,0,602,2450,2024,历史,否
1105,河海大学,01,01,不限,30,0,601,2475,2024,历史,否
1105,河海大学,02,02,不限,30,0,596,6934,2024,历史,否
1105,河海大学,03,03,思想政治,30,0,600,2500,2024,历史,否
1106,南京信息工程大学,01,01,不限,30,0,582,7866,2024,历史,否
1106,南京信息工程大学,02,02,思想政治,30,0,585,7666,2024,历史,否
1107,南京农业大学,01,01,不限,30,0,587,7533,2024,历史,否
1108,南京师范大学,05,05,不限,30,0,622,585,2024,历史,否
1108,南京师范大学,06,06,不限,30,0,617,2075,2024,历史,否
1108,南京师范大学,07,07,不限,30,0,597,6867,2024,历史,否
1108,南京师范大学,10,10,思想政治,30,0,609,2275,2024,历史,否
1108,南京师范大学,11,11,地理,30,0,606,2350,2024,历史,否
1109,中国药科大学,01,01,不限,30,0,585,7666,2024,历史,否
1110,南京工业大学,02,02,不限,30,0,562,14785,2024,历史,否
1111,南京邮电大学,02,02,不限,30,0,572,13714,2024,历史,否
1112,南京医科大学,01,01,不限,30,0,563,14678,2024,历史,否
1114,南京工程学院,01,01,不限,30,0,541,22856,2024,历史,否
1116,南京财经大学,01,01,不限,30,0,586,7600,2024,历史,否
1116,南京财经大学,02,02,不限,30,0,587,7533,2024,历史,否
1116,南京财经大学,03,03,不限,30,0,570,13928,2024,历史,否
1116,南京财经大学,04,04,不限,30,0,566,14357,2024,历史,否
1117,南京体育学院,01,01,不限,30,0,516,46000,2024,历史,否
1117,南京体育学院,02,02,不限,30,0,520,45000,2024,历史,否
1118,南京艺术学院,01,01,不限,30,0,513,46750,2024,历史,否
1119,南京审计大学,01,01,不限,30,0,566,14357,2024,历史,否
1120,南京晓庄学院,03,03,不限,30,0,541,22856,2024,历史,否
1120,南京晓庄学院,04,04,不限,30,0,525,30000,2024,历史,否
1120,南京晓庄学院,06,06,思想政治,30,0,561,14892,2024,历史,否
1120,南京晓庄学院,07,07,地理,30,0,552,21275,2024,历史,否
1128,金陵科技学院,01,01,不限,30,0,542,22712,2024,历史,否
1128,金陵科技学院,02,02,不限,30,0,528,29485,2024,历史,否
