school_code,school_name,group_code,group_id,xuanke_req,plan_count,admitted,min_score,min_rank,year,subject,is_special
0105,陆军工程大学,06,06,不限,30,0,594,26503,2024,物理,否
0105,陆军工程大学,07,07,化学,30,0,596,26004,2024,物理,否
0131,海军军医大学,04,04,化学,30,0,595,26253,2024,物理,否
0131,海军军医大学,05,05,化学,30,0,607,14882,2024,物理,否
0131,海军军医大学,06,06,化学,30,0,624,4751,2024,物理,否
0201,中国人民公安大学,08,08,不限,30,0,618,13125,2024,物理,否
0203,中国人民警察大学,08,08,不限,30,0,560,48000,2024,物理,否
0203,中国人民警察大学,09,09,化学,30,0,556,58503,2024,物理,否
0203,中国人民警察大学,10,10,思想政治,30,0,559,57284,2024,物理,否
0306,中国民用航空飞行学院,04,04,不限,30,0,543,63781,2024,物理,否
0306,中国民用航空飞行学院,05,05,化学,30,0,552,60127,2024,物理,否
0306,中国民用航空飞行学院,06,06,思想政治,30,0,544,63375,2024,物理,否
1101,南京大学,07,07,不限,30,0,661,390,2024,物理,否
1101,南京大学,08,08,化学,30,0,667,335,2024,物理,否
1101,南京大学,09,09,化学,30,0,663,372,2024,物理,否
1101,南京大学,10,10,化学,30,0,663,372,2024,物理,否
1102,东南大学,06,06,化学,30,0,660,400,2024,物理,否
1102,东南大学,07,07,不限,30,0,656,1108,2024,物理,否
1102,东南大学,08,08,化学,30,0,646,1353,2024,物理,否
1103,南京航空航天大学,04,04,化学,30,0,655,1132,2024,物理,否
1103,南京航空航天大学,05,05,化学,30,0,650,1255,2024,物理,否
1103,南京航空航天大学,06,06,化学,30,0,646,1353,2024,物理,否
1103,南京航空航天大学,07,07,化学,30,0,643,1426,2024,物理,否
1104,南京理工大学,02,02,化学,30,0,653,1181,2024,物理,否
1104,南京理工大学,03,03,化学,30,0,641,1475,2024,物理,否
1104,南京理工大学,05,05,化学,30,0,634,4130,2024,物理,否
1105,河海大学,04,04,化学,30,0,643,1426,2024,物理,否
1105,河海大学,05,05,化学,30,0,632,4254,2024,物理,否
1105,河海大学,06,06,化学,30,0,631,4316,2024,物理,否
1105,河海大学,07,07,化学,30,0,624,4751,2024,物理,否
1105,河海大学,09,09,不限,30,0,623,4813,2024,物理,否
1106,南京信息工程大学,08,08,化学,30,0,635,4068,2024,物理,否
1106,南京信息工程大学,09,09,化学,30,0,625,4689,2024,物理,否
1106,南京信息工程大学,10,10,化学,30,0,604,15361,2024,物理,否
1106,南京信息工程大学,11,11,化学,30,0,598,25504,2024,物理,否
1106,南京信息工程大学,12,12,化学,30,0,592,27003,2024,物理,否
1106,南京信息工程大学,13,13,不限,30,0,609,14562,2024,物理,否
1106,南京信息工程大学,14,14,不限,30,0,595,26253,2024,物理,否
1107,南京农业大学,03,03,不限,30,0,603,15520,2024,物理,否
1107,南京农业大学,04,04,化学,30,0,607,14882,2024,物理,否
1107,南京农业大学,05,05,化学,30,0,603,15520,2024,物理,否
1108,南京师范大学,16,16,不限,30,0,592,27003,2024,物理,否
1108,南京师范大学,19,19,化学,30,0,643,1426,2024,物理,否
1108,南京师范大学,20,20,化学,30,0,629,4440,2024,物理,否
1108,南京师范大学,21,21,化学,30,0,632,4254,2024,物理,否
1108,南京师范大学,22,22,化学,30,0,615,13604,2024,物理,否
1108,南京师范大学,23,23,化学,30,0,602,15680,2024,物理,否
1108,南京师范大学,26,26,地理,30,0,619,12965,2024,物理,否
1109,中国药科大学,02,02,化学,30,0,619,12965,2024,物理,否
1109,中国药科大学,03,03,化学,30,0,653,1181,2024,物理,否
1109,中国药科大学,04,04,化学,30,0,616,13444,2024,物理,否
1110,南京工业大学,05,05,不限,30,0,579,41489,2024,物理,否
1110,南京工业大学,06,06,化学,30,0,590,27502,2024,物理,否
1110,南京工业大学,07,07,化学,30,0,567,45601,2024,物理,否
1110,南京工业大学,08,08,化学,30,0,587,28251,2024,物理,否
1110,南京工业大学,09,09,化学,30,0,579,41489,2024,物理,否
1110,南京工业大学,10,10,化学,30,0,567,45601,2024,物理,否
1110,南京工业大学,11,11,化学,30,0,531,77258,2024,物理,否
1111,南京邮电大学,05,05,化学,30,0,634,4130,2024,物理,否
1111,南京邮电大学,06,06,化学,30,0,604,15361,2024,物理,否
1112,南京医科大学,04,04,不限,30,0,571,44230,2024,物理,否
1112,南京医科大学,05,05,化学,30,0,569,44916,2024,物理,否
1112,南京医科大学,06,06,化学,30,0,636,4006,2024,物理,否
1112,南京医科大学,07,07,化学,30,0,594,26503,2024,物理,否
1114,南京工程学院,03,03,不限,30,0,547,62157,2024,物理,否
1114,南京工程学院,05,05,化学,30,0,539,73602,2024,物理,否
1116,南京财经大学,06,06,不限,30,0,592,27003,2024,物理,否
1116,南京财经大学,07,07,不限,30,0,593,26753,2024,物理,否
1116,南京财经大学,08,08,不限,30,0,559,57284,2024,物理,否
1116,南京财经大学,09,09,不限,30,0,561,47657,2024,物理,否
1116,南京财经大学,12,12,化学,30,0,578,41832,2024,物理,否
1116,南京财经大学,13,13,化学,30,0,562,47314,2024,物理,否
1117,南京体育学院,04,04,不限,30,0,521,98453,2024,物理,否
1117,南京体育学院,06,06,化学,30,0,526,79543,2024,物理,否
1117,南京体育学院,07,07,生物,30,0,528,78629,2024,物理,否
1118,南京艺术学院,02,02,不限,30,0,534,75887,2024,物理,否
1118,南京艺术学院,03,03,化学,30,0,533,76344,2024,物理,否
1119,南京审计大学,05,05,不限,30,0,562,47314,2024,物理,否
1119,南京审计大学,09,09,化学,30,0,572,43888,2024,物理,否
1120,南京晓庄学院,10,10,不限,30,0,542,64187,2024,物理,否
1120,南京晓庄学院,11,11,不限,30,0,539,73602,2024,物理,否
1120,南京晓庄学院,13,13,化学,30,0,532,76801,2024,物理,否
1120,南京晓庄学院,14,14,思想政治,30,0,556,58503,2024,物理,否
1120,南京晓庄学院,15,15,地理,30,0,551,60533,2024,物理,否
1128,金陵科技学院,04,04,不限,30,0,535,75430,2024,物理,否
1128,金陵科技学院,06,06,化学,30,0,523,97353,2024,物理,否
1128,金陵科技学院,07,07,化学,30,0,519,99552,2024,物理,否
1128,金陵科技学院,08,08,化学,30,0,525,80000,2024,物理,否
1128,金陵科技学院,11,11,生物,30,0,534,75887,2024,物理,否
1131,江苏第二师范学院,16,16,不限,30,0,560,48000,2024,物理,否
1131,江苏第二师范学院,17,17,不限,30,0,535,75430,2024,物理,否
1131,江苏第二师范学院,18,18,不限,30,0,530,77715,2024,物理,否
1131,江苏第二师范学院,19,19,不限,30,0,533,76344,2024,物理,否
1131,江苏第二师范学院,22,22,化学,30,0,538,74059,2024,物理,否
1131,江苏第二师范学院,23,23,化学,30,0,516,101202,2024,物理,否
1131,江苏第二师范学院,24,24,思想政治,30,0,554,59315,2024,物理,否
1131,江苏第二师范学院,25,25,地理,30,0,540,65000,2024,物理,否
1133,南京特殊教育师范学院,04,04,不限,30,0,524,96803,2024,物理,否
1133,南京特殊教育师范学院,05,05,化学,30,0,513,102851,2024,物理,否
1136,南京工业职业技术大学,03,03,不限,30,0,519,99552,2024,物理,否
1201,江南大学,07,07,不限,30,0,619,12965,2024,物理,否
1201,江南大学,08,08,不限,30,0,605,15201,2024,物理,否
1201,江南大学,09,09,不限,30,0,605,15201,2024,物理,否
1201,江南大学,10,10,不限,30,0,598,25504,2024,物理,否
1201,江南大学,12,12,化学,30,0,605,15201,2024,物理,否
1201,江南大学,13,13,化学,30,0,608,14722,2024,物理,否
1201,江南大学,14,14,化学,30,0,606,15041,2024,物理,否
1201,江南大学,15,15,化学,30,0,622,4875,2024,物理,否
1201,江南大学,16,16,化学,30,0,611,14243,2024,物理,否
1201,江南大学,17,17,化学,30,0,615,13604,2024,物理,否
1201,江南大学,18,18,化学,30,0,631,4316,2024,物理,否
1201,江南大学,19,19,化学,30,0,622,4875,2024,物理,否
1201,江南大学,20,20,化学,30,0,618,13125,2024,物理,否
1201,江南大学,21,21,化学,30,0,615,13604,2024,物理,否
1201,江南大学,22,22,化学,30,0,615,13604,2024,物理,否
1201,江南大学,23,23,化学,30,0,615,13604,2024,物理,否
1201,江南大学,24,24,化学,30,0,616,13444,2024,物理,否
1201,江南大学,25,25,化学,30,0,617,13285,2024,物理,否
