school_name,group_code,min_score,min_rank,subject,xuanke_req,is_special,year
上海交通大学,05组,686,63,物理,不限,否,2025
北京大学,05组,686,63,物理,不限,否,2025
清华大学,04组,684,63,物理,不限,否,2025
复旦大学上海医学院,01组,681,164,物理,不限,否,2025
北京大学医学部,04组,681,164,物理,不限,否,2025
上海交通大学医学院,02组,678,261,物理,不限,否,2025
上海交通大学,03组,673,506,物理,不限,否,2025
复旦大学,04组,672,570,物理,不限,否,2025
浙江大学,02组,672,570,物理,不限,否,2025
北京大学医学部,03组,671,649,物理,不限,否,2025
中国科学技术大学,01组,669,830,物理,不限,否,2025
中国科学院大学,02组,669,830,物理,不限,否,2025
哈尔滨工业大学,08组,668,937,物理,不限,否,2025
北京大学医学部,02组,667,1039,物理,不限,否,2025
上海交通大学,04组(中外合作),663,1521,物理,不限,是,2025
上海交通大学医学院,01组,663,1521,物理,不限,否,2025
哈尔滨工业大学,04组,663,1521,物理,不限,否,2025
南京大学,07组,661,1835,物理,不限,否,2025
中国人民大学,05组,661,1835,物理,不限,否,2025
四川大学,10组,661,1835,物理,不限,否,2025
北京理工大学,02组,660,2027,物理,不限,否,2025
北京航空航天大学,02组,659,2209,物理,不限,否,2025
南京大学,08组,658,2414,物理,不限,否,2025
中国人民大学(苏州校区),05组,658,2414,物理,不限,否,2025
哈尔滨工业大学(深圳),02组,658,2414,物理,不限,否,2025
东南大学,06组,657,2618,物理,不限,否,2025
同济大学,04组,657,2618,物理,不限,否,2025
复旦大学上海医学院,02组,657,2618,物理,不限,否,2025
北京理工大学,03组,657,2618,物理,不限,否,2025
浙江大学医学院,01组,655,3081,物理,不限,否,2025
北京邮电大学,04组,655,3081,物理,不限,否,2025
四川大学,09组,655,3081,物理,不限,否,2025
东南大学,07组,654,3281,物理,不限,否,2025
南京航空航天大学,04组,654,3281,物理,不限,否,2025
中南大学,06组,654,3281,物理,不限,否,2025
同济大学,05组,653,3556,物理,不限,否,2025
武汉大学,06组,653,3556,物理,不限,否,2025
华中科技大学,02组,653,3556,物理,不限,否,2025
西安交通大学,03组,653,3556,物理,不限,否,2025
同济大学,07组(中外合作),652,3805,物理,不限,是,2025
华南理工大学,05组,652,3805,物理,不限,否,2025
浙江大学,03组(中外合作),651,4082,物理,不限,是,2025
南开大学,03组,651,4082,物理,不限,否,2025
武汉大学,05组,651,4082,物理,不限,否,2025
西安交通大学,07组,651,4082,物理,不限,否,2025
哈尔滨工业大学(威海),01组,650,4363,物理,不限,否,2025
天津医科大学,05组,650,4363,物理,不限,否,2025
电子科技大学,02组,650,4363,物理,不限,否,2025
重庆大学,03组,650,4363,物理,不限,否,2025
西北工业大学,03组,650,4363,物理,不限,否,2025
南京航空航天大学,05组,649,4675,物理,不限,否,2025
中国人民大学(苏州校区),04组(中外合作),649,4675,物理,不限,是,2025
同济大学,06组,649,4675,物理,不限,否,2025
华东师范大学,04组,649,4675,物理,不限,否,2025
华南理工大学,06组,649,4675,物理,不限,否,2025
电子科技大学(沙河校区),01组,649,4675,物理,不限,否,2025
西安交通大学,06组(中外合作),649,4675,物理,不限,是,2025
哈尔滨工业大学(威海),02组,648,4973,物理,不限,否,2025
中山大学,04组,648,4973,物理,不限,否,2025
华南理工大学,03组,648,4973,物理,不限,否,2025
西安交通大学,02组,648,4973,物理,不限,否,2025
北京邮电大学,01组,647,5310,物理,不限,否,2025
天津大学,02组,647,5310,物理,不限,否,2025
武汉大学,07组,647,5310,物理,不限,否,2025
华中科技大学,03组,647,5310,物理,不限,否,2025
四川大学,06组,647,5310,物理,不限,否,2025
中国药科大学,03组,646,5633,物理,不限,否,2025
华东师范大学,05组,646,5633,物理,不限,否,2025
浙江大学医学院,02组(中外合作),646,5633,物理,不限,是,2025
北京航空航天大学,03组(中外合作),646,5633,物理,不限,是,2025
大连理工大学,02组,646,5633,物理,不限,否,2025
哈尔滨工业大学(深圳),03组(中外合作),646,5633,物理,不限,是,2025
南京大学,09组(中外合作),645,5985,物理,不限,是,2025
南京航空航天大学,06组,645,5985,物理,不限,否,2025
山东大学,05组,645,5985,物理,不限,否,2025
北京交通大学,03组,645,5985,物理,不限,否,2025
吉林大学,11组,645,5985,物理,不限,否,2025
东南大学,08组,644,6362,物理,不限,否,2025
厦门大学,04组,644,6362,物理,不限,否,2025
北京师范大学,05组,644,6362,物理,不限,否,2025
北京交通大学,04组,644,6362,物理,不限,否,2025
中山大学,03组,644,6362,物理,不限,否,2025
华南理工大学,04组,644,6362,物理,不限,否,2025
电子科技大学(沙河校区),02组(中外合作),644,6362,物理,不限,是,2025
西安交通大学,04组(医学类),644,6362,物理,不限,否,2025
南京理工大学,02组,643,6732,物理,不限,否,2025
河海大学,04组,643,6732,物理,不限,否,2025
中国人民大学(苏州校区),03组(中外合作),643,6732,物理,不限,是,2025
中山大学,05组,643,6732,物理,不限,否,2025
南京理工大学,03组,642,7121,物理,不限,否,2025
南京师范大学,17组,642,7121,物理,不限,否,2025
中国海洋大学,14组,642,7121,物理,不限,否,2025
北京师范大学,04组,642,7121,物理,不限,否,2025
吉林大学,08组,642,7121,物理,不限,否,2025
哈尔滨工业大学,06组(中外合作),642,7121,物理,不限,是,2025
哈尔滨工程大学,08组,642,7121,物理,不限,否,2025
武汉理工大学,04组,642,7121,物理,不限,否,2025
西北工业大学,05组(中外合作),642,7121,物理,不限,是,2025
西安电子科技大学,03组,642,7121,物理,不限,否,2025
江南大学,27组,641,7529,物理,不限,否,2025
