year,subject,school_name,batch,kind,min_score,min_rank,group_id,group_name,xuanke_req
2024,历史,中山大学,本科批,普通类,618,1203,01,,不限
2024,历史,暨南大学,本科批,普通类,582,5912,01,,不限
2024,历史,汕头大学,本科批,普通类,542,17624,01,,不限
2024,历史,华南理工大学,本科批,普通类,606,2312,01,,不限
2024,历史,华南农业大学,本科批,普通类,567,9437,01,,政治
2024,历史,广东海洋大学,本科批,普通类,513,31267,01,,不限
2024,历史,广州医科大学,本科批,普通类,441,83666,01,,化学
2024,历史,广东医科大学,本科批,普通类,451,75514,01,,化学
2024,历史,广州中医药大学,本科批,普通类,532,21781,01,,生物
2024,历史,广东药科大学,本科批,普通类,499,39551,71,,首选历史，再选不限
2024,历史,广东药科大学,本科批,普通类,477,54870,49,,首选历史，再选化学
2024,历史,韶关学院,本科批,普通类,499,39556,01,,不限
2024,历史,惠州学院,本科批,普通类,528,23757,428,,（204）
2024,历史,韩山师范学院,本科批,普通类,513,31289,428,,（220)
2024,历史,岭南师范学院,本科批,普通类,520,27691,428,,（201）
2024,历史,肇庆学院,本科批,普通类,511,32381,428,,（206）
2024,历史,嘉应学院,本科批,普通类,504,36153,428,,（218）
2024,历史,广州体育学院,本科批,普通类,503,37230,75,,（201）专业组
2024,历史,星海音乐学院,本科批,普通类,519,28228,428,,（202）
2024,历史,广东技术师范大学,本科批,普通类,552,13882,01,,不限
2024,历史,深圳大学,本科批,普通类,588,4763,428,,首选历史，再选不限
2024,历史,广东财经大学,本科批,普通类,558,11817,428,,首选历史，再选不限
2024,历史,广东白云学院,本科批,普通类,473,58122,428,,（218）
2024,历史,广东轻工职业技术大学,本科批,普通类,498,40424,428,,（204）
2024,历史,广州大学,本科批,普通类,562,10647,428,,首选历史，再选思想政治
2024,历史,广州航海学院,本科批,普通类,503,37317,428,,(211)
2024,历史,广东警官学院,本科批,普通类,531,22374,428,,（202）
2024,历史,仲恺农业工程学院,本科批,普通类,508,33849,428,,（209）
2024,历史,五邑大学,本科批,普通类,518,28674,428,,首选历史，再选不限
2024,历史,广东金融学院,本科批,普通类,527,24224,428,,（211）
2024,历史,电子科技大学中山学院,本科批,普通类,475,56386,01,,不限
2024,历史,广东石油化工学院,本科批,普通类,500,38962,428,,（209）
2024,历史,东莞理工学院,本科批,普通类,514,30716,01,,不限
2024,历史,广东工业大学,本科批,普通类,549,15037,428,,首选历史，再选不限
2024,历史,广东外语外贸大学,本科批,普通类,557,12256,428,,首选历史，再选不限
2024,历史,佛山大学,本科批,普通类,543,17374,428,,首选历史，再选不限
2024,历史,广东培正学院,本科批,普通类,456,71172,01,,不限
2024,历史,南方医科大学,本科批,普通类,550,14665,428,,首选历史，再选不限
2024,历史,广东东软学院,本科批,普通类,462,65868,01,,不限
2024,历史,广州城市理工学院,本科批,普通类,483,50073,01,,不限
2024,历史,广州软件学院,本科批,普通类,464,64844,428,,首选历史，再选不限
2024,历史,广州南方学院,本科批,普通类,473,57564,01,,不限
2024,历史,广东外语外贸大学南国商学院,本科批,普通类,473,58085,428,,首选历史，再选不限
2024,历史,广州华商学院,本科批,普通类,436,88427,01,,不限
2024,历史,湛江科技学院,本科批,普通类,428,96229,01,,不限
2024,历史,华南农业大学珠江学院,本科批,普通类,428,96151,01,,不限
2024,历史,广州理工学院,本科批,普通类,431,93383,01,,不限
2024,历史,广州华立学院,本科批,普通类,428,96247,428,,（209）
2024,历史,广州应用科技学院,本科批,普通类,454,73119,428,,（201）
2024,历史,广州商学院,本科批,普通类,460,68111,428,,（201）
2024,历史,珠海科技学院,本科批,普通类,487,47648,428,,(207)
2024,历史,广州工商学院,本科批,普通类,430,93512,428,,(206)
2024,历史,广州科技职业技术大学,本科批,普通类,460,220926,442,,（204)
2024,历史,广东科技学院,本科批,普通类,428,96257,428,,（201）
2024,历史,广东理工学院,本科批,普通类,428,96251,428,,（205)
2024,历史,广东工商职业技术大学,本科批,普通类,428,96259,428,,（210)
2024,历史,肇庆医学院,本科批,(原肇庆医学高等专科学校),447,78371,01,,化学
2024,历史,东莞城市学院,本科批,普通类,442,82646,428,,（208）
2024,历史,广州新华学院,本科批,普通类,478,54286,428,,（201）
2024,历史,广东第二师范学院,本科批,普通类,537,19757,428,,首选历史，再选思想政治
2024,历史,北京师范大学-香港浸会大学联合国际学院,本科批,普通类,569,8769,428,,(201)
2024,历史,深圳北理莫斯科大学,本科批,普通类,555,12747,01,,不限
2024,历史,深圳技术大学,本科批,普通类,543,17317,428,,（204）
2024,历史,哈尔滨工业大学(深圳),本科批,普通类,610,1916,428,,（201）
