year,subject,school_name,school_type,group_id,group_code,xuanke_req,xuanke_subjects,plan_count,min_score,min_rank,tuition_yuan,city,is_special,data_source
,历史,中山大学,985,221,221组,不限,不限,0,627,1317,5500,广州,否,gk100 真实
,历史,中山大学,985,211,211组,不限,不限,0,626,1409,5500,广州,否,gk100 真实
,历史,中山大学,985,222,222组,不限,不限,0,625,1433,5500,广州,否,gk100 真实
,历史,北京师范大学(珠海校区),985,208,208组,不限,不限,0,624,1569,5500,北京,否,gk100 真实
,历史,中山大学,985,210,210组,不限,不限,0,623,1590,5500,广州,否,gk100 真实
,历史,哈尔滨工业大学(深圳),985,201,201组,不限,不限,0,619,2037,5500,其他,否,gk100 真实
,历史,广州中医药大学,普通,209,209组,不限,不限,0,619,2062,5500,其他,否,gk100 真实
,历史,华南理工大学,985,211,211组,不限,不限,0,615,2478,5500,广州,否,gk100 真实
,历史,暨南大学,211,209,209组,不限,不限,0,613,2810,5500,广州,否,gk100 真实
,历史,华南师范大学,211,201,201组,不限,不限,0,612,2898,5500,广州,否,gk100 真实
,历史,暨南大学,211,201,201组,不限,不限,0,609,3362,5500,广州,否,gk100 真实
,历史,暨南大学,211,205,205组,不限,不限,0,606,3867,5500,广州,否,gk100 真实
,历史,暨南大学,211,206,206组,不限,不限,0,605,4126,5500,广州,否,gk100 真实
,历史,暨南大学,211,207,207组,不限,不限,0,604,4278,5500,广州,否,gk100 真实
,历史,暨南大学,211,208,208组,不限,不限,0,604,4307,5500,广州,否,gk100 真实
,历史,华南师范大学,211,203,203组,不限,不限,0,604,4325,5500,广州,否,gk100 真实
,历史,华南师范大学,211,204,204组,不限,不限,0,604,4417,5500,广州,否,gk100 真实
,历史,华南师范大学,211,207,207组,不限,不限,0,603,4477,5500,广州,否,gk100 真实
,历史,暨南大学,211,203,203组,不限,不限,0,603,4574,5500,广州,否,gk100 真实
,历史,暨南大学,211,204,204组,不限,不限,0,603,4615,5500,广州,否,gk100 真实
,历史,广州中医药大学,普通,210,210组,不限,不限,0,602,4653,5500,其他,否,gk100 真实
,历史,华南师范大学,211,215,215组(地方专项）,不限,不限,0,601,4908,5500,广州,否,gk100 真实
,历史,广州中医药大学,普通,211,211组,不限,不限,0,600,5280,5500,其他,否,gk100 真实
,历史,华南师范大学,211,209,209组,不限,不限,0,599,5426,5500,广州,否,gk100 真实
,历史,深圳大学,普通,202,202组,不限,不限,0,598,5522,5500,其他,否,gk100 真实
,历史,暨南大学,211,202,202组(艺术类）,不限,不限,0,598,5524,5500,广州,否,gk100 真实
,历史,华南师范大学,211,205,205组,不限,不限,0,598,5572,5500,广州,否,gk100 真实
,历史,深圳大学,普通,201,201组,不限,不限,0,598,5661,5500,其他,否,gk100 真实
,历史,华南师范大学,211,202,202组,不限,不限,0,598,5680,5500,广州,否,gk100 真实
,历史,华南师范大学,211,210,210组,不限,不限,0,597,5820,5500,广州,否,gk100 真实
,历史,深圳大学,普通,205,205组,不限,不限,0,594,6507,5500,其他,否,gk100 真实
,历史,华南师范大学,211,208,208组,不限,不限,0,593,6868,5500,广州,否,gk100 真实
,历史,华南师范大学,211,206,206组,不限,不限,0,593,6889,5500,广州,否,gk100 真实
,历史,深圳大学,普通,206,206组,不限,不限,0,592,7170,5500,其他,否,gk100 真实
,历史,深圳大学,普通,203,203组,不限,不限,0,592,7171,5500,其他,否,gk100 真实
,历史,深圳大学,普通,204,204组,不限,不限,0,592,7271,5500,其他,否,gk100 真实
,历史,华南师范大学,211,214,214组(地方专项),不限,不限,0,590,7725,5500,广州,否,gk100 真实
,历史,广东外语外贸大学,普通,204,204组,不限,不限,0,589,8150,5500,其他,否,gk100 真实
,历史,华南师范大学,211,216,216组(地方专项),不限,不限,0,587,8513,5500,广州,否,gk100 真实
,历史,华南师范大学,211,217,217组（联合培养）,不限,不限,0,587,8700,5500,广州,否,gk100 真实
,历史,广东外语外贸大学,普通,203,203组,不限,不限,0,586,9030,5500,其他,否,gk100 真实
,历史,华南农业大学,普通,201,201组,不限,不限,0,586,9104,5500,其他,否,gk100 真实
,历史,华南师范大学,211,218,218组（中外合作）,不限,不限,0,585,9329,5500,广州,否,gk100 真实
,历史,北师香港浸会大学,普通,201,201组(内地香港合作办学),不限,不限,0,585,9405,5500,其他,否,gk100 真实
,历史,广州中医药大学,普通,218,218组(地方专项）,不限,不限,0,584,9758,5500,其他,否,gk100 真实
,历史,广东外语外贸大学,普通,202,202组,不限,不限,0,583,9931,5500,其他,否,gk100 真实
,历史,华南师范大学,211,269,269组(地方专项),不限,不限,0,583,9945,5500,广州,否,gk100 真实
,历史,广东外语外贸大学,普通,205,205组,不限,不限,0,582,10296,5500,其他,否,gk100 真实
,历史,华南农业大学,普通,206,206组,不限,不限,0,581,10583,5500,其他,否,gk100 真实
,历史,广东外语外贸大学,普通,201,201组,不限,不限,0,580,10934,5500,其他,否,gk100 真实
,历史,广州大学,普通,224,224组,不限,不限,0,580,11020,5500,其他,否,gk100 真实
,历史,广东外语外贸大学,普通,206,206组,不限,不限,0,580,11073,5500,其他,否,gk100 真实
,历史,广东财经大学,普通,205,205组,不限,不限,0,579,11310,5500,其他,否,gk100 真实
,历史,广州大学,普通,222,222组,不限,不限,0,579,11376,5500,其他,否,gk100 真实
,历史,华南农业大学,普通,202,202组,不限,不限,0,577,12020,5500,其他,否,gk100 真实
,历史,广州大学,普通,227,227组,不限,不限,0,577,12118,5500,其他,否,gk100 真实
,历史,华南师范大学(汕尾校区),211,201,201组,不限,不限,0,577,12194,5500,广州,否,gk100 真实
,历史,广州大学,普通,221,221组,不限,不限,0,576,12295,5500,其他,否,gk100 真实
,历史,广州大学,普通,246,246组(地方专项),不限,不限,0,576,12353,5500,其他,否,gk100 真实
,历史,深圳北理莫斯科大学,普通,204,204组(中外合作）,不限,不限,0,575,12933,5500,其他,否,gk100 真实
,历史,华南师范大学,211,212,212组(地方专项),不限,不限,0,574,13293,5500,广州,否,gk100 真实
,历史,华南农业大学,普通,203,203组,不限,不限,0,573,13703,5500,其他,否,gk100 真实
,历史,广东技术师范大学,普通,232,232组,不限,不限,0,572,13874,5500,其他,否,gk100 真实
,历史,广州大学,普通,225,225组,不限,不限,0,571,14270,5500,其他,否,gk100 真实
,历史,南方医科大学,普通,207,207组,不限,不限,0,571,14424,5500,其他,否,gk100 真实
,历史,深圳大学,普通,211,211组(地方专项),不限,不限,0,570,14757,5500,其他,否,gk100 真实
,历史,广东工业大学,普通,204,204组,不限,不限,0,569,15003,5500,其他,否,gk100 真实
,历史,广东药科大学,普通,211,211组,不限,不限,0,568,15656,5500,其他,否,gk100 真实
,历史,华南农业大学,普通,205,205组,不限,不限,0,568,15683,5500,其他,否,gk100 真实
,历史,广州大学,普通,226,226组,不限,不限,0,568,15714,5500,其他,否,gk100 真实
,历史,华南农业大学,普通,207,207组,不限,不限,0,567,15903,5500,其他,否,gk100 真实
,历史,广东技术师范大学,普通,240,240组,不限,不限,0,567,15948,5500,其他,否,gk100 真实
,历史,深圳技术大学,普通,204,204组,不限,不限,0,567,16000,5500,其他,否,gk100 真实
,历史,广东外语外贸大学,普通,207,207组(粤澳合作),不限,不限,0,566,16297,5500,其他,否,gk100 真实
,历史,汕头大学,普通,201,201组,不限,不限,0,566,16596,5500,其他,否,gk100 真实
,历史,广州大学,普通,223,223组,不限,不限,0,565,16689,5500,其他,否,gk100 真实
,历史,广东技术师范大学,普通,233,233组,不限,不限,0,565,17015,5500,其他,否,gk100 真实
,历史,广东财经大学,普通,201,201组,不限,不限,0,564,17144,5500,其他,否,gk100 真实
,历史,汕头大学,普通,202,202组,不限,不限,0,564,17167,5500,其他,否,gk100 真实
,历史,广东工业大学,普通,205,205组,不限,不限,0,563,17735,5500,其他,否,gk100 真实
,历史,佛山大学,普通,220,220组,不限,不限,0,563,17927,5500,其他,否,gk100 真实
,历史,广州医科大学,普通,205,205组,不限,不限,0,563,17943,5500,其他,否,gk100 真实
,历史,佛山大学,普通,222,222组,不限,不限,0,563,17952,5500,其他,否,gk100 真实
,历史,华南农业大学,普通,208,208组,不限,不限,0,562,18085,5500,其他,否,gk100 真实
,历史,广东财经大学,普通,207,207组,不限,不限,0,562,18195,5500,其他,否,gk100 真实
,历史,华南师范大学,211,213,213组(地方专项),不限,不限,0,561,18548,5500,广州,否,gk100 真实
,历史,广东技术师范大学,普通,234,234组(地方专项),不限,不限,0,561,18577,5500,其他,否,gk100 真实
,历史,广东财经大学,普通,203,203组,不限,不限,0,561,18634,5500,其他,否,gk100 真实
,历史,广州中医药大学,普通,213,213组,不限,不限,0,561,18775,5500,其他,否,gk100 真实
,历史,广东工业大学,普通,202,202组,不限,不限,0,561,18785,5500,其他,否,gk100 真实
,历史,广东财经大学,普通,209,209组,不限,不限,0,560,18923,5500,其他,否,gk100 真实
,历史,广东技术师范大学,普通,243,243组,不限,不限,0,560,19041,5500,其他,否,gk100 真实
,历史,广东技术师范大学,普通,238,238组,不限,不限,0,560,19090,5500,其他,否,gk100 真实
,历史,广东财经大学,普通,212,212组,不限,不限,0,560,19251,5500,其他,否,gk100 真实
,历史,广东工业大学,普通,200,200组,不限,不限,0,560,19258,5500,其他,否,gk100 真实
,历史,广东技术师范大学,普通,236,236组,不限,不限,0,560,19346,5500,其他,否,gk100 真实
,历史,广东工业大学,普通,201,201组,不限,不限,0,559,19490,5500,其他,否,gk100 真实
,历史,广东工业大学,普通,203,203组,不限,不限,0,559,19566,5500,其他,否,gk100 真实
,历史,佛山大学,普通,221,221组,不限,不限,0,559,19728,5500,其他,否,gk100 真实
,历史,深圳职业技术大学,普通,241,241组,不限,不限,0,558,20061,5500,其他,否,gk100 真实
,历史,佛山大学,普通,219,219组,不限,不限,0,558,20170,5500,其他,否,gk100 真实
,历史,广东技术师范大学,普通,242,242组,不限,不限,0,557,20515,5500,其他,否,gk100 真实
,历史,华南师范大学,211,211,211组(地方专项),不限,不限,0,557,20763,5500,广州,否,gk100 真实
,历史,广东警官学院,普通,202,202组,不限,不限,0,556,20953,5500,其他,否,gk100 真实
,历史,广东第二师范学院,普通,214,214组,不限,不限,0,556,21028,5500,其他,否,gk100 真实
,历史,广东技术师范大学,普通,237,237组,不限,不限,0,556,21043,5500,其他,否,gk100 真实
,历史,广州中医药大学,普通,212,212组,不限,不限,0,556,21146,5500,其他,否,gk100 真实
,历史,广东金融学院,普通,211,211组,不限,不限,0,555,21588,5500,其他,否,gk100 真实
,历史,广东技术师范大学,普通,244,244组,不限,不限,0,553,22316,5500,其他,否,gk100 真实
,历史,广东技术师范大学,普通,241,241组,不限,不限,0,553,22511,5500,其他,否,gk100 真实
,历史,广东技术师范大学,普通,235,235组(地方专项）,不限,不限,0,553,22716,5500,其他,否,gk100 真实
,历史,汕头大学,普通,208,208组(地方专项）,不限,不限,0,553,22751,5500,其他,否,gk100 真实
,历史,广东外语外贸大学,普通,208,208组(地方专项),不限,不限,0,552,22979,5500,其他,否,gk100 真实
,历史,广东工业大学,普通,268,268组（学分互认）,不限,不限,0,552,23020,5500,其他,否,gk100 真实
,历史,广东第二师范学院,普通,212,212组,不限,不限,0,552,23229,5500,其他,否,gk100 真实
,历史,南方医科大学,普通,209,209组(地方专项）,不限,不限,0,551,23345,5500,其他,否,gk100 真实
,历史,汕头大学,普通,207,207组(地方专项）,不限,不限,0,551,23398,5500,其他,否,gk100 真实
,历史,广东技术师范大学(河源校区),普通,203,203组,不限,不限,0,550,24274,5500,其他,否,gk100 真实
,历史,广东工业大学,普通,281,281组（地方专项）,不限,不限,0,550,24279,5500,其他,否,gk100 真实
,历史,惠州学院,普通,204,204组,不限,不限,0,549,24578,5500,其他,否,gk100 真实
,历史,广东第二师范学院,普通,211,211组,不限,不限,0,549,24624,5500,其他,否,gk100 真实
,历史,广东工业大学(揭阳校区),普通,201,201组,不限,不限,0,549,24663,5500,其他,否,gk100 真实
,历史,广州医科大学,普通,208,208组(地方专项),不限,不限,0,549,24780,5500,其他,否,gk100 真实
,历史,广州大学,普通,239,239组(中外合作）,不限,不限,0,548,25099,5500,其他,否,gk100 真实
,历史,广州大学,普通,247,247组(地方专项),不限,不限,0,548,25220,5500,其他,否,gk100 真实
,历史,广东金融学院,普通,212,212组,不限,不限,0,548,25237,5500,其他,否,gk100 真实
,历史,惠州学院,普通,201,201组,不限,不限,0,547,25437,5500,其他,否,gk100 真实
,历史,广州大学,普通,248,248组(地方专项),不限,不限,0,547,25444,5500,其他,否,gk100 真实
,历史,广东药科大学,普通,214,214组,不限,不限,0,547,25604,5500,其他,否,gk100 真实
,历史,广东海洋大学,普通,232,232组(地方专项),不限,不限,0,547,25798,5500,其他,否,gk100 真实
,历史,星海音乐学院,普通,201,201组,不限,不限,0,547,25922,5500,其他,否,gk100 真实
