school_name,group_code,min_score,min_rank,subject,xuanke_req,is_special,year,plan_count
中山大学,221组,627,1317,历史,不限,否,2025,0
中山大学,211组,626,1409,历史,不限,否,2025,0
中山大学,222组,625,1433,历史,不限,否,2025,0
北京师范大学(珠海校区),208组,624,1569,历史,不限,否,2025,0
中山大学,210组,623,1590,历史,不限,否,2025,0
哈尔滨工业大学(深圳),201组,619,2037,历史,不限,否,2025,0
广州中医药大学,209组,619,2062,历史,不限,否,2025,0
华南理工大学,211组,615,2478,历史,不限,否,2025,0
暨南大学,209组,613,2810,历史,不限,否,2025,0
华南师范大学,201组,612,2898,历史,不限,否,2025,0
暨南大学,201组,609,3362,历史,不限,否,2025,0
暨南大学,205组,606,3867,历史,不限,否,2025,0
暨南大学,206组,605,4126,历史,不限,否,2025,0
暨南大学,207组,604,4278,历史,不限,否,2025,0
暨南大学,208组,604,4307,历史,不限,否,2025,0
华南师范大学,203组,604,4325,历史,不限,否,2025,0
华南师范大学,204组,604,4417,历史,不限,否,2025,0
华南师范大学,207组,603,4477,历史,不限,否,2025,0
暨南大学,203组,603,4574,历史,不限,否,2025,0
暨南大学,204组,603,4615,历史,不限,否,2025,0
广州中医药大学,210组,602,4653,历史,不限,否,2025,0
华南师范大学,215组(地方专项）,601,4908,历史,不限,否,2025,0
广州中医药大学,211组,600,5280,历史,不限,否,2025,0
华南师范大学,209组,599,5426,历史,不限,否,2025,0
深圳大学,202组,598,5522,历史,不限,否,2025,0
暨南大学,202组(艺术类）,598,5524,历史,不限,否,2025,0
华南师范大学,205组,598,5572,历史,不限,否,2025,0
深圳大学,201组,598,5661,历史,不限,否,2025,0
华南师范大学,202组,598,5680,历史,不限,否,2025,0
华南师范大学,210组,597,5820,历史,不限,否,2025,0
深圳大学,205组,594,6507,历史,不限,否,2025,0
华南师范大学,208组,593,6868,历史,不限,否,2025,0
华南师范大学,206组,593,6889,历史,不限,否,2025,0
深圳大学,206组,592,7170,历史,不限,否,2025,0
深圳大学,203组,592,7171,历史,不限,否,2025,0
深圳大学,204组,592,7271,历史,不限,否,2025,0
华南师范大学,214组(地方专项),590,7725,历史,不限,否,2025,0
广东外语外贸大学,204组,589,8150,历史,不限,否,2025,0
华南师范大学,216组(地方专项),587,8513,历史,不限,否,2025,0
华南师范大学,217组（联合培养）,587,8700,历史,不限,否,2025,0
广东外语外贸大学,203组,586,9030,历史,不限,否,2025,0
华南农业大学,201组,586,9104,历史,不限,否,2025,0
华南师范大学,218组（中外合作）,585,9329,历史,不限,否,2025,0
北师香港浸会大学,201组(内地香港合作办学),585,9405,历史,不限,否,2025,0
广州中医药大学,218组(地方专项）,584,9758,历史,不限,否,2025,0
广东外语外贸大学,202组,583,9931,历史,不限,否,2025,0
华南师范大学,269组(地方专项),583,9945,历史,不限,否,2025,0
广东外语外贸大学,205组,582,10296,历史,不限,否,2025,0
华南农业大学,206组,581,10583,历史,不限,否,2025,0
广东外语外贸大学,201组,580,10934,历史,不限,否,2025,0
广州大学,224组,580,11020,历史,不限,否,2025,0
广东外语外贸大学,206组,580,11073,历史,不限,否,2025,0
广东财经大学,205组,579,11310,历史,不限,否,2025,0
广州大学,222组,579,11376,历史,不限,否,2025,0
华南农业大学,202组,577,12020,历史,不限,否,2025,0
广州大学,227组,577,12118,历史,不限,否,2025,0
华南师范大学(汕尾校区),201组,577,12194,历史,不限,否,2025,0
广州大学,221组,576,12295,历史,不限,否,2025,0
广州大学,246组(地方专项),576,12353,历史,不限,否,2025,0
深圳北理莫斯科大学,204组(中外合作）,575,12933,历史,不限,否,2025,0
华南师范大学,212组(地方专项),574,13293,历史,不限,否,2025,0
华南农业大学,203组,573,13703,历史,不限,否,2025,0
广东技术师范大学,232组,572,13874,历史,不限,否,2025,0
广州大学,225组,571,14270,历史,不限,否,2025,0
南方医科大学,207组,571,14424,历史,不限,否,2025,0
深圳大学,211组(地方专项),570,14757,历史,不限,否,2025,0
广东工业大学,204组,569,15003,历史,不限,否,2025,0
广东药科大学,211组,568,15656,历史,不限,否,2025,0
华南农业大学,205组,568,15683,历史,不限,否,2025,0
广州大学,226组,568,15714,历史,不限,否,2025,0
华南农业大学,207组,567,15903,历史,不限,否,2025,0
广东技术师范大学,240组,567,15948,历史,不限,否,2025,0
深圳技术大学,204组,567,16000,历史,不限,否,2025,0
广东外语外贸大学,207组(粤澳合作),566,16297,历史,不限,否,2025,0
汕头大学,201组,566,16596,历史,不限,否,2025,0
广州大学,223组,565,16689,历史,不限,否,2025,0
广东技术师范大学,233组,565,17015,历史,不限,否,2025,0
广东财经大学,201组,564,17144,历史,不限,否,2025,0
汕头大学,202组,564,17167,历史,不限,否,2025,0
广东工业大学,205组,563,17735,历史,不限,否,2025,0
佛山大学,220组,563,17927,历史,不限,否,2025,0
广州医科大学,205组,563,17943,历史,不限,否,2025,0
佛山大学,222组,563,17952,历史,不限,否,2025,0
华南农业大学,208组,562,18085,历史,不限,否,2025,0
广东财经大学,207组,562,18195,历史,不限,否,2025,0
华南师范大学,213组(地方专项),561,18548,历史,不限,否,2025,0
广东技术师范大学,234组(地方专项),561,18577,历史,不限,否,2025,0
广东财经大学,203组,561,18634,历史,不限,否,2025,0
广州中医药大学,213组,561,18775,历史,不限,否,2025,0
广东工业大学,202组,561,18785,历史,不限,否,2025,0
