year,subject,school_name,school_type,group_id,xuanke_req,xuanke_subjects,plan_count,min_score,min_rank,tuition_yuan,city,is_special,data_source
2024,物理,中山大学,985,1,不限,物理,30,625,9394,5500,广州,否,555edu 逐校
2024,物理,暨南大学,211,1,不限,物理,30,584,34254,5500,广州,否,555edu 逐校
2024,物理,汕头大学,普通,1,不限,物理,30,551,68892,5500,其他,否,555edu 逐校
2024,物理,华南理工大学,985,1,化学,物理|化学,30,637,5640,5500,广州,否,555edu 逐校
2024,物理,华南农业大学,普通,1,不限,物理,30,569,48709,5500,其他,否,555edu 逐校
2024,物理,广东海洋大学,普通,1,化学,物理|化学,30,543,79492,5500,其他,否,555edu 逐校
2024,物理,广州医科大学,普通,1,化学,物理|化学,30,615,13250,5500,其他,否,555edu 逐校
2024,物理,广东医科大学,普通,1,化学,物理|化学,30,549,71522,5500,其他,否,555edu 逐校
2024,物理,广州中医药大学,普通,1,化学,物理|化学,30,603,19907,5500,其他,否,555edu 逐校
2024,物理,广东药科大学,普通,112,首选物理，再选化学,物理,30,554,65158,5500,其他,否,555edu 逐校
2024,物理,广东药科大学,普通,102,首选物理，再选化学,物理,30,544,78409,5500,其他,否,555edu 逐校
2024,物理,广东药科大学,普通,80,首选物理，再选化学,物理,30,522,111811,5500,其他,否,555edu 逐校
2024,物理,广东药科大学,普通,78,首选物理，再选化学,物理,30,520,113816,5500,其他,否,555edu 逐校
2024,物理,广东药科大学,普通,63,首选物理，再选不限,物理,30,505,138472,5500,其他,否,555edu 逐校
2024,物理,广东药科大学,普通,60,首选物理，再选化学,物理,30,502,143557,5500,其他,否,555edu 逐校
2024,物理,广东药科大学,普通,77,首选物理，再选化学,物理,30,519,116206,5500,其他,是,555edu 逐校
2024,物理,惠州学院,普通,442,（226）,物理,30,543,79243,5500,其他,否,555edu 逐校
2024,物理,韩山师范学院,普通,442,（201）,物理,30,523,109707,5500,其他,否,555edu 逐校
2024,物理,岭南师范学院,普通,442,（207）,物理,30,530,98530,5500,其他,否,555edu 逐校
2024,物理,肇庆学院,普通,442,（218）,物理,30,528,102219,5500,其他,否,555edu 逐校
2024,物理,嘉应学院,普通,442,（204）,物理,30,541,82821,5500,其他,否,555edu 逐校
2024,物理,广州体育学院,普通,74,（203）专业组,物理,30,516,120589,5500,其他,否,555edu 逐校
2024,物理,广州体育学院,普通,67,（202）专业组,物理,30,509,131727,5500,其他,否,555edu 逐校
2024,物理,星海音乐学院,普通,442,（203）,物理,30,524,108278,5500,其他,否,555edu 逐校
2024,物理,广东技术师范大学,普通,1,化学,物理|化学,30,547,74643,5500,其他,否,555edu 逐校
2024,物理,深圳大学,普通,442,首选物理，再选化学,物理,30,628,8237,5500,其他,否,555edu 逐校
2024,物理,广东财经大学,普通,442,首选物理，再选不限,物理,30,564,54020,5500,其他,否,555edu 逐校
2024,物理,广东白云学院,普通,442,（209）,物理,30,479,185414,5500,其他,否,555edu 逐校
2024,物理,广东轻工职业技术大学,普通,442,（202）,物理,30,535,91785,5500,其他,否,555edu 逐校
2024,物理,广州大学,普通,442,首选物理，再选地理,物理,30,562,55732,5500,其他,否,555edu 逐校
2024,物理,广州航海学院,普通,442,(202),物理,30,511,129530,5500,其他,否,555edu 逐校
2024,物理,广东警官学院,普通,442,（201）,物理,30,544,78727,5500,其他,否,555edu 逐校
2024,物理,仲恺农业工程学院,普通,442,（204）,物理,30,510,130833,5500,其他,否,555edu 逐校
2024,物理,五邑大学,普通,442,首选物理，再选不限,物理,30,531,97738,5500,其他,否,555edu 逐校
2024,物理,广东金融学院,普通,442,（223）,物理,30,534,92181,5500,其他,否,555edu 逐校
2024,物理,电子科技大学中山学院,普通,1,化学,物理|化学,30,485,173966,5500,其他,否,555edu 逐校
2024,物理,广东石油化工学院,普通,442,（206）,物理,30,514,124618,5500,其他,否,555edu 逐校
2024,物理,东莞理工学院,普通,1,化学,物理|化学,30,556,62720,5500,其他,否,555edu 逐校
