year,subject,school_name,batch,kind,min_score,min_rank,group_id,group_name,xuanke_req
2024,物理,中山大学,本科批,普通类,625,9394,01,,不限
2024,物理,暨南大学,本科批,普通类,584,34254,01,,不限
2024,物理,汕头大学,本科批,普通类,551,68892,01,,不限
2024,物理,华南理工大学,本科批,普通类,637,5640,01,,化学
2024,物理,华南农业大学,本科批,普通类,569,48709,01,,不限
2024,物理,广东海洋大学,本科批,普通类,543,79492,01,,化学
2024,物理,广州医科大学,本科批,普通类,615,13250,01,,化学
2024,物理,广东医科大学,本科批,普通类,549,71522,01,,化学
2024,物理,广州中医药大学,本科批,普通类,603,19907,01,,化学
2024,物理,广东药科大学,本科批,普通类,554,65158,112,,首选物理，再选化学
2024,物理,广东药科大学,本科批,普通类,544,78409,102,,首选物理，再选化学
2024,物理,广东药科大学,本科批,普通类,522,111811,80,,首选物理，再选化学
2024,物理,广东药科大学,本科批,普通类,520,113816,78,,首选物理，再选化学
2024,物理,广东药科大学,本科批,普通类,505,138472,63,,首选物理，再选不限
2024,物理,广东药科大学,本科批,普通类,502,143557,60,,首选物理，再选化学
2024,物理,广东药科大学,本科批,国际班,519,116206,77,,首选物理，再选化学
2024,物理,惠州学院,本科批,普通类,543,79243,442,,（226）
2024,物理,韩山师范学院,本科批,普通类,523,109707,442,,（201）
2024,物理,岭南师范学院,本科批,普通类,530,98530,442,,（207）
2024,物理,肇庆学院,本科批,普通类,528,102219,442,,（218）
2024,物理,嘉应学院,本科批,普通类,541,82821,442,,（204）
2024,物理,广州体育学院,本科批,普通类,516,120589,74,,（203）专业组
2024,物理,广州体育学院,本科批,普通类,509,131727,67,,（202）专业组
2024,物理,星海音乐学院,本科批,普通类,524,108278,442,,（203）
2024,物理,广东技术师范大学,本科批,普通类,547,74643,01,,化学
2024,物理,深圳大学,本科批,普通类,628,8237,442,,首选物理，再选化学
2024,物理,广东财经大学,本科批,普通类,564,54020,442,,首选物理，再选不限
2024,物理,广东白云学院,本科批,普通类,479,185414,442,,（209）
2024,物理,广东轻工职业技术大学,本科批,普通类,535,91785,442,,（202）
2024,物理,广州大学,本科批,普通类,562,55732,442,,首选物理，再选地理
2024,物理,广州航海学院,本科批,普通类,511,129530,442,,(202)
2024,物理,广东警官学院,本科批,普通类,544,78727,442,,（201）
2024,物理,仲恺农业工程学院,本科批,普通类,510,130833,442,,（204）
2024,物理,五邑大学,本科批,普通类,531,97738,442,,首选物理，再选不限
2024,物理,广东金融学院,本科批,普通类,534,92181,442,,（223）
2024,物理,电子科技大学中山学院,本科批,普通类,485,173966,01,,化学
2024,物理,广东石油化工学院,本科批,普通类,514,124618,442,,（206）
2024,物理,东莞理工学院,本科批,普通类,556,62720,01,,化学
2024,物理,广东工业大学,本科批,普通类,594,25873,442,,首选物理，再选化学
2024,物理,广东外语外贸大学,本科批,普通类,567,50802,442,,首选物理，再选化学
2024,物理,佛山大学,本科批,普通类,560,57825,442,,首选物理，再选化学
2024,物理,广东培正学院,本科批,普通类,463,215525,01,,不限
2024,物理,南方医科大学,本科批,普通类,649,2977,442,,首选物理，再选化学
2024,物理,广东东软学院,本科批,普通类,481,182356,01,,化学
2024,物理,广州城市理工学院,本科批,普通类,491,163229,01,,化学
2024,物理,广州软件学院,本科批,普通类,475,192378,442,,首选物理，再选化学
2024,物理,广州南方学院,本科批,普通类,479,186465,01,,不限
2024,物理,广东外语外贸大学南国商学院,本科批,普通类,483,178818,442,,（221）
2024,物理,广州华商学院,本科批,普通类,452,235741,01,,不限
2024,物理,湛江科技学院,本科批,普通类,442,253755,01,,不限
2024,物理,华南农业大学珠江学院,本科批,普通类,472,199117,01,,不限
2024,物理,广州理工学院,本科批,普通类,451,236694,01,,化学
2024,物理,广州华立学院,本科批,普通类,454,231103,442,,（203）
2024,物理,广州应用科技学院,本科批,普通类,469,203836,442,,（217）
2024,物理,广州商学院,本科批,普通类,464,213090,442,,（205）
2024,物理,珠海科技学院,本科批,普通类,494,159057,442,,(210)
2024,物理,广州工商学院,本科批,普通类,446,245409,442,,(220)
2024,物理,广州科技职业技术大学,本科批,普通类,460,220926,442,,（204）
2024,物理,广东科技学院,本科批,普通类,457,226206,442,,（215）
2024,物理,广东理工学院,本科批,普通类,442,253768,442,,（204)
2024,物理,广东工商职业技术大学,本科批,普通类,450,239336,442,,（208)
2024,物理,肇庆医学院,本科批,普通类,490,165744,442,,（201)
2024,物理,东莞城市学院,本科批,普通类,466,210455,442,,（207）
2024,物理,广州新华学院,本科批,普通类,485,174579,442,,（205）
2024,物理,广东第二师范学院,本科批,普通类,542,81233,442,,首选物理，再选思想政治
2024,物理,北京师范大学-香港浸会大学联合国际学院,本科批,普通类,586,32105,442,,(205)
2024,物理,深圳北理莫斯科大学,本科批,普通类,555,64634,01,,不限
2024,物理,深圳技术大学,本科批,普通类,574,42938,442,,（203）
2024,物理,广东以色列理工学院,本科批,普通类,544,78455,442,,（201）
2024,物理,哈尔滨工业大学(深圳),本科批,普通类,657,1860,442,,（202）
