school_name,group_code,min_score,min_rank,subject,xuanke_req,is_special,year,plan_count
哈尔滨工业大学(深圳）,203组,662,1730,物理,不限,否,2025,0
南方科技大学,201组,652,3232,物理,不限,否,2025,0
中山大学,216组,651,3575,物理,不限,否,2025,0
南方医科大学,201组,650,3606,物理,不限,否,2025,0
中山大学,215组,647,4264,物理,不限,否,2025,0
哈尔滨工业大学(深圳),204组（中外合作）,646,4592,物理,不限,否,2025,0
中山大学,214组,642,5517,物理,不限,否,2025,0
华南理工大学,212组,640,6278,物理,不限,否,2025,0
中山大学,217组,639,6467,物理,不限,否,2025,0
中山大学,218组,633,8536,物理,不限,否,2025,0
广州医科大学,201组,633,8669,物理,不限,否,2025,0
中山大学,212组,631,9390,物理,不限,否,2025,0
中山大学,213组,629,9936,物理,不限,否,2025,0
深圳理工大学,201组,629,10163,物理,不限,否,2025,0
中山大学,219组,628,10616,物理,不限,否,2025,0
华南理工大学,213组,627,10764,物理,不限,否,2025,0
华南理工大学,214组,625,11609,物理,不限,否,2025,0
北京师范大学(珠海校区),210组,625,11765,物理,不限,否,2025,0
深圳大学,233组,625,11801,物理,不限,否,2025,0
深圳大学,230组,622,12952,物理,不限,否,2025,0
华南理工大学,215组,622,12953,物理,不限,否,2025,0
华南理工大学,216组,622,13222,物理,不限,否,2025,0
大湾区大学,201组,622,13266,物理,不限,否,2025,0
北京师范大学(珠海校区),211组,621,13642,物理,不限,否,2025,0
华南师范大学,219组,621,13782,物理,不限,否,2025,0
广州医科大学,202组,620,14066,物理,不限,否,2025,0
南方科技大学,202组(中外合作）,619,14438,物理,不限,否,2025,0
深圳大学,223组,618,15345,物理,不限,否,2025,0
香港城市大学(东莞),201组(内地香港合作办学),616,16184,物理,不限,否,2025,0
深圳大学,225组,616,16350,物理,不限,否,2025,0
深圳大学,226组,616,16448,物理,不限,否,2025,0
深圳大学,240组,615,16789,物理,不限,否,2025,0
深圳大学,241组,613,17973,物理,不限,否,2025,0
暨南大学,222组,613,17976,物理,不限,否,2025,0
华南师范大学,236组,612,18213,物理,不限,否,2025,0
华南师范大学,220组,612,18497,物理,不限,否,2025,0
华南师范大学,237组,611,18930,物理,不限,否,2025,0
深圳大学,229组,611,19333,物理,不限,否,2025,0
华南师范大学,221组,610,19563,物理,不限,否,2025,0
华南师范大学,227组,610,19847,物理,不限,否,2025,0
深圳大学,236组,609,20302,物理,不限,否,2025,0
深圳大学,221组,608,20755,物理,不限,否,2025,0
华南师范大学,226组,607,21387,物理,不限,否,2025,0
华南师范大学,222组,607,21426,物理,不限,否,2025,0
华南师范大学,224组,607,21575,物理,不限,否,2025,0
深圳大学,222组,607,21671,物理,不限,否,2025,0
深圳大学,251组(地方专项),606,22505,物理,不限,否,2025,0
南方医科大学,202组,604,23705,物理,不限,否,2025,0
广州中医药大学,201组,604,23715,物理,不限,否,2025,0
广东工业大学,206组,604,23808,物理,不限,否,2025,0
暨南大学,218组,603,24510,物理,不限,否,2025,0
华南师范大学,230组,603,24702,物理,不限,否,2025,0
暨南大学,217组,602,25334,物理,不限,否,2025,0
深圳大学,228组,602,25415,物理,不限,否,2025,0
华南师范大学,229组,601,25642,物理,不限,否,2025,0
深圳大学,235组,601,25768,物理,不限,否,2025,0
深圳大学,227组,601,26135,物理,不限,否,2025,0
华南师范大学,223组,601,26143,物理,不限,否,2025,0
深圳大学,239组,601,26161,物理,不限,否,2025,0
华南师范大学,238组,600,26280,物理,不限,否,2025,0
深圳大学,232组,600,26711,物理,不限,否,2025,0
华南师范大学,249组(地方专项）,600,26829,物理,不限,否,2025,0
华南师范大学,225组,600,26860,物理,不限,否,2025,0
广东工业大学,223组,600,26982,物理,不限,否,2025,0
深圳大学,253组(地方专项),599,27091,物理,不限,否,2025,0
深圳大学,238组,599,27400,物理,不限,否,2025,0
暨南大学,224组（中外合作）,599,27488,物理,不限,否,2025,0
暨南大学,219组,599,27600,物理,不限,否,2025,0
深圳大学,237组,598,28278,物理,不限,否,2025,0
汕头大学医学院,211组,597,28631,物理,不限,否,2025,0
暨南大学,210组,597,28753,物理,不限,否,2025,0
深圳大学,231组,597,28923,物理,不限,否,2025,0
华南师范大学,233组,597,29320,物理,不限,否,2025,0
深圳大学,234组,596,29352,物理,不限,否,2025,0
广东工业大学,216组,596,29496,物理,不限,否,2025,0
深圳大学,224组,595,30258,物理,不限,否,2025,0
