score,rank,count
700,10,1
699,11,1
698,12,1
697,13,1
696,14,1
695,15,1
694,16,1
693,17,1
692,18,1
691,19,1
690,20,1
689,21,1
688,22,1
687,23,1
686,24,1
685,25,1
684,26,1
683,27,1
682,28,1
681,29,1
680,30,1
679,57,27
678,59,2
677,61,2
676,64,3
675,66,2
674,68,2
673,70,2
672,73,3
671,75,2
670,77,2
669,79,2
668,82,3
667,84,2
666,86,2
665,88,2
664,91,3
663,93,2
662,95,2
661,97,2
660,100,3
659,208,108
658,213,5
657,217,4
656,222,5
655,227,5
654,232,5
653,237,5
652,242,5
651,246,4
650,251,5
649,256,5
648,261,5
647,266,5
646,271,5
645,275,4
644,280,5
643,285,5
642,290,5
641,295,5
640,300,5
639,764,464
638,777,13
637,789,12
636,802,13
635,814,12
634,826,12
633,839,13
632,851,12
631,863,12
630,876,13
629,888,12
628,901,13
627,913,12
626,925,12
625,938,13
624,950,12
623,962,12
622,975,13
621,987,12
620,1000,13
619,3241,2241
618,3281,40
617,3321,40
616,3361,40
615,3401,40
614,3441,40
613,3481,40
612,3521,40
611,3561,40
610,3601,40
609,3640,39
608,3680,40
607,3720,40
606,3760,40
605,3800,40
604,3840,40
603,3880,40
602,3920,40
601,3960,40
600,4000,40
599,8418,4418
598,8501,83
597,8584,83
596,8668,84
595,8751,83
594,8834,83
593,8917,83
592,9001,84
591,9084,83
590,9167,83
589,9250,83
588,9334,84
587,9417,83
586,9500,83
585,9583,83
584,9667,84
583,9750,83
582,9833,83
581,9916,83
580,10000,84
579,17287,7287
578,17429,142
577,17572,143
576,17715,143
575,17858,143
574,18001,143
573,18143,142
572,18286,143
571,18429,143
570,18572,143
569,18714,142
568,18857,143
567,19000,143
566,19143,143
565,19286,143
564,19428,142
563,19571,143
562,19714,143
561,19857,143
560,20000,143
559,26438,6438
558,26626,188
557,26813,187
556,27001,188
555,27188,187
554,27375,187
553,27563,188
552,27750,187
551,27938,188
550,28125,187
549,28313,188
548,28500,187
547,28687,187
546,28875,188
545,29062,187
544,29250,188
543,29437,187
542,29625,188
541,29812,187
540,30000,188
539,36800,6800
538,37029,229
537,37257,228
536,37486,229
535,37714,228
534,37943,229
533,38171,228
532,38400,229
531,38628,228
530,38857,229
529,39085,228
528,39314,229
527,39542,228
526,39771,229
525,40000,229
524,61601,21601
523,61951,350
522,62301,350
521,62651,350
520,63001,350
519,63350,349
518,63700,350
517,64050,350
516,64400,350
515,64750,350
514,65100,350
513,65450,350
512,65800,350
511,66150,350
510,66500,350
509,66850,350
508,67200,350
507,67550,350
506,67900,350
505,68250,350
504,68600,350
503,68950,350
502,69300,350
501,69650,350
500,70000,350
499,91364,21364
498,91819,455
497,92273,454
496,92728,455
495,93182,454
494,93637,455
493,94091,454
492,94546,455
491,95000,454
490,95455,455
