score,rank,count
700,50,1
699,55,5
698,60,5
697,65,5
696,70,5
695,75,5
694,80,5
693,85,5
692,90,5
691,95,5
690,100,5
689,132,32
688,140,8
687,147,7
686,155,8
685,162,7
684,170,8
683,177,7
682,185,8
681,192,7
680,200,8
679,295,95
678,306,11
677,318,12
676,330,12
675,341,11
674,353,12
673,365,12
672,376,11
671,388,12
670,400,12
669,631,231
668,650,19
667,668,18
666,687,19
665,706,19
664,725,19
663,743,18
662,762,19
661,781,19
660,800,19
659,1239,439
658,1268,29
657,1297,29
656,1326,29
655,1355,29
654,1384,29
653,1413,29
652,1442,29
651,1471,29
650,1500,29
649,2557,1057
648,2606,49
647,2655,49
646,2705,50
645,2754,49
644,2803,49
643,2852,49
642,2901,49
641,2950,49
640,3000,50
639,4799,1799
638,4877,78
637,4955,78
636,5032,77
635,5110,78
634,5188,78
633,5266,78
632,5344,78
631,5422,78
630,5500,78
629,7993,2493
628,8105,112
627,8216,111
626,8328,112
625,8440,112
624,8552,112
623,8664,112
622,8776,112
621,8888,112
620,9000,112
619,12605,3605
618,12760,155
617,12915,155
616,13070,155
615,13225,155
614,13380,155
613,13535,155
612,13690,155
611,13845,155
610,14000,155
609,16384,2384
608,16564,180
607,16743,179
606,16923,180
605,17102,179
604,17282,180
603,17461,179
602,17641,180
601,17820,179
600,18000,180
599,21122,3122
598,21330,208
597,21539,209
596,21748,209
595,21956,208
594,22165,209
593,22374,209
592,22582,208
591,22791,209
590,23000,209
589,30528,7528
588,30803,275
587,31077,274
586,31352,275
585,31627,275
584,31901,274
583,32176,275
582,32450,274
581,32725,275
580,33000,275
579,41888,8888
578,42233,345
577,42579,346
576,42925,346
575,43271,346
574,43616,345
573,43962,346
572,44308,346
571,44654,346
570,45000,346
569,54274,9274
568,54688,414
567,55102,414
566,55516,414
565,55930,414
564,56344,414
563,56758,414
562,57172,414
561,57586,414
560,58000,414
559,65803,7803
558,66269,466
557,66735,466
556,67202,467
555,67668,466
554,68134,466
553,68601,467
552,69067,466
551,69533,466
550,70000,467
549,75502,5502
548,76002,500
547,76502,500
546,77001,499
545,77501,500
544,78001,500
543,78500,499
542,79000,500
541,79500,500
540,80000,500
539,89973,9973
538,90531,558
537,91090,559
536,91648,558
535,92207,559
534,92765,558
533,93324,559
532,93882,558
531,94441,559
530,95000,559
529,97715,2715
528,98286,571
527,98857,571
526,99428,571
525,100000,572
524,107556,7556
523,108167,611
522,108778,611
521,109389,611
520,110000,611
519,135754,25754
518,136504,750
517,137254,750
516,138004,750
515,138753,749
514,139503,750
513,140253,750
512,141003,750
511,141752,749
510,142502,750
509,143252,750
508,144002,750
507,144751,749
506,145501,750
505,146251,750
504,147001,750
503,147750,749
502,148500,750
501,149250,750
500,150000,750
499,164458,14458
498,165276,818
497,166094,818
496,166912,818
495,167730,818
494,168548,818
493,169366,818
492,170184,818
491,171002,818
490,171820,818
489,172638,818
488,173456,818
487,174274,818
486,175092,818
485,175910,818
484,176728,818
483,177546,818
482,178364,818
481,179182,818
480,180000,818
479,185645,5645
478,186485,840
477,187325,840
476,188165,840
475,189005,840
474,189844,839
473,190684,840
472,191524,840
471,192364,840
470,193204,840
469,194043,839
468,194883,840
467,195723,840
466,196563,840
465,197403,840
464,198242,839
463,199082,840
462,199922,840
461,200762,840
460,201602,840
459,202441,839
458,203281,840
457,204121,840
456,204961,840
455,205801,840
454,206640,839
453,207480,840
452,208320,840
451,209160,840
450,210000,840
449,192441,17559
448,193208,767
447,193974,766
446,194741,767
445,195507,766
444,196274,767
443,197040,766
442,197807,767
441,198573,766
440,199340,767
439,200106,766
438,200873,767
437,201639,766
436,202406,767
435,203172,766
434,203939,767
433,204705,766
432,205472,767
431,206238,766
430,207005,767
429,207771,766
428,208538,767
427,209304,766
426,210071,767
425,210837,766
424,211604,767
423,212370,766
422,213137,767
421,213903,766
420,214670,767
419,215436,766
418,216203,767
417,216969,766
416,217736,767
415,218502,766
414,219269,767
413,220035,766
412,220802,767
411,221568,766
410,222335,767
409,223101,766
408,223868,767
407,224634,766
406,225401,767
405,226167,766
404,226934,767
403,227700,766
402,228467,767
401,229233,766
400,230000,767
399,210712,19288
398,211412,700
397,212112,700
396,212812,700
395,213511,699
394,214211,700
393,214911,700
392,215611,700
391,216311,700
390,217011,700
389,217711,700
388,218411,700
387,219110,699
386,219810,700
385,220510,700
384,221210,700
383,221910,700
382,222610,700
381,223310,700
380,224010,700
379,224709,699
378,225409,700
377,226109,700
376,226809,700
375,227509,700
374,228209,700
373,228909,700
372,229609,700
371,230308,699
370,231008,700
369,231708,700
368,232408,700
367,233108,700
366,233808,700
365,234508,700
364,235208,700
363,235907,699
362,236607,700
361,237307,700
360,238007,700
359,238707,700
358,239407,700
357,240107,700
356,240807,700
355,241506,699
354,242206,700
353,242906,700
352,243606,700
351,244306,700
350,245006,700
349,245706,700
348,246406,700
347,247105,699
346,247805,700
345,248505,700
344,249205,700
343,249905,700
342,250605,700
341,251305,700
340,252005,700
339,252704,699
338,253404,700
337,254104,700
336,254804,700
335,255504,700
334,256204,700
333,256904,700
332,257604,700
331,258303,699
330,259003,700
329,259703,700
328,260403,700
327,261103,700
326,261803,700
325,262503,700
324,263203,700
323,263902,699
322,264602,700
321,265302,700
320,266002,700
