year,subject,school_name,school_type,group_id,xuanke_req,xuanke_subjects,plan_count,min_score,min_rank,tuition_yuan,city,is_special,data_source
2024,历史,武汉工商学院,普通,432,（01）,历史,30,464,33355,5500,武汉,否,555edu 逐校
2024,历史,荆楚理工学院,普通,432,（02）,历史,30,491,24614,5500,荆门,否,555edu 逐校
2024,历史,湖北师范大学,普通,1,不限,历史,30,528,14431,5500,黄石,否,555edu 逐校
2024,历史,湖北师范大学,普通,2,不限,历史,30,520,16486,5500,黄石,是,555edu 逐校
2024,历史,湖北师范大学,普通,3,政,历史|政治,30,537,12230,5500,黄石,否,555edu 逐校
2024,历史,湖北师范大学,普通,4,地,历史|地理,30,531,13646,5500,黄石,否,555edu 逐校
2024,历史,武汉传媒学院,普通,432,（01）,历史,30,441,41808,5500,其他,否,555edu 逐校
2024,历史,湖北民族大学,普通,1,不限,历史,30,507,19911,5500,恩施,否,555edu 逐校
2024,历史,湖北民族大学,普通,2,不限,历史,30,492,24328,5500,恩施,是,555edu 逐校
2024,历史,湖北民族大学,普通,3,政,历史|政治,30,513,18274,5500,恩施,是,555edu 逐校
2024,历史,湖北民族大学,普通,7,地,历史|地理,30,506,20200,5500,恩施,是,555edu 逐校
2024,历史,湖北民族大学,普通,8,生,历史|生物,30,484,26733,5500,恩施,是,555edu 逐校
2024,历史,湖北民族大学,普通,18,不限,历史,30,497,22848,5500,恩施,是,555edu 逐校
2024,历史,湖北民族大学,普通,20,不限,历史,30,451,38019,5500,恩施,否,555edu 逐校
2024,历史,江汉大学,普通,432,（02）,历史,30,546,10229,5500,武汉,否,555edu 逐校
2024,历史,湖北大学,普通,1,不限,历史,30,571,5644,5500,武汉,否,555edu 逐校
2024,历史,湖北大学,普通,2,不限,历史,30,569,5973,5500,武汉,否,555edu 逐校
2024,历史,湖北大学,普通,3,地,历史|地理,30,568,6159,5500,武汉,否,555edu 逐校
2024,历史,湖北大学,普通,4,政,历史|政治,30,570,5797,5500,武汉,否,555edu 逐校
2024,历史,湖北大学,普通,5,政,历史|政治,30,544,10670,5500,武汉,否,555edu 逐校
2024,历史,湖北大学,普通,6,不限,历史,30,563,6995,5500,武汉,是,555edu 逐校
2024,历史,湖北大学,普通,7,不限,历史,30,573,5332,5500,武汉,是,555edu 逐校
2024,历史,湖北理工学院,普通,432,（02）,历史,30,493,24028,5500,黄石,否,555edu 逐校
2024,历史,湖北经济学院法商学院,普通,432,（01）,历史,30,462,34098,5500,其他,否,555edu 逐校
2024,历史,湖北医药学院,普通,432,（01）,历史,30,487,25815,5500,十堰,否,555edu 逐校
2024,历史,武汉轻工大学,普通,2,不限,历史,30,506,20200,5500,武汉,否,555edu 逐校
2024,历史,湖北恩施学院,普通,432,（01）,历史,30,455,36545,5500,其他,否,555edu 逐校
2024,历史,中南财经政法大学,211,432,（09）,历史,30,616,1061,5500,武汉,否,555edu 逐校
2024,历史,湖北汽车工业学院,普通,432,（01）,历史,30,490,24923,5500,其他,否,555edu 逐校
2024,历史,湖北工业大学工程技术学院,普通,432,（01）,历史,30,454,36909,5500,其他,否,555edu 逐校
2024,历史,武汉华夏理工学院,普通,1,不限,历史,30,439,42545,5500,武汉,否,555edu 逐校
2024,历史,武汉大学,985,3,不限,历史,30,623,747,5500,武汉,否,555edu 逐校
2024,历史,武汉大学,985,4,不限,历史,30,623,747,5500,武汉,是,555edu 逐校
2024,历史,武汉大学,985,5,政,历史|政治,30,624,698,5500,武汉,否,555edu 逐校
2024,历史,武汉体育学院,普通,432,（02）,历史,30,507,19911,5500,武汉,否,555edu 逐校
2024,历史,汉口学院,普通,432,（01）,历史,30,450,38417,5500,其他,否,555edu 逐校
2024,历史,中国地质大学（武汉）,211,1,不限,历史,30,581,4232,5500,武汉,否,555edu 逐校
2024,历史,中国地质大学（武汉）,211,2,政,历史|政治,30,588,3395,5500,武汉,否,555edu 逐校
2024,历史,湖北师范大学文理学院,普通,432,（01）,历史,30,468,32024,5500,其他,否,555edu 逐校
2024,历史,武汉工程大学,普通,1,不限,历史,30,555,8421,5500,武汉,否,555edu 逐校
2024,历史,武汉工程大学,普通,2,不限,历史,30,554,8618,5500,武汉,是,555edu 逐校
2024,历史,武汉工程大学,普通,3,不限,历史,30,551,9214,5500,武汉,是,555edu 逐校
2024,历史,武汉纺织大学,普通,1,不限,历史,30,539,11783,5500,武汉,否,555edu 逐校
2024,历史,武汉纺织大学,普通,2,不限,历史,30,531,13646,5500,武汉,是,555edu 逐校
2024,历史,武汉纺织大学,普通,3,不限,历史,30,525,15178,5500,武汉,是,555edu 逐校
2024,历史,武汉理工大学,211,3,不限,历史,30,582,4120,5500,武汉,否,555edu 逐校
2024,历史,武汉理工大学,211,4,不限,历史,30,576,4923,5500,武汉,否,555edu 逐校
2024,历史,武汉理工大学,211,5,政,历史|政治,30,589,3279,5500,武汉,否,555edu 逐校
