year,subject,school_name,batch,kind,min_score,min_rank,group_id,group_name,xuanke_req
2024,历史,三峡大学科技学院,高职高专批,普通类,327,92156,05,第05组,不限
2024,历史,湖北生物科技职业学院,高职高专批,普通类,376,69195,01,第01组,不限
2024,历史,湖北生物科技职业学院,高职高专批,普通类,387,64211,02,第02组,不限
2024,历史,湖北生物科技职业学院,高职高专批,普通类,345,83786,03,第03组,不限
2024,历史,湖北生物科技职业学院,高职高专批,专本联合培养,422,49169,04,第04组,不限
2024,历史,湖北生物科技职业学院,高职高专批,专本联合培养,422,49169,05,第05组,不限
2024,历史,中南财经政法大学,本科批,普通类,616,1061,432,,（09）
2024,历史,三峡电力职业学院,高职高专批,普通类,371,71448,01,第01组,不限
2024,历史,宜昌科技职业学院,高职高专批,普通类,319,95811,01,第01组,不限
2024,历史,武汉设计工程学院,高职高专批,普通类,306,101236,05,第05组,不限
2024,历史,武昌职业学院,高职高专批,普通类,257,116472,07,第07组,不限
2024,历史,武昌职业学院,高职高专批,普通类,214,122355,08,第08组,不限
2024,历史,武昌职业学院,高职高专批,专本联合培养,422,49169,09,第09组,不限
2024,历史,武汉工程职业技术学院,高职高专批,乡村振兴,309,100064,01,第01组,不限
2024,历史,武汉工程职业技术学院,高职高专批,普通类,361,76229,02,第02组,不限
2024,历史,湖北汽车工业学院,本科批,普通类,490,24923,432,,（01）
2024,历史,武汉商贸职业学院,高职高专批,普通类,328,91715,01,第01组,不限
2024,历史,武汉商贸职业学院,高职高专批,普通类,302,102838,02,第02组,不限
2024,历史,武汉商贸职业学院,高职高专批,专本联合培养,422,49169,03,第03组,不限
2024,历史,随州职业技术学院,高职高专批,普通类,338,87098,01,第01组,不限
2024,历史,湖北美术学院,本科批,普通类,490,24923,432,,（01）
2024,历史,湖北国土资源职业学院,高职高专批,乡村振兴,346,83315,01,第01组,不限
2024,历史,湖北国土资源职业学院,高职高专批,普通类,376,69195,02,第02组,不限
2024,历史,湖北工业大学工程技术学院,本科批,普通类,454,36909,432,,（01）
2024,历史,湖北职业技术学院,高职高专批,乡村振兴,298,104383,01,第01组,不限
2024,历史,湖北职业技术学院,高职高专批,普通类,417,51225,02,第02组,不限
2024,历史,湖北职业技术学院,高职高专批,普通类,400,58321,03,第03组,不限
2024,历史,湖北职业技术学院,高职高专批,普通类,393,61457,04,第04组,不限
2024,历史,湖北职业技术学院,高职高专批,普通类,359,77147,05,第05组,不限
2024,历史,湖北职业技术学院,高职高专批,普通类,150,124223,06,第06组,不限
2024,历史,湖北职业技术学院,高职高专批,专本联合培养,422,49169,07,第07组,不限
2024,历史,湖北职业技术学院,高职高专批,专本联合培养,422,49169,08,第08组,不限
2024,历史,湖北职业技术学院,高职高专批,专本联合培养,442,41409,09,第09组,不限
2024,历史,湖北文理学院理工学院,高职高专批,普通类,275,112080,04,第04组,不限
2024,历史,天门职业学院,高职高专批,普通类,330,90817,01,第01组,不限
2024,历史,武汉信息传播职业技术学院,高职高专批,普通类,319,95811,01,第01组,不限
2024,历史,武汉信息传播职业技术学院,高职高专批,专本联合培养,422,49169,02,第02组,不限
2024,历史,武汉华夏理工学院,本科批,普通类,439,42545,01,第01组,不限
2024,历史,武汉大学,本科批,普通类,623,747,03,第03组,不限
2024,历史,武汉大学,本科批,国家专项计划,623,747,04,第04组,不限
2024,历史,武汉大学,本科批,普通类,624,698,05,第05组,政
2024,历史,武汉交通职业学院,高职高专批,乡村振兴,347,82851,06,第06组,不限
2024,历史,武汉交通职业学院,高职高专批,普通类,380,67358,07,第07组,不限
2024,历史,武汉交通职业学院,高职高专批,普通类,398,59226,08,第08组,不限
2024,历史,武汉交通职业学院,高职高专批,普通类,296,105123,09,第09组,不限
2024,历史,武汉交通职业学院,高职高专批,专本联合培养,422,49169,10,第10组,不限
2024,历史,武汉交通职业学院,高职高专批,专本联合培养,422,49169,11,第11组,不限
2024,历史,长江职业学院,高职高专批,乡村振兴,371,71448,01,第01组,不限
2024,历史,长江职业学院,高职高专批,普通类,397,59674,02,第02组,不限
2024,历史,长江职业学院,高职高专批,普通类,276,111786,03,第03组,不限
2024,历史,长江职业学院,高职高专批,专本联合培养,428,46803,04,第04组,不限
2024,历史,长江职业学院,高职高专批,专本联合培养,422,49169,05,第05组,不限
2024,历史,长江职业学院,高职高专批,专本联合培养,427,47191,06,第06组,不限
2024,历史,长江职业学院,高职高专批,专本联合培养,422,49169,07,第07组,不限
2024,历史,武汉学院,高职高专批,普通类,361,76229,05,第05组,不限
2024,历史,武汉体育学院,本科批,普通类,507,19911,432,,（02）
2024,历史,汉口学院,本科批,普通类,450,38417,432,,（01）
2024,历史,武汉船舶职业技术学院,高职高专批,乡村振兴,350,81462,03,第03组,不限
2024,历史,武汉船舶职业技术学院,高职高专批,普通类,401,57904,04,第04组,不限
2024,历史,武汉船舶职业技术学院,高职高专批,普通类,415,52022,05,第05组,不限
2024,历史,武汉船舶职业技术学院,高职高专批,普通类,377,68721,06,第06组,不限
2024,历史,武汉船舶职业技术学院,高职高专批,专本联合培养,429,46412,07,第07组,不限
2024,历史,长江大学文理学院,高职高专批,普通类,315,97559,09,第09组,不限
2024,历史,中国地质大学（武汉）,本科批,普通类,581,4232,01,第01组,不限
2024,历史,中国地质大学（武汉）,本科批,普通类,588,3395,02,第02组,政
2024,历史,湖北师范大学文理学院,本科批,普通类,468,32024,432,,（01）
2024,历史,武汉文理学院,高职高专批,普通类,266,114436,08,第08组,不限
2024,历史,荆门职业学院,高职高专批,普通类,339,86587,01,第01组,不限
2024,历史,武汉工程大学,本科批,普通类,555,8421,01,第01组,不限
2024,历史,武汉工程大学,本科批,国家专项计划,554,8618,02,第02组,不限
2024,历史,武汉工程大学,本科批,地方专项计划,551,9214,03,第03组,不限
2024,历史,武汉纺织大学,本科批,普通类,539,11783,01,第01组,不限
2024,历史,武汉纺织大学,本科批,国家专项计划,531,13646,02,第02组,不限
2024,历史,武汉纺织大学,本科批,地方专项计划,525,15178,03,第03组,不限
2024,历史,武汉理工大学,本科批,普通类,582,4120,03,第03组,不限
2024,历史,武汉理工大学,本科批,普通类,576,4923,04,第04组,不限
2024,历史,武汉理工大学,本科批,普通类,589,3279,05,第05组,政
2024,历史,武汉民政职业学院,高职高专批,乡村振兴,361,76229,01,第01组,不限
2024,历史,武汉民政职业学院,高职高专批,普通类,397,59674,02,第02组,不限
2024,历史,武汉民政职业学院,高职高专批,普通类,326,92621,03,第03组,不限
2024,历史,三峡旅游职业技术学院,高职高专批,普通类,335,88481,01,第01组,不限
2024,历史,武汉航海职业技术学院,高职高专批,普通类,355,78992,03,第03组,不限
2024,历史,湖北恩施学院,本科批,普通类,455,36545,432,,（01）
2024,历史,湖北医药学院,本科批,普通类,487,25815,432,,（01）
2024,历史,武汉电力职业技术学院,高职高专批,普通类,388,63723,01,第01组,不限
2024,历史,武汉电力职业技术学院,高职高专批,普通类,417,51225,02,第02组,不限
2024,历史,江汉艺术职业学院,高职高专批,普通类,324,93554,01,第01组,不限
2024,历史,武昌理工学院,高职高专批,普通类,314,97979,04,第04组,不限
2024,历史,荆楚理工学院,本科批,普通类,491,24614,432,,（02）
2024,历史,仙桃职业学院,高职高专批,乡村振兴,310,99648,01,第01组,不限
2024,历史,仙桃职业学院,高职高专批,普通类,333,89432,02,第02组,不限
2024,历史,武汉纺织大学外经贸学院,高职高专批,普通类,302,102838,05,第05组,不限
2024,历史,长江工程职业技术学院,高职高专批,乡村振兴,332,89924,01,第01组,不限
2024,历史,长江工程职业技术学院,高职高专批,普通类,385,65108,02,第02组,不限
2024,历史,长江工程职业技术学院,高职高专批,普通类,364,74791,03,第03组,不限
2024,历史,长江工程职业技术学院,高职高专批,专本联合培养,422,49169,04,第04组,不限
2024,历史,长江工程职业技术学院,高职高专批,专本联合培养,427,47191,05,第05组,不限
2024,历史,湖北生态工程职业技术学院,高职高专批,乡村振兴,316,97098,01,第01组,不限
2024,历史,湖北生态工程职业技术学院,高职高专批,普通类,376,69195,02,第02组,不限
2024,历史,湖北生态工程职业技术学院,高职高专批,普通类,355,78992,03,第03组,不限
2024,历史,湖北生态工程职业技术学院,高职高专批,普通类,305,101628,04,第04组,不限
2024,历史,湖北生态工程职业技术学院,高职高专批,专本联合培养,422,49169,05,第05组,不限
2024,历史,湖北生态工程职业技术学院,高职高专批,专本联合培养,422,49169,06,第06组,不限
2024,历史,湖北生态工程职业技术学院,高职高专批,专本联合培养,422,49169,07,第07组,不限
2024,历史,湖北生态工程职业技术学院,高职高专批,专本联合培养,422,49169,08,第08组,不限
2024,历史,湖北工程职业学院,高职高专批,普通类,343,84739,01,第01组,不限
2024,历史,湖北工程职业学院,高职高专批,普通类,347,82851,02,第02组,不限
2024,历史,湖北工程职业学院,高职高专批,普通类,335,88481,03,第03组,不限
2024,历史,湖北工程职业学院,高职高专批,普通类,362,75755,04,第04组,不限
2024,历史,湖北工程职业学院,高职高专批,普通类,309,100064,05,第05组,不限
