year,subject,school_name,group_id,group_code,min_score,min_rank
2024,历史,武汉大学,05,A14105,624,698
2024,历史,武汉大学,03,A14103,623,747
2024,历史,中南财经政法大学,09,A15309,616,1061
2024,历史,华中师范大学,10,A15110,611,1348
2024,历史,华中师范大学,07,A15107,608,1533
2024,历史,华中师范大学,13,A15113,606,1695
2024,历史,华中师范大学,11,A15111,606,1695
2024,历史,华中科技大学,02,A14302,604,1853
2024,历史,华中师范大学,08,A15108,597,2437
2024,历史,中南财经政法大学,10,A15310,594,2740
2024,历史,华中师范大学,05,A15105,590,3161
2024,历史,武汉理工大学,05,A14705,589,3279
2024,历史,中南财经政法大学,11,A15311,589,3279
2024,历史,中国地质大学（武汉）,02,A14502,588,3395
2024,历史,武汉理工大学,03,A14703,582,4120
2024,历史,中国地质大学（武汉）,01,A14501,581,4232
2024,历史,华中农业大学,01,A14901,580,4361
2024,历史,武汉理工大学,04,A14704,576,4923
2024,历史,中南民族大学,04,A15504,572,5494
2024,历史,湖北大学,30,C1030,571,5644
2024,历史,湖北大学,04,C10304,570,5797
2024,历史,湖北大学,02,C10302,569,5973
2024,历史,华中农业大学,02,A14902,569,5973
2024,历史,湖北大学,03,C10303,568,6159
2024,历史,武汉科技大学,02,C10202,568,6159
2024,历史,武汉科技大学,01,C10201,565,6643
2024,历史,中南民族大学,02,A15502,565,6643
2024,历史,湖北工业大学,01,C13001,559,7693
2024,历史,武汉工程大学,01,C10901,555,8421
2024,历史,长江大学,05,C10505,547,10005
2024,历史,江汉大学,02,C10802,546,10229
2024,历史,江汉大学,03,C10803,544,10670
2024,历史,长江大学,02,C10502,543,10926
2024,历史,江汉大学,01,C10801,541,11357
2024,历史,武汉纺织大学,01,C11701,539,11783
2024,历史,长江大学,01,C10501,538,12008
2024,历史,三峡大学,03,C10603,534,12945
2024,历史,三峡大学,02,C10602,527,14666
2024,历史,湖北大学,05,C10305,512,18550
