school_name,group_code,min_score,min_rank,subject,xuanke_req,is_special,year,plan_count
武汉大学,第05组,629,1260,历史,不限,否,2025,0
武汉大学,第06组,628,1320,历史,不限,否,2025,0
武汉大学,第07组(国家专项),628,1320,历史,不限,否,2025,0
华中师范大学,第19组,616,1908,历史,不限,否,2025,0
华中科技大学,第03组,614,1962,历史,不限,否,2025,0
华中师范大学,第18组,614,1962,历史,不限,否,2025,0
华中师范大学,第17组,612,2016,历史,不限,否,2025,0
华中师范大学,第15组(国家专项),603,2837,历史,不限,否,2025,0
中南财经政法大学,第11组,603,2837,历史,不限,否,2025,0
中南财经政法大学,第13组(国家专项),603,2837,历史,不限,否,2025,0
华中师范大学,第11组,602,2946,历史,不限,否,2025,0
华中师范大学,第12组,601,3056,历史,不限,否,2025,0
华中师范大学,第10组,600,3166,历史,不限,否,2025,0
华中师范大学,第16组(国家专项),600,3166,历史,不限,否,2025,0
武汉理工大学,第06组,599,3316,历史,不限,否,2025,0
华中师范大学,第13组(预科班),599,3316,历史,不限,否,2025,0
中南财经政法大学,第12组(预科班),599,3316,历史,不限,否,2025,0
华中师范大学,第14组(国家专项),598,3467,历史,不限,否,2025,0
中国地质大学(武汉),第07组,597,3618,历史,不限,否,2025,0
武汉理工大学,第05组,595,3920,历史,不限,否,2025,0
中国地质大学(武汉),第06组,593,4222,历史,不限,否,2025,0
中国地质大学(武汉),第08组(国家专项),592,4373,历史,不限,否,2025,0
华中农业大学,第02组,592,4373,历史,不限,否,2025,0
武汉理工大学,第07组(中外合作),588,5046,历史,不限,否,2025,0
华中农业大学,第03组(中外合作),584,5788,历史,不限,否,2025,0
中南民族大学,第03组,584,5788,历史,不限,否,2025,0
湖北中医药大学,第05组,584,5788,历史,不限,否,2025,0
湖北大学,第05组,583,5974,历史,不限,否,2025,0
武汉科技大学,第02组,582,6159,历史,不限,否,2025,0
湖北大学,第07组,582,6159,历史,不限,否,2025,0
湖北大学,第11组(国家专项),582,6159,历史,不限,否,2025,0
中南民族大学,第01组,581,6345,历史,不限,否,2025,0
中南民族大学,第02组,581,6345,历史,不限,否,2025,0
中南民族大学,第05组(国家专项),581,6345,历史,不限,否,2025,0
湖北大学,第06组,581,6345,历史,不限,否,2025,0
湖北大学,第08组,580,6531,历史,不限,否,2025,0
湖北大学,第13组(地方专项),580,6531,历史,不限,否,2025,0
武汉科技大学,第01组,579,6742,历史,不限,否,2025,0
中南民族大学,第04组(预科班),578,6953,历史,不限,否,2025,0
湖北工业大学,第01组,576,7375,历史,不限,否,2025,0
湖北大学,第10组(国家专项),574,7797,历史,不限,否,2025,0
江汉大学,第03组,572,8219,历史,不限,否,2025,0
武汉工程大学,第01组,571,8430,历史,不限,否,2025,0
湖北工业大学,第02组(国家专项),569,8879,历史,不限,否,2025,0
湖北大学,第12组(地方专项),568,9117,历史,不限,否,2025,0
武汉工程大学,第02组(国家专项),568,9117,历史,不限,否,2025,0
湖北工业大学,第03组(地方专项),567,9356,历史,不限,否,2025,0
武汉工程大学,第03组(地方专项),566,9594,历史,不限,否,2025,0
江汉大学,第01组,563,10309,历史,不限,否,2025,0
江汉大学,第02组,563,10309,历史,不限,否,2025,0
长江大学,第05组,562,10548,历史,不限,否,2025,0
湖北中医药大学,第06组,562,10548,历史,不限,否,2025,0
江汉大学,第06组(地方专项),561,10786,历史,不限,否,2025,0
湖北大学,第09组(中外合作),559,11287,历史,不限,否,2025,0
江汉大学,第04组,559,11287,历史,不限,否,2025,0
武汉纺织大学,第01组,559,11287,历史,不限,否,2025,0
湖北中医药大学,第08组(国家专项),559,11287,历史,不限,否,2025,0
长江大学,第04组,558,11549,历史,不限,否,2025,0
三峡大学,第04组(国家专项),558,11549,历史,不限,否,2025,0
湖北师范大学,第04组,558,11549,历史,不限,否,2025,0
三峡大学,第03组(民族班),556,12073,历史,不限,否,2025,0
江汉大学,第05组,556,12073,历史,不限,否,2025,0
湖北经济学院,第03组,556,12073,历史,不限,否,2025,0
长江大学,第03组,555,12336,历史,不限,否,2025,0
武汉纺织大学,第02组(国家专项),555,12336,历史,不限,否,2025,0
武汉纺织大学,第03组(地方专项),554,12598,历史,不限,否,2025,0
长江大学,第06组(国家专项),553,12860,历史,不限,否,2025,0
长江大学,第07组(地方专项),553,12860,历史,不限,否,2025,0
三峡大学,第01组,553,12860,历史,不限,否,2025,0
三峡大学,第05组(地方专项),553,12860,历史,不限,否,2025,0
湖北中医药大学,第09组(地方专项),553,12860,历史,不限,否,2025,0
湖北师范大学,第05组,552,13122,历史,不限,否,2025,0
武汉轻工大学,第01组,550,13647,历史,不限,否,2025,0
武汉轻工大学,第03组(国家专项),550,13647,历史,不限,否,2025,0
武汉轻工大学,第04组(地方专项),550,13647,历史,不限,否,2025,0
湖北师范大学,第03组,549,13923,历史,不限,否,2025,0
湖北警官学院,第07组,546,14753,历史,不限,否,2025,0
湖北经济学院,第04组,546,14753,历史,不限,否,2025,0
三峡大学,第02组(预科班),544,15306,历史,不限,否,2025,0
湖北师范大学,第06组(地方专项),544,15306,历史,不限,否,2025,0
湖北第二师范学院,第03组,542,15859,历史,不限,否,2025,0
湖北第二师范学院,第05组,542,15859,历史,不限,否,2025,0
湖北第二师范学院,第07组(地方专项),542,15859,历史,不限,否,2025,0
湖北经济学院,第07组(国家专项),541,16136,历史,不限,否,2025,0
湖北经济学院,第08组(地方专项),540,16413,历史,不限,否,2025,0
湖北第二师范学院,第04组,537,17298,历史,不限,否,2025,0
黄冈师范学院,第06组,535,17888,历史,不限,否,2025,0
湖北中医药大学,第07组,535,17888,历史,不限,否,2025,0
湖北经济学院,第05组,534,18183,历史,不限,否,2025,0
湖北民族大学,第20组,534,18183,历史,不限,否,2025,0
黄冈师范学院,第03组,533,18478,历史,不限,否,2025,0
黄冈师范学院,第07组,532,18773,历史,不限,否,2025,0
黄冈师范学院,第08组(地方专项),532,18773,历史,不限,否,2025,0
黄冈师范学院,第05组,531,19068,历史,不限,否,2025,0
武汉体育学院,第01组,530,19364,历史,不限,否,2025,0
武汉轻工大学,第02组(中外合作),529,19665,历史,不限,否,2025,0
湖北文理学院,第06组(地方专项),528,19966,历史,不限,否,2025,0
湖北民族大学,第01组,528,19966,历史,不限,否,2025,0
湖北民族大学,第07组(地方专项),528,19966,历史,不限,否,2025,0
黄冈师范学院,第04组,527,20267,历史,不限,否,2025,0
湖北文理学院,第03组,525,20869,历史,不限,否,2025,0
武汉商学院,第01组,525,20869,历史,不限,否,2025,0
湖北文理学院,第01组,524,21170,历史,不限,否,2025,0
湖北文理学院,第04组,524,21170,历史,不限,否,2025,0
湖北工程学院,第02组,524,21170,历史,不限,否,2025,0
湖北民族大学,第21组(地方专项),522,21772,历史,不限,否,2025,0
汉江师范学院,第04组,522,21772,历史,不限,否,2025,0
湖北民族大学,第18组(民族班),519,22690,历史,不限,否,2025,0
汉江师范学院,第03组,519,22690,历史,不限,否,2025,0
湖北科技学院,第02组,518,23005,历史,不限,否,2025,0
湖北民族大学,第08组(地方专项),518,23005,历史,不限,否,2025,0
湖北科技学院,第04组,517,23320,历史,不限,否,2025,0
湖北科技学院,第05组(地方专项),515,23950,历史,不限,否,2025,0
湖北工程学院,第01组,515,23950,历史,不限,否,2025,0
湖北文理学院,第02组,514,24265,历史,不限,否,2025,0
湖北理工学院,第02组,514,24265,历史,不限,否,2025,0
湖北理工学院,第03组(护理类),513,24580,历史,不限,否,2025,0
湖北经济学院,第06组(中外合作),512,24895,历史,不限,否,2025,0
湖北民族大学,第02组(预科班),512,24895,历史,不限,否,2025,0
湖北理工学院,第04组(地方专项),512,24895,历史,不限,否,2025,0
荆楚理工学院,第01组,512,24895,历史,不限,否,2025,0
湖北文理学院,第05组(民族班),511,25210,历史,不限,否,2025,0
汉江师范学院,第02组,511,25210,历史,不限,否,2025,0
湖北汽车工业学院,第01组,510,25526,历史,不限,否,2025,0
湖北理工学院,第01组,510,25526,历史,不限,否,2025,0
湖北科技学院,第03组,509,25857,历史,不限,否,2025,0
湖北汽车工业学院,第02组(地方专项),509,25857,历史,不限,否,2025,0
湖北美术学院,第01组,509,25857,历史,不限,否,2025,0
武汉职业技术大学,第01组,508,26188,历史,不限,否,2025,0
湖北医药学院,第02组,507,26519,历史,不限,否,2025,0
荆楚理工学院,第02组,506,26850,历史,不限,否,2025,0
荆楚理工学院,第03组,505,27182,历史,不限,否,2025,0
武汉商学院,第02组(中外合作),505,27182,历史,不限,否,2025,0
湖北第二师范学院,第06组(中外合作),504,27513,历史,不限,否,2025,0
长江大学文理学院,第04组,503,27844,历史,不限,否,2025,0
长江大学文理学院,第02组,501,28506,历史,不限,否,2025,0
长江大学文理学院,第03组,499,29204,历史,不限,否,2025,0
武昌首义学院,第01组,498,29570,历史,不限,否,2025,0
湖北大学知行学院,第01组,494,31035,历史,不限,否,2025,0
文华学院,第02组,493,31401,历史,不限,否,2025,0
长江大学文理学院,第01组,492,31767,历史,不限,否,2025,0
文华学院,第01组,490,32500,历史,不限,否,2025,0
武汉工商学院,第01组,490,32500,历史,不限,否,2025,0
三峡大学科技学院,第01组,490,32500,历史,不限,否,2025,0
湖北文理学院理工学院,第01组,488,33300,历史,不限,否,2025,0
湖北工程学院新技术学院,第01组,488,33300,历史,不限,否,2025,0
湖北师范大学文理学院,第01组,486,34100,历史,不限,否,2025,0
武汉学院,第01组,485,34500,历史,不限,否,2025,0
武汉工程大学邮电与信息工程学院,第01组,485,34500,历史,不限,否,2025,0
湖北经济学院法商学院,第01组,485,34500,历史,不限,否,2025,0
湖北医药学院药护学院,第01组,482,35700,历史,不限,否,2025,0
湖北工业大学工程技术学院,第01组,482,35700,历史,不限,否,2025,0
武汉文理学院,第01组,481,36100,历史,不限,否,2025,0
武汉文理学院,第03组(护理类),481,36100,历史,不限,否,2025,0
武昌理工学院,第01组,480,36500,历史,不限,否,2025,0
武昌理工学院,第02组,480,36500,历史,不限,否,2025,0
湖北恩施学院,第01组,478,37300,历史,不限,否,2025,0
武汉体育学院体育科技学院,第01组,475,38500,历史,不限,否,2025,0
武汉文理学院,第02组,473,39300,历史,不限,否,2025,0
武汉生物工程学院,第01组,473,39300,历史,不限,否,2025,0
汉口学院,第01组,470,40500,历史,不限,否,2025,0
湖北恩施学院,第03组(护理类),470,40500,历史,不限,否,2025,0
武汉东湖学院,第01组,469,40900,历史,不限,否,2025,0
湖北恩施学院,第02组,469,40900,历史,不限,否,2025,0
湖北商贸学院,第01组,465,42500,历史,不限,否,2025,0
武汉传媒学院,第01组,464,42900,历史,不限,否,2025,0
武汉城市学院,第01组,461,44100,历史,不限,否,2025,0
武昌工学院,第01组,461,44100,历史,不限,否,2025,0
武汉晴川学院,第01组,460,44500,历史,不限,否,2025,0
武汉华夏理工学院,第01组,460,44500,历史,不限,否,2025,0
武汉纺织大学外经贸学院,第01组,456,46100,历史,不限,否,2025,0
武汉晴川学院,第02组,455,46500,历史,不限,否,2025,0
武汉设计工程学院,第01组,447,49700,历史,不限,否,2025,0
