year,subject,school_name,school_type,group_id,xuanke_req,xuanke_subjects,plan_count,min_score,min_rank,tuition_yuan,city,is_special,data_source
2023,物理,武汉大学,985,7,不限,物理,30,601,18891,5500,武汉,是,555edu 逐校
2023,物理,武汉大学,985,8,不限,物理,30,644,4682,5500,武汉,否,555edu 逐校
2023,物理,武汉大学,985,9,不限,物理,30,630,8188,5500,武汉,否,555edu 逐校
2023,物理,武汉大学,985,10,不限,物理,30,631,7909,5500,武汉,是,555edu 逐校
2023,物理,武汉大学,985,11,不限,物理,30,639,5814,5500,武汉,是,555edu 逐校
2023,物理,武汉大学,985,12,化学,物理|化学,30,648,3901,5500,武汉,否,555edu 逐校
2023,物理,武汉大学,985,13,化学,物理|化学,30,627,9126,5500,武汉,是,555edu 逐校
2023,物理,武汉大学,985,14,化学,物理|化学,30,629,8494,5500,武汉,是,555edu 逐校
2023,物理,武汉大学,985,15,化学或生物,物理,30,636,6544,5500,武汉,否,555edu 逐校
2023,物理,华中科技大学,985,3,不限,物理,30,654,2854,5500,武汉,否,555edu 逐校
2023,物理,华中科技大学,985,4,不限,物理,30,635,6817,5500,武汉,是,555edu 逐校
2023,物理,华中科技大学,985,5,不限,物理,30,638,6073,5500,武汉,是,555edu 逐校
2023,物理,华中科技大学,985,6,化学,物理|化学,30,627,9126,5500,武汉,是,555edu 逐校
2023,物理,华中科技大学,985,7,化学或生物,物理,30,654,2854,5500,武汉,否,555edu 逐校
2023,物理,华中科技大学,985,8,化学或生物,物理,30,599,19780,5500,武汉,是,555edu 逐校
2023,物理,华中科技大学,985,9,化学或生物,物理,30,628,8812,5500,武汉,否,555edu 逐校
2023,物理,华中科技大学,985,10,化学或生物,物理,30,637,6305,5500,武汉,否,555edu 逐校
2023,物理,华中科技大学,985,11,化学或生物,物理,30,630,8188,5500,武汉,是,555edu 逐校
2023,物理,华中科技大学,985,12,化学或生物,物理,30,630,8188,5500,武汉,是,555edu 逐校
2023,物理,武汉科技大学,普通,2,不限,物理,30,596,21107,5500,武汉,否,555edu 逐校
2023,物理,武汉科技大学,普通,3,不限,物理,30,589,24431,5500,武汉,否,555edu 逐校
2023,物理,武汉科技大学,普通,4,不限,物理,30,580,29066,5500,武汉,否,555edu 逐校
2023,物理,武汉科技大学,普通,5,不限,物理,30,563,38543,5500,武汉,否,555edu 逐校
2023,物理,武汉科技大学,普通,6,不限,物理,30,566,36733,5500,武汉,是,555edu 逐校
2023,物理,武汉科技大学,普通,7,不限,物理,30,564,37921,5500,武汉,否,555edu 逐校
2023,物理,武汉科技大学,普通,8,不限,物理,30,577,30633,5500,武汉,是,555edu 逐校
2023,物理,武汉科技大学,普通,9,化学,物理|化学,30,573,32794,5500,武汉,否,555edu 逐校
