year,subject,school_name,batch,kind,min_score,min_rank,group_id,group_name,xuanke_req
2024,物理,黄冈科技职业学院,高职高专批,普通类,304,219948,02,第02组,不限
2024,物理,武汉城市职业学院,高职高专批,普通类,426,148429,11,第11组,不限
2024,物理,武汉城市职业学院,高职高专批,普通类,426,148429,12,第12组,不限
2024,物理,武汉城市职业学院,高职高专批,普通类,427,147694,13,第13组,不限
2024,物理,武汉城市职业学院,高职高专批,普通类,425,149173,14,第14组,不限
2024,物理,武汉城市职业学院,高职高专批,普通类,428,146946,15,第15组,不限
2024,物理,武汉城市职业学院,高职高专批,普通类,429,146179,16,第16组,不限
2024,物理,武汉城市职业学院,高职高专批,普通类,391,172109,17,第17组,不限
2024,物理,武汉城市职业学院,高职高专批,专本联合培养,432,143981,18,第18组,不限
2024,物理,武汉城市职业学院,高职高专批,专本联合培养,434,142516,19,第19组,不限
2024,物理,武汉城市职业学院,高职高专批,专本联合培养,436,141000,20,第20组,不限
2024,物理,武汉工程大学邮电与信息工程学院,高职高专批,普通类,320,212372,05,第05组,不限
2024,物理,武汉光谷职业学院,高职高专批,普通类,313,215781,02,第02组,不限
2024,物理,湖北医药学院,本科批,普通类,547,51044,437,,（03）
2024,物理,湖北理工学院,本科批,普通类,515,76874,437,,（07）
2024,物理,武昌首义学院,高职高专批,普通类,309,217649,05,第05组,不限
2024,物理,湖北汽车工业学院,本科批,普通类,503,86990,437,,（03）
2024,物理,襄阳汽车职业技术学院,高职高专批,乡村振兴,326,209399,03,第03组,不限
2024,物理,襄阳汽车职业技术学院,高职高专批,普通类,355,193795,04,第04组,不限
2024,物理,三峡大学,本科批,普通类,576,30713,437,,（15）
2024,物理,文华学院,高职高专批,普通类,286,227333,05,第05组,不限
2024,物理,湖北商贸学院,高职高专批,普通类,271,232672,05,第05组,不限
2024,物理,荆门职业学院,高职高专批,普通类,363,189217,02,第02组,不限
2024,物理,湖北民族大学,本科批,普通类,503,86990,04,第04组,不限
2024,物理,湖北民族大学,本科批,少数民族预科班,491,96861,05,第05组,不限
2024,物理,湖北民族大学,本科批,普通类,489,98543,06,第06组,化
