year,subject,school_name,group_id,group_code,min_score,min_rank,is_special
2024,物理,中国人民大学,10,,678,372,否
2024,物理,中国人民大学,11,,666,963,否
2024,物理,中国人民大学,12,,649,2879,是
2024,物理,中国人民大学,14,,646,3362,是
2024,物理,清华大学,04,,692,71,否
2024,物理,北京理工大学,02,,652,2453,否
2024,物理,北京理工大学,03,,638,4890,是
2024,物理,北京理工大学,04,,631,6509,否
2024,物理,北京科技大学,02,,622,9067,否
2024,物理,北京科技大学,03,,624,8486,否
2024,物理,北京科技大学,05,,599,18084,是
2024,物理,北京化工大学,02,,586,24681,是
2024,物理,北京化工大学,03,,608,14116,否
2024,物理,北京化工大学,04,,612,12536,否
2024,物理,北京化工大学,05,,596,19537,是
2024,物理,北京邮电大学,02,,619,10035,是
2024,物理,北京邮电大学,03,,614,11756,是
2024,物理,北京邮电大学,05,,636,5326,否
2024,物理,北京邮电大学,06,,625,8215,是
2024,物理,中国农业大学,04,,625,8215,否
2024,物理,北京林业大学,05,,592,21511,否
2024,物理,北京林业大学,06,,593,20986,否
2024,物理,北京林业大学,07,,595,20005,是
2024,物理,北京林业大学,10,,595,20005,否
2024,物理,北京林业大学,13,,591,21997,是
2024,物理,北京林业大学,14,,598,18563,否
2024,物理,北京林业大学,15,,606,14934,否
2024,物理,北京中医药大学,02,,595,20005,否
2024,物理,北京中医药大学,03,,578,29462,是
2024,物理,北京外国语大学,05,,590,22473,是
2024,物理,中国传媒大学,06,,603,16230,否
2024,物理,中国传媒大学,99,,605,15356,是
2024,物理,中央财经大学,05,,609,13728,是
2024,物理,中央财经大学,06,,628,7356,否
2024,物理,中央财经大学,07,,613,12158,是
2024,物理,对外经济贸易大学,07,,619,10035,否
2024,物理,北京体育大学,08,,553,46538,否
2024,物理,北京体育大学,13,,583,26392,是
2024,物理,北京体育大学,14,,600,17613,否
2024,物理,北京体育大学,15,,590,22473,否
2024,物理,中央美术学院,03,,513,78557,否
2024,物理,中央民族大学,06,,596,19537,否
2024,物理,中央民族大学,07,,602,16685,否
2024,物理,中国政法大学,03,,624,8486,否
2024,物理,华北电力大学 (北京),02,,592,21511,否
2024,物理,南开大学,00,,640,4495,否
2024,物理,中国民航大学,03,,570,34621,否
2024,物理,中国民航大学,04,,563,39348,是
2024,物理,中国民航大学,05,,567,36659,否
2024,物理,华北电力大学(保定),00,,592,21511,否
2024,物理,华北电力大学(保定),04,,608,14116,否
2024,物理,大连理工大学,93,,637,5099,否
2024,物理,大连理工大学,04,,626,7910,否
2024,物理,东北大学,04,,606,14934,否
2024,物理,大连海事大学,04,,593,20986,否
2024,物理,大连海事大学,05,,595,20005,否
2024,物理,大连海事大学,07,,601,17139,否
2024,物理,大连海事大学,08,,589,23071,否
2024,物理,程大学,06,,630,6777,否
2024,物理,复旦大学,04,,677,412,否
2024,物理,南京 理工大学,00,,609,13728,否
2024,物理,河海大学,03,,609,13728,否
2024,物理,南大学,20,A11920,612,12536,否
2024,物理,合肥工业大学,04,,593,20986,是
2024,物理,区门大学,06,,636,5326,否
2024,物理,东大学,04,,630,6777,否
2024,物理,华中科技大学,07,,627,7659,否
2024,物理,中国地质大学(武汉),06,,607,14519,否
2024,物理,中国地质大学 (武汉),10,,596,19537,是
2024,物理,武汉理工大学,06,,597,19063,否
2024,物理,武汉理工大学,08,,636,5326,否
2024,物理,武汉理工大学,09,,635,5543,否
2024,物理,华中农业大学,03,,593,20986,是
2024,物理,华中农业大学,05,,589,23071,否
2024,物理,华中农业大学,09,,598,18563,否
2024,物理,中南民族大学,08,A15508,561,40713,否
2024,物理,中南大学,07,,628,7356,否
2024,物理,中南大学,08,,618,10372,否
2024,物理,中山大学,05,,634,5756,否
2024,物理,由山大学,09,,627,7659,否
2024,物理,华南理工大学,03,,577,30080,是
2024,物理,中国民用航空飞往学院,06,,530,64476,否
2024,物理,中国民用航空飞行学院,10,,526,67862,否
