year,subject,school_name,group_id,group_code,min_score,min_rank,xuanke_req,is_special
2024,物理,北京大学,04,A00104,679,332,不限,是
2024,物理,北京大学,05,A00105,691,83,化学,否
2024,物理,北京大学,06,A00106,677,412,化学,是
2024,物理,中国人民大学,09,A00209,684,187,不限,否
2024,物理,中国人民大学,10,A00210,678,372,不限,否
2024,物理,中国人民大学,11,A00211,666,963,不限,否
2024,物理,中国人民大学,12,A00212,649,2879,不限,是
2024,物理,中国人民大学,13,A00213,671,671,化学,否
2024,物理,中国人民大学,14,A00214,646,3362,化学,是
2024,物理,清华大学,04,A00304,692,71,不限,否
2024,物理,清华大学,05,A00305,677,412,不限,是
2024,物理,清华大学,06,A00306,690,98,化学,否
2024,物理,清华大学,07,A00307,686,159,化学,是
2024,物理,清华大学,09,A00309,685,173,化学,否
2024,物理,北京交通大学,02,A00402,617,10680,不限,否
2024,物理,北京交通大学,03,A00403,636,5326,化学,否
2024,物理,北京交通大学,04,A00404,63,999999,化学,否
2024,物理,北京交通大学,05,A00405,627,7659,华,否
2024,物理,北京交通大学,07,A00407,613,12158,不限,否
2024,物理,北京交通大学,08,A00408,591,21997,不限,是
2024,物理,北京交通大学,09,A00409,599,18084,华,是
2024,物理,北京航空航天大学,03,A00603,654,2193,不限,否
2024,物理,北京航空航天大学,04,A00604,639,4710,化学,否
2024,物理,北京航空航天大学,05,A00605,647,3218,化学,是
2024,物理,北京理工大学,02,A00702,652,2453,化学,否
2024,物理,北京理工大学,04,A00704,631,6509,化学,是
2024,物理,北京科技大学,02,A00802,622,9067,不限,否
2024,物理,北京科技大学,03,A00803,624,8486,化学,否
2024,物理,北京科技大学,05,A00805,599,18084,化学,是
2024,物理,北京化工大学,02,A01002,586,24681,不限,是
2024,物理,北京化工大学,03,A01003,608,14116,化学,否
2024,物理,北京化工大学,04,A01004,612,12536,化学,否
2024,物理,北京化工大学,05,A01005,596,19537,化学,是
2024,物理,北京邮电大学,02,A01302,619,10035,不限,是
2024,物理,北京邮电大学,03,A01303,614,11756,化学,是
2024,物理,北京邮电大学,04,A01304,644,3712,化学,否
2024,物理,北京邮电大学,05,A01305,636,5326,化学,否
2024,物理,北京邮电大学,06,A01306,625,8215,化学,是
2024,物理,中国农业大学,04,A01904,625,8215,不限,否
2024,物理,中国农业大学,05,A01905,605,15356,不限,否
2024,物理,中国农业大学,06,A01906,627,7659,化学,否
2024,物理,中国农业大学,08,A01908,610,13315,化学,是
2024,物理,北京林业大学,05,A02205,592,21511,不限,否
2024,物理,北京林业大学,06,A02206,593,20986,不限,否
2024,物理,北京林业大学,07,A02207,595,20005,不限,是
2024,物理,北京林业大学,08,A02208,605,15356,化学,否
2024,物理,北京林业大学,09,A02209,596,19537,化学,否
2024,物理,北京林业大学,10,A02210,595,20005,化学,否
2024,物理,北京林业大学,11,A02211,593,20986,化学,否
2024,物理,北京林业大学,12,A02212,582,26991,化学,否
2024,物理,北京林业大学,13,A02213,591,21997,化学,是
2024,物理,北京林业大学,14,A02214,598,18563,生物,否
2024,物理,北京林业大学,15,A02215,606,14934,地理,否
2024,物理,北京协和医学院,01,A02301,596,19537,化学,否
