year,subject,school_name,school_type,group_id,group_code,xuanke_req,xuanke_subjects,plan_count,min_score,min_rank,tuition_yuan,city,is_special,data_source
,物理,武汉大学,985,08,第08组,不限,不限,0,645,2365,5500,武汉,否,gk100 真实
,物理,湖北理工学院,普通,11,第11组,不限,不限,0,480,104000,5500,黄石,否,gk100 真实
,物理,湖北民族大学,普通,06,第06组,不限,不限,0,480,104000,5500,恩施,否,gk100 真实
,物理,湖北工程学院,普通,07,第07组（地方专项）,不限,不限,0,480,104000,5500,孝感,否,gk100 真实
,物理,湖北科技学院,普通,11,第11组（护理类）,不限,不限,0,480,104000,5500,咸宁,否,gk100 真实
,物理,湖北理工学院,普通,12,第12组,不限,不限,0,481,103150,5500,黄石,否,gk100 真实
,物理,湖北工程学院,普通,03,第03组,不限,不限,0,481,103150,5500,孝感,否,gk100 真实
,物理,黄冈师范学院,普通,15,第15组,不限,不限,0,481,103150,5500,黄冈,否,gk100 真实
,物理,汉江师范学院,普通,08,第08组,不限,不限,0,482,102300,5500,十堰,否,gk100 真实
,物理,武汉商学院,普通,07,第07组（中外合作）,不限,不限,0,482,102300,5500,武汉,否,gk100 真实
,物理,荆楚理工学院,普通,08,第08组,不限,不限,0,482,102300,5500,荆门,否,gk100 真实
,物理,湖北第二师范学院,普通,15,第15组（中外合作）,不限,不限,0,482,102300,5500,其他,否,gk100 真实
,物理,湖北工程学院,普通,04,第04组,不限,不限,0,482,102300,5500,孝感,否,gk100 真实
,物理,湖北医药学院,普通,06,第06组,不限,不限,0,482,102300,5500,十堰,否,gk100 真实
,物理,湖北医药学院,普通,03,第03组,不限,不限,0,482,102300,5500,十堰,否,gk100 真实
,物理,湖北民族大学,普通,22,第22组（地方专项）,不限,不限,0,483,101450,5500,恩施,否,gk100 真实
,物理,湖北经济学院,普通,16,第16组（中外合作）,不限,不限,0,483,101450,5500,武汉,否,gk100 真实
,物理,荆楚理工学院,普通,09,第09组,不限,不限,0,484,100600,5500,荆门,否,gk100 真实
,物理,湖北理工学院,普通,10,第10组,不限,不限,0,484,100600,5500,黄石,否,gk100 真实
,物理,湖北美术学院,普通,02,第02组,不限,不限,0,484,100600,5500,武汉,否,gk100 真实
,物理,湖北汽车工业学院,普通,06,第06组（中外合作）,不限,不限,0,484,100600,5500,其他,否,gk100 真实
,物理,湖北科技学院,普通,14,第14组（地方专项）,不限,不限,0,484,100600,5500,咸宁,否,gk100 真实
,物理,汉江师范学院,普通,09,第09组,不限,不限,0,485,99750,5500,十堰,否,gk100 真实
,物理,湖北中医药大学,普通,14,第14组（中外合作）,不限,不限,0,480,104000,5500,武汉,否,gk100 真实
,物理,湖北民族大学,普通,05,第05组（预科班）,不限,不限,0,479,104900,5500,恩施,否,gk100 真实
,物理,三峡大学科技学院,普通,02,第02组,不限,不限,0,468,114600,5500,其他,否,gk100 真实
,物理,湖北民族大学,普通,19,第19组（民族班）,不限,不限,0,479,104900,5500,恩施,否,gk100 真实
,物理,武昌首义学院,普通,03,第03组,不限,不限,0,470,113000,5500,武汉,否,gk100 真实
,物理,武昌理工学院,普通,06,第06组,不限,不限,0,471,112100,5500,武汉,否,gk100 真实
,物理,荆楚理工学院,普通,10,第10组（中外合作）,不限,不限,0,471,112100,5500,荆门,否,gk100 真实
,物理,三峡大学科技学院,普通,04,第04组,不限,不限,0,473,110300,5500,其他,否,gk100 真实
,物理,长江大学文理学院,普通,08,第08组,不限,不限,0,473,110300,5500,其他,否,gk100 真实
,物理,武昌首义学院,普通,04,第04组,不限,不限,0,473,110300,5500,武汉,否,gk100 真实
,物理,湖北民族大学,普通,23,第23组（中外合作）,不限,不限,0,473,110300,5500,恩施,否,gk100 真实
,物理,湖北经济学院,普通,15,第15组（中外合作）,不限,不限,0,473,110300,5500,武汉,否,gk100 真实
,物理,湖北工程学院,普通,06,第06组（中外合作）,不限,不限,0,473,110300,5500,孝感,否,gk100 真实
,物理,湖北恩施学院,普通,07,第07组,不限,不限,0,474,109400,5500,其他,否,gk100 真实
,物理,湖北科技学院,普通,13,第13组（中外合作）,不限,不限,0,476,107600,5500,咸宁,否,gk100 真实
,物理,湖北医药学院,普通,07,第07组（护理类）,不限,不限,0,476,107600,5500,十堰,否,gk100 真实
,物理,汉江师范学院,普通,07,第07组,不限,不限,0,477,106700,5500,十堰,否,gk100 真实
,物理,汉江师范学院,普通,06,第06组,不限,不限,0,477,106700,5500,十堰,否,gk100 真实
,物理,汉江师范学院,普通,05,第05组,不限,不限,0,477,106700,5500,十堰,否,gk100 真实
,物理,荆楚理工学院,普通,06,第06组,不限,不限,0,477,106700,5500,荆门,否,gk100 真实
,物理,湖北医药学院,普通,08,第08组（地方专项）,不限,不限,0,477,106700,5500,十堰,否,gk100 真实
,物理,荆楚理工学院,普通,07,第07组,不限,不限,0,478,105800,5500,荆门,否,gk100 真实
,物理,湖北理工学院,普通,17,第17组（中外合作）,不限,不限,0,478,105800,5500,黄石,否,gk100 真实
,物理,湖北理工学院,普通,14,第14组,不限,不限,0,478,105800,5500,黄石,否,gk100 真实
,物理,荆楚理工学院,普通,04,第04组,不限,不限,0,479,104900,5500,荆门,否,gk100 真实
,物理,湖北理工学院,普通,06,第06组,不限,不限,0,485,99750,5500,黄石,否,gk100 真实
,物理,湖北理工学院,普通,05,第05组,不限,不限,0,485,99750,5500,黄石,否,gk100 真实
,物理,湖北文理学院,普通,12,第12组,不限,不限,0,485,99750,5500,襄阳,否,gk100 真实
,物理,湖北文理学院,普通,07,第07组,不限,不限,0,485,99750,5500,襄阳,否,gk100 真实
,物理,黄冈师范学院,普通,12,第12组,不限,不限,0,497,89324,5500,黄冈,否,gk100 真实
