school_name,group_code,min_score,min_rank,subject,xuanke_req,is_special,year,plan_count
北京大学,第08组,682,101,物理,不限,否,2025,0
清华大学,第08组,682,101,物理,不限,否,2025,0
上海交通大学,第04组,682,101,物理,不限,否,2025,0
复旦大学上海医学院,第02组,674,245,物理,不限,否,2025,0
清华大学,第09组,672,302,物理,不限,否,2025,0
清华大学,第10组(国家专项),672,302,物理,不限,否,2025,0
上海交通大学,第05组,672,302,物理,不限,否,2025,0
复旦大学,第07组,670,373,物理,不限,否,2025,0
上海交通大学医学院,第02组,670,373,物理,不限,否,2025,0
中国科学技术大学,第02组,669,413,物理,不限,否,2025,0
北京大学,第10组(国家专项),668,447,物理,不限,否,2025,0
中国人民大学,第12组,668,447,物理,不限,否,2025,0
浙江大学,第04组,668,447,物理,不限,否,2025,0
中国科学院大学,第02组,667,484,物理,不限,否,2025,0
北京大学,第09组(国家专项),666,525,物理,不限,否,2025,0
哈尔滨工业大学,第03组,666,525,物理,不限,否,2025,0
南京大学,第04组,666,525,物理,不限,否,2025,0
中国人民大学,第11组,665,565,物理,不限,否,2025,0
北京大学医学部,第03组,665,565,物理,不限,否,2025,0
中国科学院大学,第01组,664,630,物理,不限,否,2025,0
南京大学,第05组,663,685,物理,不限,否,2025,0
中国科学技术大学,第03组,663,685,物理,不限,否,2025,0
北京大学医学部,第04组,662,737,物理,不限,否,2025,0
中国人民大学,第10组,660,885,物理,不限,否,2025,0
中国人民大学,第13组,660,885,物理,不限,否,2025,0
复旦大学,第08组(国家专项),660,885,物理,不限,否,2025,0
上海交通大学,第07组(国家专项),658,1029,物理,不限,否,2025,0
上海交通大学,第06组(中外合作),657,1105,物理,不限,否,2025,0
中国科学院大学,第03组(国家专项),657,1105,物理,不限,否,2025,0
哈尔滨工业大学,第04组,656,1186,物理,不限,否,2025,0
中国人民大学(苏州校区),第03组,654,1350,物理,不限,否,2025,0
北京航空航天大学,第06组,653,1446,物理,不限,否,2025,0
北京理工大学,第05组,652,1534,物理,不限,否,2025,0
同济大学,第05组,651,1632,物理,不限,否,2025,0
哈尔滨工业大学(深圳),第03组,651,1632,物理,不限,否,2025,0
北京大学医学部,第02组,650,1730,物理,不限,否,2025,0
中国科学技术大学,第04组(国家专项),648,1921,物理,不限,否,2025,0
四川大学,第08组,646,2178,物理,不限,否,2025,0
武汉大学,第08组,645,2300,物理,不限,否,2025,0
浙江大学,第07组(国家专项),644,2456,物理,不限,否,2025,0
复旦大学上海医学院,第03组,643,2602,物理,不限,否,2025,0
浙江大学,第06组(国家专项),642,2747,物理,不限,否,2025,0
中南大学,第07组,642,2747,物理,不限,否,2025,0
复旦大学上海医学院,第04组(国家专项),642,2747,物理,不限,否,2025,0
华中科技大学,第04组,641,2890,物理,不限,否,2025,0
浙江大学医学院,第01组,641,2890,物理,不限,否,2025,0
华中科技大学,第05组,640,3037,物理,不限,否,2025,0
西安交通大学,第08组,640,3037,物理,不限,否,2025,0
北京邮电大学,第03组,639,3202,物理,不限,否,2025,0
浙江大学,第05组,639,3202,物理,不限,否,2025,0
南京大学,第06组(国家专项),637,3538,物理,不限,否,2025,0
东南大学,第04组,637,3538,物理,不限,否,2025,0
中国药科大学,第03组,637,3538,物理,不限,否,2025,0
武汉大学,第09组,637,3538,物理,不限,否,2025,0
武汉大学,第10组,636,3744,物理,不限,否,2025,0
上海交通大学医学院,第04组(国家专项),636,3744,物理,不限,否,2025,0
北京航空航天大学,第09组(国家专项),635,3916,物理,不限,否,2025,0
同济大学,第07组,635,3916,物理,不限,否,2025,0
武汉大学,第11组,635,3916,物理,不限,否,2025,0
中国人民大学(苏州校区),第05组(中外合作),635,3916,物理,不限,否,2025,0
北京航空航天大学,第08组(民族班),634,4125,物理,不限,否,2025,0
南京航空航天大学,第04组,634,4125,物理,不限,否,2025,0
武汉大学,第12组,634,4125,物理,不限,否,2025,0
重庆大学,第06组,634,4125,物理,不限,否,2025,0
西安交通大学,第06组,634,4125,物理,不限,否,2025,0
四川大学,第07组,633,4337,物理,不限,否,2025,0
电子科技大学,第03组,633,4337,物理,不限,否,2025,0
西北工业大学,第03组,633,4337,物理,不限,否,2025,0
哈尔滨工业大学(深圳),第04组,633,4337,物理,不限,否,2025,0
电子科技大学(沙河校区),第01组,633,4337,物理,不限,否,2025,0
天津医科大学,第03组,633,4337,物理,不限,否,2025,0
南开大学,第06组,632,4535,物理,不限,否,2025,0
武汉理工大学,第08组,632,4535,物理,不限,否,2025,0
中山大学,第09组,632,4535,物理,不限,否,2025,0
哈尔滨工业大学(威海),第03组,632,4535,物理,不限,否,2025,0
