school_name,group_code,min_score,min_rank,subject,xuanke_req,is_special,year,plan_count
武汉大学,第08组,645,2365,物理,不限,否,2025,0
华中科技大学,第04组,641,2873,物理,不限,否,2025,0
华中科技大学,第05组,640,3000,物理,不限,否,2025,0
武汉大学,第09组,637,3750,物理,不限,否,2025,0
武汉大学,第10组,636,4000,物理,不限,否,2025,0
武汉大学,第11组,635,4250,物理,不限,否,2025,0
武汉大学,第12组,634,4500,物理,不限,否,2025,0
武汉理工大学,第08组,632,5000,物理,不限,否,2025,0
华中科技大学,第09组（民族班）,628,6100,物理,不限,否,2025,0
武汉理工大学,第09组,628,6100,物理,不限,否,2025,0
武汉理工大学,第10组,626,6700,物理,不限,否,2025,0
武汉理工大学,第11组,626,6700,物理,不限,否,2025,0
武汉大学,第13组（民族班）,625,7000,物理,不限,否,2025,0
武汉理工大学,第12组,624,7300,物理,不限,否,2025,0
武汉大学,第15组（国家专项）,620,8500,物理,不限,否,2025,0
武汉大学,第14组（国家专项）,619,8689,物理,不限,否,2025,0
华中师范大学,第27组,618,8878,物理,不限,否,2025,0
华中科技大学,第10组（国家专项）,613,9825,物理,不限,否,2025,0
华中科技大学,第07组（中外合作）,611,10204,物理,不限,否,2025,0
华中师范大学,第28组,611,10204,物理,不限,否,2025,0
华中科技大学,第08组（中外合作）,608,11170,物理,不限,否,2025,0
华中师范天学,第26组,608,11170,物理,不限,否,2025,0
武汉理工大学,第13组,605,12334,物理,不限,否,2025,0
武汉理工大学,第18组（国家专项）,604,12722,物理,不限,否,2025,0
华中师范大学,第29组,604,12722,物理,不限,否,2025,0
华中师范大学,第21组,603,13110,物理,不限,否,2025,0
中南财经政法大学,第15组,603,13110,物理,不限,否,2025,0
三峡大学,第07组,602,13498,物理,不限,否,2025,0
华中师范大学,第23组,600,14274,物理,不限,否,2025,0
武汉理工大学,第15组（中外合作）,599,14735,物理,不限,否,2025,0
中国地质大学（武汉）,第09组,598,15196,物理,不限,否,2025,0
武汉理工大学,第17组（预科班）,598,15196,物理,不限,否,2025,0
华中师范大学,第22组,597,15658,物理,不限,否,2025,0
中国地质大学（武汉）,第10组,596,16119,物理,不限,否,2025,0
华中师范大学,第20组,595,16581,物理,不限,否,2025,0
华中农业大学,第07组,594,17042,物理,不限,否,2025,0
中国地质大学（武汉）,第12组（中外合作）,593,17503,物理,不限,否,2025,0
武汉科技大学,第04组,592,17965,物理,不限,否,2025,0
华中科技大学,第06组（护理类）,591,18426,物理,不限,否,2025,0
武汉理工大学,第14组（中外合作）,591,18426,物理,不限,否,2025,0
华中师范大学,第24组（预科班）,590,18888,物理,不限,否,2025,0
华中农业大学,第05组,589,19428,物理,不限,否,2025,0
中南财经政法大学,第14组,589,19428,物理,不限,否,2025,0
中南财经政法大学,第16组（预科班）,589,19428,物理,不限,否,2025,0
中国地质大学（武汉）,第16组（预科班）,588,19969,物理,不限,否,2025,0
华中农业大学,第06组,588,19969,物理,不限,否,2025,0
中国地质大学（武汉）,第14组（中外合作）,587,20510,物理,不限,否,2025,0
华中农业大学,第04组,586,21050,物理,不限,否,2025,0
华中农业大学,第11组（国家专项）,586,21050,物理,不限,否,2025,0
中南财经政法大学,第17组（国家专项）,586,21050,物理,不限,否,2025,0
中国地质大学（武汉）,第13组（中外合作）,585,21591,物理,不限,否,2025,0
武汉科技大学,第05组,585,21591,物理,不限,否,2025,0
华中师范大学,第25组（国家专项）,584,22132,物理,不限,否,2025,0
武汉理工大学,第16组（中外合作）,583,22672,物理,不限,否,2025,0
华中农业大学,第10组（预科班）,583,22672,物理,不限,否,2025,0
湖北工业大学,第05组,583,22672,物理,不限,否,2025,0
中国地质大学（武汉）,第15组（中外合作）,581,23754,物理,不限,否,2025,0
中国地质大学（武汉）,第17组（国家专项）,581,23754,物理,不限,否,2025,0
湖北大学,第16组,579,24885,物理,不限,否,2025,0
