score,rank,count
680,12,2
677,13,1
674,15,2
673,16,1
671,17,1
670,20,3
669,22,2
668,23,1
667,25,2
665,37,5
664,40,3
663,46,6
662,49,3
661,51,2
660,60,9
659,68,8
658,74,6
657,85,11
656,96,11
655,106,10
653,132,11
652,148,16
651,160,12
650,176,16
648,213,20
647,235,22
646,251,16
645,270,19
644,293,23
643,318,25
642,336,18
641,360,24
640,379,19
639,409,30
638,437,28
637,466,29
636,497,31
635,527,30
634,570,43
633,603,33
632,641,38
631,685,44
630,733,48
629,791,58
627,901,52
626,950,49
625,995,45
624,1069,74
623,1128,59
622,1193,65
621,1248,55
620,1311,63
619,1380,69
618,1462,82
617,1531,69
615,1718,86
614,1797,79
613,1877,80
612,1947,70
610,2131,88
609,2220,89
608,2318,98
607,2427,109
606,2548,121
605,2665,117
604,2781,116
603,2901,120
602,3016,115
601,3134,118
600,3275,141
599,3414,139
598,3542,128
597,3683,141
596,3840,157
595,3982,142
594,4110,128
593,4250,140
592,4413,163
589,4917,164
588,5080,163
587,5263,183
586,5421,158
585,5594,173
584,5810,216
583,6031,221
582,6222,191
581,6441,219
580,6636,195
579,6838,202
577,7246,196
576,7449,203
575,7663,214
574,7888,225
572,8332,217
571,8568,236
570,8799,231
569,9036,237
568,9274,238
567,9527,253
566,9789,262
565,10004,215
564,10235,231
563,10518,283
562,10779,261
561,11072,293
560,11332,260
559,11610,278
558,11895,285
557,12181,286
556,12436,255
555,12721,285
554,13005,284
553,13313,308
552,13581,268
551,13891,310
550,14209,318
549,14500,291
548,14787,287
547,15095,308
546,15440,345
545,15709,269
544,16008,299
543,16369,361
542,16669,300
541,16985,316
540,17303,318
539,17654,351
538,17982,328
537,18308,326
536,18593,285
535,18925,332
533,19593,349
532,19955,362
531,20277,322
530,20607,330
529,20929,322
527,21632,381
526,22003,371
525,22327,324
524,22652,325
523,23012,360
522,23355,343
521,23708,353
520,24054,346
519,24384,330
518,24739,355
517,25065,326
516,25420,355
515,25762,342
514,26109,347
513,26426,317
511,27153,343
510,27504,351
509,27849,345
508,28189,340
507,28563,374
506,28903,340
505,29305,402
504,29689,384
503,30058,369
502,30432,374
501,30825,393
500,31165,340
499,31547,382
498,31943,396
497,32306,363
496,32698,392
495,33082,384
494,33458,376
493,33873,415
491,34674,399
490,35051,377
489,35429,378
488,35795,366
487,36228,433
485,37032,400
484,37419,387
483,37853,434
482,38217,364
481,38584,367
480,38997,413
479,39408,411
478,39819,411
477,40260,441
476,40690,430
475,41062,372
474,41467,405
473,41919,452
472,42325,406
471,42709,384
470,43095,386
469,43491,396
468,43911,420
467,44238,377
466,44727,439
464,45558,418
463,45965,407
462,46417,452
460,47276,437
459,47664,388
458,48089,425
457,48526,437
456,48973,447
455,49426,453
454,49914,488
453,50341,427
452,50770,429
451,51244,474
449,52160,447
448,52648,488
447,53090,442
446,53526,436
445,53975,449
443,54927,494
442,55401,474
441,55844,443
440,56314,470
439,56811,497
438,57263,452
437,57724,461
436,58173,449
435,58633,460
434,59120,487
433,59622,502
432,60105,483
431,60590,485
430,61067,477
429,61523,456
428,61984,461
427,62442,458
426,62918,476
425,63362,444
424,63833,471
423,64302,469
422,64784,482
421,65266,482
420,65716,450
419,66202,486
418,66705,503
417,67193,488
416,67682,489
415,68213,531
414,68678,465
413,69197,519
412,69679,482
411,70173,494
410,70687,514
409,71147,460
408,71621,474
407,72107,486
406,72590,483
405,73118,528
403,74108,515
402,74600,492
401,75134,534
400,75655,521
399,76142,487
398,76656,514
397,77214,558
396,77705,491
395,78180,475
394,78699,519
393,79202,503
392,79717,515
391,80230,513
390,80738,508
389,81249,511
388,81798,549
387,82323,525
386,82798,475
385,83332,534
384,83878,546
383,84429,551
382,84961,532
381,85461,500
380,85969,508
379,86491,522
378,87036,545
377,87584,548
376,88109,525
375,88642,533
374,89164,522
373,89689,525
372,90234,545
371,90768,534
370,91292,524
369,91781,489
368,92298,517
367,92873,575
366,93399,526
365,93891,492
364,94402,511
361,95957,523
360,96504,547
359,97031,527
358,97573,542
357,98068,495
356,98584,516
355,99138,554
354,99627,489
353,100101,474
352,100658,557
351,101150,492
350,101658,508
349,102218,560
348,102717,499
347,103287,570
346,103828,541
345,104338,510
344,104886,548
343,105424,538
342,105955,531
341,106509,554
