score,rank,count
695-750,44,44
694,50,6
693,60,10
692,71,11
691,83,12
690,98,15
689,115,17
688,128,13
687,137,9
686,159,22
685,173,14
684,187,14
683,208,21
682,239,31
681,271,32
680,300,29
679,332,32
678,372,40
677,412,40
676,446,34
675,488,42
674,526,38
673,581,55
672,618,37
671,671,53
670,726,55
669,788,62
668,842,54
667,898,56
666,963,65
665,1046,83
664,1136,90
663,1241,105
662,1314,73
661,1416,102
660,1507,91
659,1603,96
658,1719,116
657,1847,128
656,1971,124
655,2080,109
654,2193,113
653,2315,122
652,2453,138
651,2596,143
650,2727,131
649,2879,152
648,3033,154
647,3218,185
646,3362,144
645,3532,170
644,3712,180
643,3901,189
642,4085,184
641,4287,202
640,4495,208
639,4710,215
638,4890,180
637,5099,209
636,5326,227
635,5543,217
634,5756,213
633,5982,226
632,6243,261
631,6509,266
630,6777,268
629,7056,279
628,7356,300
627,7659,303
626,7910,251
625,8215,305
624,8486,271
623,8760,274
622,9067,307
621,9357,290
620,9701,344
619,10035,334
618,10372,337
617,10680,308
616,11058,378
615,11395,337
614,11756,361
613,12158,402
612,12536,378
611,12932,396
610,13315,383
609,13728,413
608,14116,388
607,14519,403
606,14934,415
605,15356,422
604,15768,412
603,16230,462
602,16685,455
601,17139,454
600,17613,474
599,18084,471
598,18563,479
597,19063,500
596,19537,474
595,20005,468
594,20493,488
593,20986,493
592,21511,525
591,21997,486
590,22473,476
589,23071,598
588,23596,525
587,24132,536
586,24681,549
585,25224,543
584,25792,568
583,26392,600
582,26991,599
581,27591,600
580,28232,641
579,28901,669
578,29462,561
577,30080,618
576,30713,633
575,31351,638
574,31969,618
573,32613,644
572,33269,656
571,33957,688
570,34621,664
569,35306,685
568,35978,672
567,36659,681
566,37319,660
565,38007,688
564,38679,672
563,39348,669
562,40042,694
561,40713,671
560,41438,725
559,42136,698
558,42855,719
557,43617,762
556,44326,709
555,45051,725
554,45841,790
553,46538,697
552,47282,744
551,48019,737
550,48808,789
549,49538,730
548,50295,757
547,51044,749
546,51834,790
545,52528,694
544,53258,730
543,54055,797
542,54837,782
541,55676,839
540,56499,823
539,57256,757
538,58051,795
537,58872,821
536,59716,844
535,60488,772
534,61292,804
533,62093,801
532,62904,811
531,63695,791
530,64476,781
529,65360,884
528,66198,838
527,67041,843
526,67862,821
525,68678,816
524,69503,825
523,70262,759
522,71108,846
521,71942,834
520,72786,844
519,73608,822
518,74433,825
517,75276,843
516,76045,769
515,76874,829
514,77702,828
513,78557,855
512,79400,843
511,80209,809
510,81046,837
509,81888,842
508,82752,864
507,83628,876
506,84465,837
505,85330,865
504,86181,851
503,86990,809
502,87841,851
501,88667,826
500,89501,834
499,90312,811
498,91112,800
497,91965,853
496,92750,785
495,93617,867
494,94438,821
493,95245,807
492,96035,790
491,96861,826
490,97720,859
489,98543,823
488,99420,877
487,100190,770
486,101041,851
485,101894,853
484,102722,828
483,103610,888
482,104429,819
481,105285,856
480,106097,812
479,106953,856
478,107767,814
477,108570,803
476,109384,814
475,110229,845
474,111081,852
473,111877,796
472,112660,783
471,113493,833
470,114326,833
469,115074,748
468,115900,826
467,116709,809
466,117559,850
465,118376,817
464,119173,797
463,119955,782
462,120699,744
461,121564,865
460,122355,791
459,123172,817
458,123967,795
457,124720,753
456,125484,764
455,126288,804
454,127068,780
453,127894,826
452,128639,745
451,129424,785
450,130214,790
449,131004,790
448,131786,782
447,132562,776
446,133335,773
445,134117,782
444,134890,773
443,135642,752
442,136436,794
441,137233,797
440,137983,750
439,138736,753
438,139507,771
437,140240,733
436,141000,760
435,141767,767
434,142516,749
433,143247,731
432,143981,734
431,144705,724
430,145447,742
429,146179,732
428,146946,767
427,147694,748
426,148429,735
425,149173,744
424,149878,705
423,150581,703
422,151300,719
421,152040,740
420,152703,663
419,153390,687
418,154115,725
417,154783,668
416,155459,676
415,156178,719
414,156841,663
413,157478,637
412,158202,724
411,158885,683
410,159537,652
409,160221,684
408,160892,671
407,161545,653
406,162222,677
405,162951,729
404,163632,681
403,164307,675
402,164944,637
401,165596,652
400,166278,682
399,166970,692
398,167641,671
397,168297,656
396,168949,652
395,169596,647
394,170207,611
393,170841,634
392,171469,628
391,172109,640
390,172750,641
389,173420,670
388,174087,667
387,174668,581
386,175292,624
385,175924,632
384,176539,615
383,177180,641
