year,subject,school_name,school_type,group_id,group_code,xuanke_req,xuanke_subjects,plan_count,min_score,min_rank,tuition_yuan,city,is_special,data_source
,,信阳师范大学,普通,01,1,不限,历史,30,517,45750,5500,其他,否,jseea 官方
,,玉林师范学院,普通,03,3,不限,历史,30,510,47500,5500,其他,否,jseea 官方
,,广西师范大学,211,02,2,思想政治,历史,30,549,21706,5500,其他,否,jseea 官方
,,广西师范大学,211,01,1,不限,历史,30,541,22856,5500,其他,否,jseea 官方
,,桂林医学院,普通,01,1,生物,历史|生物,30,527,29657,5500,其他,否,jseea 官方
,,广西艺术学院,普通,02,2,不限,历史,30,500,50000,5500,其他,否,jseea 官方
,,广西艺术学院,普通,01,1,不限,历史,30,491,76000,5500,其他,否,jseea 官方
,,玉林师范学院,普通,04,4,不限,历史,30,515,46250,5500,其他,否,jseea 官方
,,玉林师范学院,普通,02,2,不限,历史,30,501,49750,5500,其他,否,jseea 官方
,,右江民族医学院,普通,01,1,生物,历史|生物,30,520,45000,5500,其他,否,jseea 官方
,,玉林师范学院,普通,01,1,不限,历史,30,509,47750,5500,其他,否,jseea 官方
,,南宁师范大学,普通,01,1,不限,历史,30,526,29828,5500,其他,否,jseea 官方
,,深圳技术大学,普通,01,1,不限,历史,30,557,20556,5500,其他,否,jseea 官方
,,岭南师范学院,普通,02,2,地理,历史|地理,30,524,44000,5500,其他,否,jseea 官方
,,岭南师范学院,普通,01,1,不限,历史,30,513,46750,5500,其他,否,jseea 官方
,,深圳大学,普通,01,1,不限,历史,30,585,7666,5500,其他,否,jseea 官方
,,桂林理工大学,普通,01,1,不限,历史,30,518,45500,5500,其他,否,jseea 官方
,,广西民族师范学院,普通,01,1,不限,历史,30,504,49000,5500,其他,否,jseea 官方
,,湖南工业大学,普通,01,1,不限,历史,30,537,27943,5500,其他,否,jseea 官方
,,梧州学院,普通,01,1,不限,历史,30,507,48250,5500,其他,否,jseea 官方
,,海南师范大学,普通,02,2,不限,历史,30,504,49000,5500,其他,否,jseea 官方
,,海南大学,普通,05,5,思想政治,历史,30,586,7600,5500,其他,否,jseea 官方
,,海南大学,普通,04,4,思想政治,历史,30,577,13179,5500,其他,否,jseea 官方
,,海南大学,普通,03,3,不限,历史,30,577,13179,5500,其他,否,jseea 官方
,,海南大学,普通,02,2,不限,历史,30,580,8000,5500,其他,否,jseea 官方
,,梧州学院,普通,02,2,思想政治,历史,30,510,47500,5500,其他,否,jseea 官方
,,广西民族大学,普通,03,3,思想政治,历史,30,533,28628,5500,其他,否,jseea 官方
,,贺州学院,普通,01,1,不限,历史,30,507,48250,5500,其他,否,jseea 官方
,,广西民族大学,普通,02,2,不限,历史,30,506,48500,5500,其他,否,jseea 官方
,,广西民族大学,普通,01,1,不限,历史,30,527,29657,5500,其他,否,jseea 官方
,,广西科技大学,普通,01,1,不限,历史,30,514,46500,5500,其他,否,jseea 官方
,,广西科技师范学院,普通,01,1,不限,历史,30,507,48250,5500,其他,否,jseea 官方
,,桂林旅游学院,普通,02,2,不限,历史,30,507,48250,5500,其他,否,jseea 官方
,,桂林航天工业学院,普通,01,1,不限,历史,30,521,44750,5500,其他,否,jseea 官方
,,韶关学院,普通,02,2,地理,历史|地理,30,509,47750,5500,其他,否,jseea 官方
,,韶关学院,普通,01,1,不限,历史,30,507,48250,5500,其他,否,jseea 官方
,,广州体育学院,普通,01,1,不限,历史,30,510,47500,5500,其他,否,jseea 官方
,,邵阳学院,普通,01,1,不限,历史,30,516,46000,5500,其他,否,jseea 官方
,,怀化学院,普通,04,4,思想政治,历史,30,518,45500,5500,其他,否,jseea 官方
,,怀化学院,普通,03,3,不限,历史,30,523,44250,5500,其他,否,jseea 官方
,,怀化学院,普通,02,2,不限,历史,30,519,45250,5500,其他,否,jseea 官方
,,怀化学院,普通,01,1,不限,历史,30,515,46250,5500,其他,否,jseea 官方
,,湘南学院,普通,01,1,不限,历史,30,512,47000,5500,其他,否,jseea 官方
,,长沙师范学院,普通,01,1,不限,历史,30,525,30000,5500,其他,否,jseea 官方
,,吉首大学,普通,01,1,不限,历史,30,531,28971,5500,其他,否,jseea 官方
,,南方医科大学,普通,01,1,不限,历史,30,555,20844,5500,其他,否,jseea 官方
,,湖南城市学院,普通,01,1,不限,历史,30,511,47250,5500,其他,否,jseea 官方
,,湖南理工学院,普通,01,1,不限,历史,30,514,46500,5500,其他,否,jseea 官方
,,湖南文理学院,普通,01,1,不限,历史,30,513,46750,5500,其他,否,jseea 官方
,,衡阳师范学院,普通,02,2,思想政治,历史,30,549,21706,5500,其他,否,jseea 官方
,,衡阳师范学院,普通,01,1,不限,历史,30,516,46000,5500,其他,否,jseea 官方
,,南华大学,普通,01,1,不限,历史,30,546,22137,5500,其他,否,jseea 官方
,,湖南科技学院,普通,01,1,不限,历史,30,512,47000,5500,其他,否,jseea 官方
,,湖南科技学院,普通,02,2,思想政治,历史,30,523,44250,5500,其他,否,jseea 官方
,,湖南女子学院,普通,01,1,不限,历史,30,508,48000,5500,其他,否,jseea 官方
,,中山大学,985,01,1,不限,历史,30,628,540,5500,广州,否,jseea 官方
,,中山大学,985,02,2,思想政治,历史,30,627,547,5500,广州,否,jseea 官方
,,华南理工大学,985,01,1,不限,历史,30,616,2100,5500,广州,否,jseea 官方
,,广东外语外贸大学,普通,01,1,不限,历史,30,562,14785,5500,其他,否,jseea 官方
,,广东外语外贸大学,普通,02,2,思想政治,历史,30,573,13607,5500,其他,否,jseea 官方
,,广东医科大学,普通,01,1,不限,历史,30,508,48000,5500,其他,否,jseea 官方
,,暨南大学,211,01,1,不限,历史,30,589,7400,5500,广州,否,jseea 官方
,,广东金融学院,普通,01,1,不限,历史,30,549,21706,5500,其他,否,jseea 官方
,,华南师范大学,211,01,1,不限,历史,30,597,6867,5500,广州,否,jseea 官方
,,广东财经大学,普通,01,1,不限,历史,30,575,13393,5500,其他,否,jseea 官方
,,哈尔滨工业大学(深圳),985,01,1,不限,历史,30,622,585,5500,其他,否,jseea 官方
,,广州大学,普通,01,1,不限,历史,30,565,14464,5500,其他,否,jseea 官方
,,广州中医药大学,普通,01,1,不限,历史,30,550,21562,5500,其他,否,jseea 官方
,,汕头大学,普通,01,1,不限,历史,30,556,20700,5500,其他,否,jseea 官方
,,海南师范大学,普通,04,4,不限,历史,30,540,23000,5500,其他,否,jseea 官方
,,海南师范大学,普通,05,5,思想政治,历史,30,540,23000,5500,其他,否,jseea 官方
,,海南热带海洋学院,普通,02,2,不限,历史,30,509,47750,5500,其他,否,jseea 官方
,,重庆邮电大学,普通,01,1,不限,历史,30,551,21419,5500,其他,否,jseea 官方
