school_name,group_code,min_score,min_rank,subject,xuanke_req,is_special,year
清华大学,02组,679,54,历史,不限,否,2025
北京大学,03组,666,54,历史,不限,否,2025
上海交通大学,02组,659,54,历史,不限,否,2025
中国人民大学,04组,657,125,历史,不限,否,2025
北京大学医学部,01组,657,125,历史,不限,否,2025
复旦大学,03组,656,140,历史,不限,否,2025
中国人民大学,03组,653,194,历史,不限,否,2025
南京大学,03组,643,497,历史,不限,否,2025
浙江大学,01组,642,540,历史,不限,否,2025
中国政法大学,02组,642,540,历史,不限,否,2025
同济大学,02组,641,587,历史,不限,否,2025
武汉大学,03组,641,587,历史,不限,否,2025
同济大学,03组,639,672,历史,不限,否,2025
武汉大学,04组,639,672,历史,不限,否,2025
东南大学,03组,636,828,历史,不限,否,2025
南开大学,02组,636,828,历史,不限,否,2025
北京师范大学,03组,635,889,历史,不限,否,2025
吉林大学,03组,635,889,历史,不限,否,2025
北京航空航天大学,01组,634,958,历史,不限,否,2025
厦门大学,01组,633,1032,历史,不限,否,2025
中山大学,01组,633,1032,历史,不限,否,2025
华东师范大学,01组,632,1111,历史,不限,否,2025
华东师范大学,03组,632,1111,历史,不限,否,2025
厦门大学,03组,631,1171,历史,不限,否,2025
中国政法大学,01组,631,1171,历史,不限,否,2025
中山大学,02组,630,1250,历史,不限,否,2025
西安交通大学,01组,630,1250,历史,不限,否,2025
南京师范大学,05组,629,1337,历史,不限,否,2025
上海财经大学,01组,629,1337,历史,不限,否,2025
北京理工大学,01组,629,1337,历史,不限,否,2025
中国政法大学,03组,628,1416,历史,不限,否,2025
对外经济贸易大学,02组,628,1416,历史,不限,否,2025
中央财经大学,01组,628,1416,历史,不限,否,2025
苏州大学,03组,627,1489,历史,不限,否,2025
中国人民大学(苏州校区),02组(中外合作),627,1489,历史,不限,是,2025
山东大学,03组,627,1489,历史,不限,否,2025
哈尔滨工业大学,01组,627,1489,历史,不限,否,2025
上海外国语大学,03组,626,1599,历史,不限,否,2025
上海财经大学,02组,626,1599,历史,不限,否,2025
北京外国语大学,03组,626,1599,历史,不限,否,2025
重庆大学,02组,626,1599,历史,不限,否,2025
华东师范大学,02组,625,1693,历史,不限,否,2025
山东大学,02组,625,1693,历史,不限,否,2025
湖南大学,01组,625,1693,历史,不限,否,2025
南京师范大学,07组,624,1795,历史,不限,否,2025
华东政法大学,01组,624,1795,历史,不限,否,2025
华南理工大学,01组,624,1795,历史,不限,否,2025
南京师范大学,06组,623,1928,历史,不限,否,2025
华中科技大学,01组,623,1928,历史,不限,否,2025
四川大学,02组,623,1928,历史,不限,否,2025
苏州大学,04组,622,2030,历史,不限,否,2025
中国农业大学,01组,622,2030,历史,不限,否,2025
苏州大学,05组,621,2130,历史,不限,否,2025
中南大学,01组,621,2130,历史,不限,否,2025
哈尔滨工业大学(深圳),01组,621,2130,历史,不限,否,2025
山东大学(威海),01组,620,2253,历史,不限,否,2025
吉林大学,04组,620,2253,历史,不限,否,2025
西南政法大学,03组(中外合作),620,2253,历史,不限,是,2025
中国海洋大学,03组(中外合作),618,2510,历史,不限,是,2025
北京外国语大学,02组,618,2510,历史,不限,否,2025
中国传媒大学,05组,618,2510,历史,不限,否,2025
电子科技大学,01组,618,2510,历史,不限,否,2025
西北工业大学,01组,618,2510,历史,不限,否,2025
西北工业大学,02组,618,2510,历史,不限,否,2025
北京交通大学,01组,617,2644,历史,不限,否,2025
吉林大学,02组,617,2644,历史,不限,否,2025
上海外国语大学,02组,616,2784,历史,不限,否,2025
中国海洋大学,02组,616,2784,历史,不限,否,2025
中央民族大学,01组,616,2784,历史,不限,否,2025
北京电影学院,06组,616,2784,历史,不限,否,2025
南京师范大学,11组,615,2944,历史,不限,否,2025
上海外国语大学,01组,615,2944,历史,不限,否,2025
中国海洋大学,04组,615,2944,历史,不限,否,2025
中国传媒大学,02组,615,2944,历史,不限,否,2025
大连海事大学,02组(中外合作),615,2944,历史,不限,是,2025
西南财经大学,01组,615,2944,历史,不限,否,2025
南京航空航天大学,01组,614,3092,历史,不限,否,2025
苏州大学,06组,614,3092,历史,不限,否,2025
中央财经大学,02组(中外合作),614,3092,历史,不限,是,2025
中国传媒大学,04组,614,3092,历史,不限,否,2025
西北大学,02组,614,3092,历史,不限,否,2025
厦门大学,02组(马来西亚分校),613,3261,历史,不限,是,2025
东北大学,01组,613,3261,历史,不限,否,2025
南京师范大学,12组,612,3431,历史,不限,否,2025
苏州大学,07组,612,3431,历史,不限,否,2025
华中师范大学,04组,612,3431,历史,不限,否,2025
西北政法大学,01组,612,3431,历史,不限,否,2025
兰州大学,02组,612,3431,历史,不限,否,2025
江南大学,01组,611,3605,历史,不限,否,2025
上海政法学院,02组,611,3605,历史,不限,否,2025
南京理工大学,01组,610,3741,历史,不限,否,2025
北京外国语大学,04组(中外合作),610,3741,历史,不限,是,2025
大连理工大学,01组,610,3741,历史,不限,否,2025
东北师范大学,03组,610,3741,历史,不限,否,2025
华中师范大学,03组,610,3741,历史,不限,否,2025
中南财经政法大学,01组,610,3741,历史,不限,否,2025
河海大学,01组,609,3921,历史,不限,否,2025
西南政法大学,02组,609,3921,历史,不限,否,2025
兰州大学,01组,609,3921,历史,不限,否,2025
北京科技大学,01组,608,4104,历史,不限,否,2025
