year,subject,school_name,school_type,group_id,group_code,xuanke_req,xuanke_subjects,plan_count,min_score,min_rank,tuition_yuan,city,is_special,data_source
,,通化师范学院,普通,02,2,不限,物理,30,507,106151,5500,其他,否,jseea 官方
,,北部湾大学,普通,03,3,化学,物理|化学,30,513,102851,5500,其他,否,jseea 官方
,,岭南师范学院,普通,05,5,化学,物理|化学,30,524,96803,5500,其他,否,jseea 官方
,,岭南师范学院,普通,06,6,化学,物理|化学,30,512,103401,5500,其他,否,jseea 官方
,,岭南师范学院,普通,07,7,化学,物理|化学,30,508,105601,5500,其他,否,jseea 官方
,,岭南师范学院,普通,08,8,化学和生物,物理,30,474,171762,5500,其他,否,jseea 官方
,,广东工业大学,普通,01,1,化学,物理|化学,30,600,16000,5500,其他,否,jseea 官方
,,深圳技术大学,普通,02,2,化学,物理|化学,30,590,27502,5500,其他,否,jseea 官方
,,广西大学,211,01,1,化学,物理|化学,30,589,27752,5500,其他,否,jseea 官方
,,广西中医药大学,普通,01,1,化学,物理|化学,30,533,76344,5500,其他,否,jseea 官方
,,广西中医药大学,普通,02,2,化学,物理|化学,30,533,76344,5500,其他,否,jseea 官方
,,广西中医药大学,普通,03,3,化学,物理|化学,30,558,57690,5500,其他,否,jseea 官方
,,南宁师范大学,普通,02,2,不限,物理,30,528,78629,5500,其他,否,jseea 官方
,,南宁师范大学,普通,04,4,化学,物理|化学,30,534,75887,5500,其他,否,jseea 官方
,,玉林师范学院,普通,05,5,化学,物理|化学,30,489,143864,5500,其他,否,jseea 官方
,,玉林师范学院,普通,06,6,化学,物理|化学,30,490,143183,5500,其他,否,jseea 官方
,,玉林师范学院,普通,07,7,化学和生物,物理,30,488,144546,5500,其他,否,jseea 官方
,,岭南师范学院,普通,04,4,不限,物理,30,514,102302,5500,其他,否,jseea 官方
,,岭南师范学院,普通,03,3,不限,物理,30,527,79086,5500,其他,否,jseea 官方
,,深圳大学,普通,04,4,化学,物理|化学,30,622,4875,5500,其他,否,jseea 官方
,,广东海洋大学,普通,02,2,化学,物理|化学,30,520,99003,5500,其他,否,jseea 官方
,,汕头大学,普通,02,2,不限,物理,30,564,46629,5500,其他,否,jseea 官方
