year,subject,school_name,batch,kind,min_score,min_rank,group_id,group_name,xuanke_req
2024,物理,南京大学,本科批,普通类,667,1405,205,,（08）专业组
2024,物理,南京大学,本科批,普通类,663,1987,201,,（10）专业组
2024,物理,南京大学,本科批,普通类,661,2296,199,,（07）专业组
2024,物理,南京大学,本科批,中外合作办学,647,5643,185,,（11）专业组
2024,物理,东南大学,本科批,普通类,660,2475,462,,首选物理，再选化学
2024,物理,南京航空航天大学,本科批,普通类,655,3476,462,,首选物理，再选化学
2024,物理,南京理工大学,本科批,普通类,653,3987,462,,首选物理，再选化学
2024,物理,江苏科技大学,本科批,镇江校区,569,59522,462,,首选物理，再选化学
2024,物理,中国矿业大学,本科批,普通类,606,26287,462,,首选物理，再选化学
2024,物理,南京工业大学,本科批,普通类,590,39109,462,,首选物理，再选化学
2024,物理,南京邮电大学,本科批,普通类,634,10322,462,,首选物理，再选化学
2024,物理,南通大学,本科批,普通类,600,30768,462,,首选物理，再选化学
2024,物理,常州大学,本科批,普通类,565,63762,462,,首选物理，再选化学
2024,物理,河海大学,本科批,普通类,643,6950,462,,首选物理，再选化学
2024,物理,江南大学,本科批,普通类,631,11629,462,,首选物理，再选化学
2024,物理,南京林业大学,本科批,南京校区,598,32341,462,,首选物理，再选化学
2024,物理,南京信息工程大学,本科批,普通类,635,9940,462,,首选物理，再选化学
2024,物理,南京农业大学,本科批,普通类,607,25605,462,,首选物理，再选化学
2024,物理,南京医科大学,本科批,普通类,636,9521,462,,首选物理，再选化学
2024,物理,盐城工学院,本科批,普通类,516,124308,462,,首选物理，再选不限
2024,物理,中国药科大学,本科批,普通类,653,3987,462,,首选物理，再选化学
2024,物理,南京师范大学,本科批,普通类,643,6950,462,,首选物理，再选化学
2024,物理,江苏师范大学,本科批,普通类,569,59522,462,,首选物理，再选地理
2024,物理,江苏大学,本科批,普通类,604,27764,462,,-19
2024,物理,苏州工学院,本科批,普通类,541,92180,462,,（05）
2024,物理,常州大学怀德学院,本科批,普通类,494,152611,462,,（02）
2024,物理,常州工学院,本科批,普通类,536,98546,462,,首选物理，再选化学
2024,物理,东南大学成贤学院,本科批,普通类,515,125638,462,,（06）
2024,物理,淮安大学,本科批,普通类,522,116477,462,,首选物理，再选化学
2024,物理,淮阴师范学院,本科批,普通类,527,110101,462,,（17）
2024,物理,江苏大学京江学院,本科批,普通类,506,137345,462,,（05）
2024,物理,江苏第二师范学院,本科批,普通类,560,69269,462,,（16）
2024,物理,江苏海洋大学,本科批,普通类,548,83547,462,,（07）
2024,物理,江苏警官学院,本科提前批,公安政法,626,14097,04,,首选物理，再选化学
