school_name,group_id,xuanke_req,is_special,group_name,min_score,subject,source,batch,kind,min_rank,data_source
中国矿业大学徐海学院,1,不限,否,中国矿业大学徐海学院01专业组(不限),509,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
三江学院,1,不限,否,三江学院01专业组(不限),504,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
温州大学,1,不限,否,温州大学01专业组(不限),545,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
安徽医科大学,2,化学,否,安徽医科大学02专业组(化学),481,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
安徽农业大学,1,不限,否,安徽农业大学01专业组(不限),544,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
安徽师范大学,2,不限,否,安徽师范大学02专业组(不限),540,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
江西科技师范大学,2,不限,否,江西科技师范大学02专业组(不限),545,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
赣南师范大学,3,不限,否,赣南师范大学03专业组(不限),519,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
景德镇陶瓷大学,2,化学,否,景德镇陶瓷大学02专业组(化学),478,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
井冈山大学,1,不限,否,井冈山大学01专业组(不限),515,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
山东财经大学,1,不限,否,山东财经大学01专业组(不限),565,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
聊城大学,2,不限,是,聊城大学02专业组(不限)(中外合作办学),487,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
山东工商学院,1,不限,否,山东工商学院01专业组(不限),524,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
鲁东大学,1,不限,否,鲁东大学01专业组(不限),514,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
河北环境工程学院,1,不限,否,河北环境工程学院01专业组(不限),519,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
沈阳工业大学,1,不限,否,沈阳工业大学01专业组(不限),534,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
吉林建筑大学,2,生物和地理,否,吉林建筑大学02专业组(生物和地理),509,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
哈尔滨商业大学,1,不限,否,哈尔滨商业大学01专业组(不限),516,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
南阳师范学院,2,不限,是,南阳师范学院02专业组(不限)(中外合作办学),502,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
湖北第二师范学院,1,不限,否,湖北第二师范学院01专业组(不限),516,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
湖南师范大学,1,不限,否,湖南师范大学01专业组(不限),589,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
湖南工商大学,1,不限,否,湖南工商大学01专业组(不限),534,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
长沙学院,1,不限,否,长沙学院01专业组(不限),531,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
湖南财政经济学院,1,不限,否,湖南财政经济学院01专业组(不限),538,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
