score,rank,count
700,5,1
699,5,1
698,6,1
697,7,1
696,8,1
695,8,1
694,9,1
693,10,1
692,11,1
691,11,1
690,12,1
689,13,1
688,14,1
687,14,1
686,15,1
685,16,1
684,17,1
683,17,1
682,18,1
681,19,1
680,20,1
679,39,19
678,40,1
677,42,2
676,44,2
675,45,1
674,47,2
673,48,1
672,50,2
671,52,2
670,53,1
669,55,2
668,57,2
667,58,1
666,60,2
665,61,1
664,63,2
663,65,2
662,66,1
661,68,2
660,70,2
659,138,68
658,141,3
657,144,3
656,148,4
655,151,3
654,154,3
653,157,3
652,161,4
651,164,3
650,167,3
649,170,3
648,174,4
647,177,3
646,180,3
645,183,3
644,187,4
643,190,3
642,193,3
641,196,3
640,200,4
639,458,258
638,466,8
637,473,7
636,481,8
635,488,7
634,495,7
633,503,8
632,510,7
631,518,8
630,525,7
629,533,8
628,540,7
627,547,7
626,555,8
625,562,7
624,570,8
623,577,7
622,585,8
621,592,7
620,600,8
619,2025,1425
618,2050,25
617,2075,25
616,2100,25
615,2125,25
614,2150,25
613,2175,25
612,2200,25
611,2225,25
610,2250,25
609,2275,25
608,2300,25
607,2325,25
606,2350,25
605,2375,25
604,2400,25
603,2425,25
602,2450,25
601,2475,25
600,2500,25
599,6734,4234
598,6800,66
597,6867,67
596,6934,67
595,7000,66
594,7067,67
593,7133,66
592,7200,67
591,7267,67
590,7333,66
589,7400,67
588,7467,67
587,7533,66
586,7600,67
585,7666,66
584,7733,67
583,7800,67
582,7866,66
581,7933,67
580,8000,67
579,12964,4964
578,13072,108
577,13179,107
576,13286,107
575,13393,107
574,13500,107
573,13607,107
572,13714,107
571,13821,107
570,13928,107
569,14036,108
568,14143,107
567,14250,107
566,14357,107
565,14464,107
564,14571,107
563,14678,107
562,14785,107
561,14892,107
560,15000,108
559,20269,5269
558,20413,144
557,20556,143
556,20700,144
555,20844,144
554,20987,143
553,21131,144
552,21275,144
551,21419,144
550,21562,143
549,21706,144
548,21850,144
547,21993,143
546,22137,144
545,22281,144
544,22425,144
543,22568,143
542,22712,144
541,22856,144
540,23000,144
539,27600,4600
538,27771,171
537,27943,172
536,28114,171
535,28286,172
534,28457,171
533,28628,171
532,28800,172
531,28971,171
530,29143,172
529,29314,171
528,29485,171
527,29657,172
526,29828,171
525,30000,172
524,44000,14000
523,44250,250
522,44500,250
521,44750,250
520,45000,250
519,45250,250
518,45500,250
517,45750,250
516,46000,250
515,46250,250
514,46500,250
513,46750,250
512,47000,250
511,47250,250
510,47500,250
509,47750,250
508,48000,250
507,48250,250
506,48500,250
505,48750,250
504,49000,250
503,49250,250
502,49500,250
501,49750,250
500,50000,250
499,73091,23091
498,73454,363
497,73818,364
496,74182,364
495,74545,363
494,74909,364
493,75273,364
492,75636,363
491,76000,364
490,76363,363
489,76727,364
488,77091,364
487,77454,363
486,77818,364
485,78181,363
484,78545,364
483,78909,364
482,79272,363
481,79636,364
480,80000,364
479,97240,17240
478,97680,440
477,98120,440
476,98560,440
475,99000,440
474,99440,440
473,99880,440
472,100320,440
471,100760,440
470,101200,440
469,101640,440
468,102080,440
467,102520,440
466,102960,440
465,103400,440
464,103840,440
463,104280,440
462,104720,440
461,105160,440
460,105600,440
459,106040,440
458,106480,440
457,106920,440
456,107360,440
455,107800,440
454,108240,440
453,108680,440
452,109120,440
451,109560,440
450,110000,440
449,125500,15500
448,126000,500
447,126500,500
446,127000,500
445,127500,500
444,128000,500
443,128500,500
442,129000,500
441,129500,500
440,130000,500
439,130500,500
438,131000,500
437,131500,500
436,132000,500
435,132500,500
434,133000,500
433,133500,500
432,134000,500
431,134500,500
430,135000,500
429,135500,500
428,136000,500
427,136500,500
426,137000,500
425,137500,500
424,138000,500
423,138500,500
422,139000,500
421,139500,500
420,140000,500
419,140500,500
418,141000,500
417,141500,500
416,142000,500
415,142500,500
414,143000,500
413,143500,500
412,144000,500
411,144500,500
410,145000,500
409,145500,500
408,146000,500
407,146500,500
406,147000,500
405,147500,500
404,148000,500
403,148500,500
402,149000,500
401,149500,500
400,150000,500
399,127926,22074
398,128351,425
397,128776,425
396,129201,425
395,129626,425
394,130051,425
393,130476,425
392,130901,425
391,131326,425
390,131751,425
389,132176,425
388,132601,425
387,133026,425
386,133451,425
385,133876,425
384,134301,425
383,134726,425
382,135151,425
381,135576,425
380,136001,425
379,136425,424
378,136850,425
377,137275,425
376,137700,425
375,138125,425
374,138550,425
373,138975,425
372,139400,425
371,139825,425
370,140250,425
369,140675,425
368,141100,425
367,141525,425
366,141950,425
365,142375,425
364,142800,425
363,143225,425
362,143650,425
361,144075,425
360,144500,425
359,144925,425
358,145350,425
357,145775,425
356,146200,425
355,146625,425
354,147050,425
353,147475,425
352,147900,425
351,148325,425
350,148750,425
349,149175,425
348,149600,425
347,150025,425
346,150450,425
345,150875,425
344,151300,425
343,151725,425
342,152150,425
341,152575,425
340,153000,425
339,153425,425
338,153850,425
337,154275,425
336,154700,425
335,155125,425
334,155550,425
333,155975,425
332,156400,425
331,156825,425
330,157250,425
329,157675,425
328,158100,425
327,158525,425
326,158950,425
325,159375,425
324,159800,425
323,160225,425
322,160650,425
321,161075,425
320,161500,425
319,161925,425
318,162350,425
317,162775,425
316,163200,425
315,163625,425
314,164050,425
313,164475,425
312,164900,425
311,165325,425
310,165750,425
309,166175,425
308,166600,425
307,167025,425
306,167450,425
305,167875,425
304,168300,425
303,168725,425
302,169150,425
301,169575,425
300,170000,425
299,144360,25640
298,144720,360
297,145080,360
296,145440,360
295,145800,360
294,146160,360
293,146520,360
292,146880,360
291,147240,360
290,147600,360
289,147960,360
288,148320,360
287,148680,360
286,149040,360
285,149400,360
284,149760,360
283,150120,360
282,150480,360
281,150840,360
280,151200,360
279,151560,360
278,151920,360
277,152280,360
276,152640,360
275,153000,360
274,153360,360
273,153720,360
272,154080,360
271,154440,360
270,154800,360
269,155160,360
268,155520,360
267,155880,360
266,156240,360
265,156600,360
264,156960,360
263,157320,360
262,157680,360
261,158040,360
260,158400,360
259,158760,360
258,159120,360
257,159480,360
256,159840,360
255,160200,360
254,160560,360
253,160920,360
252,161280,360
251,161640,360
250,162000,360
249,162360,360
248,162720,360
247,163080,360
246,163440,360
245,163800,360
244,164160,360
243,164520,360
242,164880,360
241,165240,360
240,165600,360
239,165960,360
238,166320,360
237,166680,360
236,167040,360
235,167400,360
234,167760,360
233,168120,360
232,168480,360
231,168840,360
230,169200,360
229,169560,360
228,169920,360
227,170280,360
226,170640,360
225,171000,360
224,171360,360
223,171720,360
222,172080,360
221,172440,360
220,172800,360
219,173160,360
218,173520,360
217,173880,360
216,174240,360
215,174600,360
214,174960,360
213,175320,360
212,175680,360
211,176040,360
210,176400,360
209,176760,360
208,177120,360
207,177480,360
206,177840,360
205,178200,360
204,178560,360
203,178920,360
202,179280,360
201,179640,360
200,180000,360
199,173073,6927
198,173418,345
197,173764,346
196,174109,345
195,174454,345
194,174800,346
193,175145,345
192,175491,346
191,175836,345
190,176182,346
189,176527,345
188,176873,346
187,177218,345
186,177563,345
185,177909,346
184,178254,345
183,178600,346
182,178945,345
181,179291,346
180,179636,345
179,179982,346
178,180327,345
177,180672,345
176,181018,346
175,181363,345
174,181709,346
173,182054,345
172,182400,346
171,182745,345
170,183091,346
169,183436,345
168,183781,345
167,184127,346
166,184472,345
165,184818,346
164,185163,345
163,185509,346
162,185854,345
161,186200,346
160,186545,345
159,186890,345
158,187236,346
157,187581,345
156,187927,346
155,188272,345
154,188618,346
153,188963,345
152,189309,346
151,189654,345
