score,rank,count
689,649,110
688,139,29
687,162,23
686,190,28
685,230,40
684,261,31
683,295,34
682,353,58
681,407,54
680,464,57
679,527,63
678,595,68
677,674,79
676,759,85
675,831,72
674,943,112
673,1049,106
672,1136,87
671,1253,117
670,1367,114
669,1501,134
668,1646,145
667,1802,156
666,1964,162
665,2112,148
664,2287,175
663,2465,178
662,2666,201
661,2873,207
660,3077,204
659,3287,210
658,3527,240
657,3776,249
656,4021,245
655,4294,273
654,4577,283
653,4878,301
652,5161,283
651,5467,306
650,5772,305
648,6409,319
647,6737,328
646,7076,339
645,7460,384
644,7817,357
643,8204,387
642,8580,376
641,8960,380
640,9378,418
639,9802,424
638,10252,450
637,10678,426
636,11118,440
635,11598,480
634,12072,474
633,12565,493
632,13058,493
631,13548,490
630,14065,517
629,14603,538
628,15130,527
627,15662,532
626,16268,606
625,16848,580
624,17453,605
623,18045,592
622,18694,649
621,19332,638
620,19962,630
619,20665,703
618,21298,633
617,21970,672
616,22647,677
615,23390,743
614,24115,725
613,24799,684
612,25593,794
611,26367,774
610,27149,782
608,28740,809
607,29534,794
606,30312,778
605,31163,851
604,31983,820
603,32791,808
602,33651,860
601,34502,851
600,35398,896
599,36291,893
598,37203,912
597,38088,885
596,39012,924
595,39948,936
594,40855,907
593,41836,981
592,42793,957
591,43812,1019
590,44753,941
589,45767,1014
588,46733,966
587,47782,1049
586,48810,1028
585,49888,1078
584,50912,1024
583,51987,1075
582,53034,1047
581,54115,1081
580,55141,1026
579,56236,1095
578,57339,1103
577,58411,1072
576,59533,1122
575,60650,1117
574,61816,1166
573,62978,1162
572,64139,1161
571,65270,1131
570,66423,1153
569,67621,1198
568,68889,1268
567,70124,1235
566,71329,1205
565,72560,1231
564,73784,1224
563,75021,1237
562,76392,1371
561,77623,1231
559,80152,1231
558,81389,1237
557,82742,1353
556,84047,1305
555,85359,1312
554,86758,1399
553,88078,1320
552,89409,1331
551,90718,1309
549,93474,1412
548,94828,1354
547,96231,1403
546,97670,1439
545,99020,1350
544,100381,1361
543,101845,1464
542,103195,1350
541,104586,1391
540,106001,1415
539,107423,1422
538,108896,1473
537,110271,1375
536,111744,1473
535,113131,1387
534,114659,1528
533,116103,1444
532,117593,1490
531,119058,1465
530,120545,1487
529,122025,1480
528,123485,1460
527,124934,1449
526,126460,1526
525,127889,1429
524,129360,1471
523,130819,1459
522,132287,1468
521,133759,1472
519,136665,1450
518,138037,1372
517,139498,1461
516,140984,1486
515,142465,1481
514,143932,1467
513,145420,1488
512,146896,1476
511,148364,1468
510,149799,1435
509,151167,1368
508,152558,1391
507,153904,1346
506,155379,1475
505,156836,1457
504,158329,1493
503,159833,1504
502,161293,1460
501,162750,1457
500,164169,1419
499,165555,1386
498,166941,1386
497,168389,1448
496,169851,1462
495,171272,1421
494,172592,1320
493,173957,1365
492,175304,1347
491,176674,1370
490,177981,1307
489,179304,1323
488,180632,1328
487,181943,1311
486,183287,1344
485,184547,1260
484,185817,1270
483,187151,1334
482,188397,1246
481,189619,1222
479,192174,1254
478,193423,1249
477,194611,1188
476,195778,1167
475,197014,1236
474,198193,1179
473,199376,1183
472,200535,1159
471,201685,1150
470,202894,1209
469,203983,1089
468,205009,1026
467,206114,1105
466,207210,1096
465,208365,1155
464,209418,1053
463,210472,1054
462,211501,1029
461,212550,1049
460,213575,1025
459,214584,1009
458,215568,984
457,216493,925
456,217438,945
318,609,6090
110,649,110
