slug,title,style
accounting,会计学,finance
aircraft-design-engineering,飞行器设计与工程,eng
anesthesiology,麻醉学,medicine
applied-psychology,应用心理学,education
archaeology,考古学,humanities
architecture,建筑学,cs
artificial-intelligence,人工智能,cs
atmospheric-science,大气科学,sci
automation,自动化,cs
business-administration,工商管理,finance
chemical-engineering,化学工程与工艺,eng
chemistry,化学,sci
chinese-language-literature,汉语言文学,humanities
civil-engineering,土木工程,cs
clinical-medicine,临床医学,medicine
communication-engineering,通信工程,cs
computer-science,计算机科学与技术,cs
cybersecurity,网络空间安全,cs
data-science-big-data,数据科学与大数据技术,cs
economics,经济学,finance
education,师范教育 (数学/语文/英语 等),education
electrical-engineering-automation,电气工程及其自动化,cs
electronic-information-engineering,电子信息工程,cs
english,英语,education
finance,金融学,finance
financial-management,财务管理,administration
food-science-engineering,食品科学与工程,eng
history,历史学,humanities
industrial-design,工业设计,education
information-management-systems,信息管理与信息系统,administration
integrated-circuit-design,集成电路设计与集成系统,eng
intelligent-science-technology,智能科学与技术,cs
international-economics-trade,国际经济与贸易,finance
journalism-communication,新闻传播学,education
law,法学,law
library-science,图书馆学,administration
materials-science-engineering,材料科学与工程,eng
mathematics,数学与应用数学,sci
mechanical-engineering,机械工程,eng
microelectronics,微电子科学与工程,eng
pharmacy,药学,medicine
philosophy,哲学,humanities
physics,物理学,sci
preventive-medicine,预防医学,medicine
psychology,心理学,education
public-administration,行政管理,administration
software-engineering,软件工程,cs
stomatology,口腔医学,medicine
traditional-chinese-medicine,中医学,medicine
vehicle-engineering,车辆工程,eng
agronomy,农学,agri
horticulture,园艺,agri
forestry,林学,agri
landscape-architecture,园林,agri
animal-science,动物科学,agri
fine-arts,美术学,arts
visual-communication-design,视觉传达设计,arts
environmental-design,环境设计,arts
digital-media-arts,数字媒体艺术,arts
animation,动画,arts
public-order,治安学,gongan
intellectual-property,知识产权,law
basic-medicine,基础医学,medicine
translation,翻译,humanities
criminal-investigation,侦查学,gongan
medical-imaging,医学影像学,medicine
insurance,保险学,finance
preschool-education,学前教育,education
auditing,审计学,business
urban-planning,城乡规划,eng
international-law,国际法,law
economic-law,经济法,law
civil-law-jurisprudence,民法,law
commercial-law,商法,law
administrative-law,行政法,law
prison-studies,监狱学,gongan
drug-control,禁毒学,gongan
criminology,犯罪学,gongan
foreign-police,涉外警务,gongan
civil-procedure,民事诉讼法,law
criminal-procedure,刑事诉讼法,law
criminal-law,刑事法学,cs
chinese-language,汉语言文学,humanities
classical-philology,古典文献学,humanities
educational-technology,教育技术学,education
science-education,科学教育,education
network-new-media,网络与新媒体,humanities
art-education,艺术教育,education
advertising,广告学,humanities
chinese-international-education,汉语国际教育,education
physical-education,体育教育,education
humanities-education,人文教育,education
primary-education,小学教育,education
special-education,特殊教育,education
business-english,商务英语,humanities
human-resource-management,人力资源管理,administration
marketing,市场营销,administration
musical-performance,音乐表演,arts
engineering-management,工程管理,administration
musicology,音乐学,arts
labor-social-security,劳动与社会保障,administration
dance-choreography,舞蹈编导,arts
broadcasting-tv-directing,广播电视编导,arts
logistics-management,物流管理,administration
drama-film-tv-literature,戏剧影视文学,arts
e-commerce,电子商务,administration
tourism-management,旅游管理,administration
art-management,艺术管理,arts
agricultural-economy,农林经济管理,administration
nursing,护理学,medicine
biological-sciences,生物科学,sci
network-space-security,网络空间安全,cs
financial-engineering,金融工程,finance
statistics,统计学,sci
forensic-medicine,法医学,medicine
investment-studies,投资学,finance
geography,地理科学,sci
acupuncture-massage,针灸推拿学,medicine
public-finance,财政学,finance
ocean-science,海洋科学,sci
medical-laboratory-tech,医学检验技术,medicine
taxation,税收学,finance
astronomy,天文学,sci
rehabilitation-therapy,康复治疗学,medicine
finance-math,金融数学,finance
geology,地质学,sci
