slug,title,style
accounting,会计学,finance
anesthesiology,麻醉学,medicine
atmospheric-science,大气科学,sci
chemistry,化学,sci
chinese-language-literature,汉语言文学,humanities
clinical-medicine,临床医学,medicine
computer-science,计算机科学与技术,cs
economics,经济学,finance
education,师范教育 (数学/语文/英语 等),education
finance,金融学,finance
financial-management,财务管理,administration
industrial-design,工业设计,education
international-economics-trade,国际经济与贸易,finance
law,法学,law
mathematics,数学与应用数学,sci
pharmacy,药学,medicine
physics,物理学,sci
preventive-medicine,预防医学,medicine
traditional-chinese-medicine,中医学,medicine
intellectual-property,知识产权,law
basic-medicine,基础医学,medicine
medical-imaging,医学影像学,medicine
insurance,保险学,finance
