🔧 字段级 auto-fix pipeline: 44 篇
[1/44] 🔧 光电信息科学与工程: fixed 0 fields, 0 remaining
[2/44] 🔧 机械设计制造及其自动化: fixed 0 fields, 0 remaining
[3/44] 🔧 环境工程: fixed 1 fields, 0 remaining
[4/44] 🔧 生物工程: fixed 1 fields, 1 remaining
[5/44] 🔧 机器人工程: fixed 1 fields, 0 remaining
[6/44] 🔧 能源与动力工程: fixed 1 fields, 1 remaining
[7/44] 🔧 制药工程: fixed 4 fields, 0 remaining
[8/44] 🔧 智能制造工程: fixed 0 fields, 1 remaining
[9/44] 🔧 环境科学: fixed 0 fields, 0 remaining
[10/44] 🔧 高分子材料与工程: fixed 0 fields, 1 remaining
[11/44] 🔧 工程力学: fixed 0 fields, 1 remaining
[12/44] 🔧 新能源科学与工程: fixed 2 fields, 0 remaining
[13/44] 🔧 材料成型及控制工程: fixed 0 fields, 1 remaining
[14/44] 🔧 测控技术与仪器: fixed 1 fields, 0 remaining
[15/44] 🔧 风景园林: fixed 0 fields, 1 remaining
[16/44] 🔧 信息安全: fixed 0 fields, 0 remaining
[17/44] 🔧 安全工程: fixed 2 fields, 1 remaining
[18/44] 🔧 数字媒体技术: fixed 1 fields, 0 remaining
[19/44] 🔧 机械电子工程: fixed 0 fields, 0 remaining
[20/44] 🔧 电子科学与技术: fixed 2 fields, 0 remaining
[21/44] 🔧 生物制药: fixed 1 fields, 0 remaining
[22/44] 🔧 过程装备与控制工程: fixed 0 fields, 1 remaining
[23/44] 🔧 储能科学与工程: fixed 0 fields, 0 remaining
[24/44] 🔧 水利水电工程: fixed 2 fields, 0 remaining
[25/44] 🔧 智能建造: fixed 0 fields, 0 remaining
[26/44] 🔧 地质工程: fixed 0 fields, 0 remaining
[27/44] 🔧 物联网工程: fixed 0 fields, 0 remaining
[28/44] 🔧 日语: fixed 1 fields, 0 remaining
[29/44] 🔧 新闻学: fixed 1 fields, 0 remaining
[30/44] 🔧 广告学: fixed 1 fields, 0 remaining
[31/44] 🔧 翻译: fixed 1 fields, 0 remaining
[32/44] 🔧 播音与主持艺术: fixed 3 fields, 0 remaining
[33/44] 🔧 俄语: fixed 0 fields, 0 remaining
[34/44] 🔧 应用语言学: fixed 0 fields, 1 remaining
[35/44] 🔧 思想政治教育: fixed 1 fields, 0 remaining
[36/44] 🔧 医学影像学: fixed 3 fields, 1 remaining
[37/44] 🔧 口腔医学: fixed 0 fields, 0 remaining
[38/44] 🔧 中医学: fixed 0 fields, 0 remaining
[39/44] 🔧 麻醉学: fixed 0 fields, 0 remaining
[40/44] 🔧 中药学: fixed 0 fields, 0 remaining
[41/44] 🔧 医学检验技术: fixed 0 fields, 0 remaining
[42/44] 🔧 康复治疗学: fixed 0 fields, 0 remaining
[43/44] 🔧 动物科学: fixed 0 fields, 0 remaining
[44/44] 🔧 园艺: fixed 0 fields, 0 remaining

============================================================
汇总: 44/44 OK | 0 clean | 0 fixed
