slug,title,style
rural-regional-development,农村区域发展,agri
marine-fishery-science-technology,海洋渔业科学与技术,agri
bioinformatics,生物信息学,sci
chemical-biology,化学生物学,sci
geoinformation-science-technology,地球信息科学与技术,sci
environmental-ecological-engineering,环境生态工程,sci
global-climate-change,全球气候变化,sci
digital-humanities,数字人文,humanities
sports-economy-management,体育经济与管理,humanities
cultural-relics-museology,文物与博物馆学,humanities
international-journalism-communication,国际新闻与传播,humanities
computational-linguistics,计算语言学,humanities
ethnology,民族学,humanities
financial-law,金融法,law
cyber-information-law,网络与信息法学,law
sports-law,体育法,law
health-law,卫生健康法学,law
environmental-resource-protection-law,环境与资源保护法学,law
digital-economy,数字经济,business
fintech,金融科技,business
cross-border-ecommerce,跨境电子商务,business
big-data-management-application,大数据管理与应用,business
credit-management,信用管理,business
supply-chain-management,供应链管理,administration
cultural-industry-management,文化产业管理,administration
