slug,title,style
ophthalmology-optometry,眼视光医学,medicine
psychiatry,精神医学,medicine
tcm-rehabilitation,中医康复学,medicine
food-hygiene-nutrition,食品卫生与营养学,medicine
smart-agriculture,智慧农业,agri
agricultural-intelligent-equipment-engineering,农业智能装备工程,agri
land-science-technology,土地科学与技术,agri
geoinformation-science-technology,地球信息科学与技术,sci
environmental-ecological-engineering,环境生态工程,sci
global-climate-change,全球气候变化,sci
digital-humanities,数字人文,humanities
sports-economy-management,体育经济与管理,humanities
cultural-relics-museology,文物与博物馆学,humanities
international-journalism-communication,国际新闻与传播,humanities
computational-linguistics,计算语言学,humanities
ethnology,民族学,humanities
financial-law,金融法,law
cyber-information-law,网络与信息法学,law
environmental-resource-protection-law,环境与资源保护法学,law
digital-economy,数字经济,business
fintech,金融科技,business
cross-border-ecommerce,跨境电子商务,business
big-data-management-application,大数据管理与应用,business
credit-management,信用管理,business
supply-chain-management,供应链管理,administration
cultural-industry-management,文化产业管理,administration
