slug,title,style
agricultural-intelligent-equipment-engineering,农业智能装备工程,agri
aircraft-design-engineering,飞行器设计与工程,eng
anesthesiology,麻醉学,medicine
audiology-speech-rehabilitation,听力与言语康复学,medicine
basic-medicine,基础医学,medicine
bioinformatics,生物信息学,sci
biomedical-engineering,生物医学工程,medicine
bionic-science-engineering,仿生科学与工程,eng
blockchain-engineering,区块链工程,cs
chemical-biology,化学生物学,sci
clinical-engineering-technology,临床工程技术,medicine
clinical-medicine,临床医学,medicine
cryptology-science-technology,密码科学与技术,cs
digital-twin-technology,数字孪生技术,cs
energy-power-engineering,能源与动力工程,eng
energy-storage-science-engineering,储能科学与工程,eng
food-hygiene-nutrition,食品卫生与营养学,medicine
food-science-engineering,食品科学与工程,eng
forensic-medicine,法医学,medicine
geoinformation-science-technology,地球信息科学与技术,sci
global-climate-change,全球气候变化,sci
industrial-intelligence,工业智能,eng
intelligent-construction,智能建造,eng
intelligent-manufacturing-engineering,智能制造工程,eng
intelligent-marine-equipment,智能海洋装备,eng
intelligent-medical-engineering,智能医学工程,medicine
intelligent-mining-engineering,智能采矿工程,eng
intelligent-science-technology,智能科学与技术,cs
intelligent-transportation,智能交通工程,eng
intelligent-vehicle-engineering,智能车辆工程,eng
land-science-technology,土地科学与技术,agri
marine-fishery-science-technology,海洋渔业科学与技术,agri
marine-information-technology,海洋信息技术,cs
medical-imaging,医学影像学,medicine
network-space-security,网络空间安全,cs
new-energy-science-engineering,新能源科学与工程,eng
ophthalmology-optometry,眼视光医学,medicine
preventive-medicine,预防医学,medicine
psychiatry,精神医学,medicine
quantum-information-engineering,量子信息工程,eng
rural-regional-development,农村区域发展,agri
service-science-engineering,服务科学与工程,cs
smart-agriculture,智慧农业,agri
smart-energy-engineering,智慧能源工程,eng
stomatology,口腔医学,medicine
tcm-rehabilitation,中医康复学,medicine
virtual-reality-technology,虚拟现实技术,cs
