slug,title,style
advertising,广告学,humanities
applied-linguistics,应用语言学,humanities
broadcasting-hosting,播音与主持艺术,humanities
computational-linguistics,计算语言学,humanities
cultural-relics-museology,文物与博物馆学,humanities
cyber-information-law,网络与信息法学,law
digital-humanities,数字人文,humanities
environmental-resource-protection-law,环境与资源保护法学,law
ethnology,民族学,humanities
financial-law,金融法,law
health-law,卫生健康法学,law
ideological-political-education,思想政治教育,law
international-journalism-communication,国际新闻与传播,humanities
japanese,日语,humanities
journalism,新闻学,humanities
russian,俄语,humanities
sports-economy-management,体育经济与管理,humanities
sports-law,体育法,law
translation-interpreting,翻译,humanities
big-data-management-application,大数据管理与应用,business
credit-management,信用管理,business
cross-border-ecommerce,跨境电子商务,business
cultural-industry-management,文化产业管理,administration
digital-economy,数字经济,business
fintech,金融科技,business
supply-chain-management,供应链管理,administration
digital-media-technology,数字媒体技术,cs
information-security,信息安全,cs
internet-of-things-engineering,物联网工程,cs
animal-science,动物科学,agri
biological-engineering,生物工程,eng
electronic-science-technology,电子科学与技术,eng
engineering-mechanics,工程力学,eng
environmental-engineering,环境工程,eng
geological-engineering,地质工程,eng
horticulture,园艺,agri
hydraulic-engineering,水利水电工程,eng
landscape-architecture2,风景园林,agri
materials-forming-control-engineering,材料成型及控制工程,eng
measurement-control-technology-instruments,测控技术与仪器,eng
mechanical-design-manufacture-automation,机械设计制造及其自动化,eng
mechatronic-engineering,机械电子工程,eng
optoelectronic-information-science-engineering,光电信息科学与工程,eng
pharmaceutical-engineering,制药工程,eng
polymer-materials-engineering,高分子材料与工程,eng
process-equipment-control-engineering,过程装备与控制工程,eng
robotics-engineering,机器人工程,eng
