slug,title,style
optoelectronic-information-science-engineering,光电信息科学与工程,eng
mechanical-design-manufacture-automation,机械设计制造及其自动化,eng
environmental-engineering,环境工程,eng
biological-engineering,生物工程,eng
robotics-engineering,机器人工程,eng
energy-power-engineering,能源与动力工程,eng
pharmaceutical-engineering,制药工程,eng
intelligent-manufacturing-engineering,智能制造工程,eng
environmental-science,环境科学,sci
slug,title,style
internet-of-things-engineering,物联网工程,cs
polymer-materials-engineering,高分子材料与工程,eng
engineering-mechanics,工程力学,eng
new-energy-science-engineering,新能源科学与工程,eng
materials-forming-control-engineering,材料成型及控制工程,eng
measurement-control-technology-instruments,测控技术与仪器,eng
landscape-architecture2,风景园林,eng
information-security,信息安全,cs
safety-engineering,安全工程,eng
